timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
14186.138294,-8.602130,4.007842,71.012375,-2.059571,4.063402,71.265709,14186.138293,14186.073967,0,7,1,-6.073279,6.585754,79.752731,0.052622,-0.087386,-0.002148
14186.144362,-8.617361,4.105594,71.657211,-2.064614,4.115510,71.466621,14186.144361,14186.107284,0,9,1,-6.035914,6.633205,80.198944,0.060391,-0.082550,-0.004828
14186.154417,-8.572727,4.061806,70.881958,-2.082922,4.117620,71.143608,14186.154416,14186.124217,0,10,1,-6.032050,6.679889,79.630562,0.052902,-0.082521,-0.001047
14186.170556,-8.560590,4.045837,70.948647,-2.032940,4.121405,71.602463,14186.170555,14186.140587,0,11,1,-6.008712,6.790761,79.865707,0.042432,-0.082905,0.000948
14186.187298,-8.576497,4.065660,71.061272,-2.080083,4.084154,70.626732,14186.187297,14186.157234,0,12,1,-6.099592,6.666544,79.457855,0.053486,-0.089334,0.002081
14186.204519,-8.563899,4.049790,70.900452,-2.029022,4.076133,71.188293,14186.204518,14186.174113,0,13,1,-6.034199,6.777600,79.625748,0.039833,-0.085082,0.003698
14186.221171,-8.569931,3.982737,70.910667,-2.099177,4.019033,70.828857,14186.221170,14186.190580,0,14,1,-6.033165,6.757698,79.448013,0.037388,-0.080114,0.004793
14186.237510,-8.653164,4.052034,72.082176,-2.055348,4.050548,71.655296,14186.237509,14186.207236,0,15,1,-6.084292,6.843368,80.427422,0.031350,-0.085538,-0.000090
14186.254382,-8.634349,3.985493,71.217255,-2.083335,4.030976,71.121025,14186.254381,14186.223968,0,16,1,-6.102006,6.786447,79.727257,0.031475,-0.086480,0.001618
14186.271106,-8.623313,3.938402,70.893456,-2.106150,3.975935,71.138962,14186.271105,14186.240992,0,17,1,-6.053397,6.606122,79.621178,0.047352,-0.080016,0.001357
14186.287641,-8.667508,3.967427,71.413536,-2.126956,3.953989,70.806015,14186.287640,14186.257292,0,18,1,-6.064993,6.645439,79.706223,0.043426,-0.077332,0.002209
14186.314638,-8.679346,3.948581,71.406265,-2.110215,3.905222,70.752060,14186.314637,14186.273972,0,19,1,-6.024540,6.623597,79.676453,0.042701,-0.073243,0.001188
14186.320718,-8.667357,3.934255,71.326073,-2.093732,3.958436,71.296799,14186.320718,14186.290781,0,20,1,-6.037753,6.707391,79.886574,0.035295,-0.077557,-0.001937
14186.337446,-8.631836,3.947696,70.986641,-2.103578,3.982183,71.299850,14186.337446,14186.307255,0,21,1,-6.029943,6.612550,79.756004,0.049520,-0.076613,0.002223
