timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
15690.622179,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,1,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.625847,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,2,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.629873,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,3,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.633863,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,4,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.638852,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,5,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.642870,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,6,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.646826,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,7,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.650825,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,8,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.654776,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,9,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.658769,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,10,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.663785,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,11,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.667735,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,12,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.671762,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,13,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.675721,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,14,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.679711,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,15,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.684698,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,16,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.688685,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,17,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.692674,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,18,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.696664,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,19,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.700653,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,20,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.704642,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,21,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.709628,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,22,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.713618,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,23,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.717610,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,24,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.721601,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,25,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.725586,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,26,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.729578,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,0.000000,0.000000,0,27,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
