timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
15690.622182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.622062,0.000000,0,1,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.625850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.625780,0.000000,0,2,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.629875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.629821,0.000000,0,3,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.633865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.633812,0.000000,0,4,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.638855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.638791,0.000000,0,5,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.642873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.642791,0.000000,0,6,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.646827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.646771,0.000000,0,7,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.650827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.650771,0.000000,0,8,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.654778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.654722,0.000000,0,9,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.658771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.658717,0.000000,0,10,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.663787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.663729,0.000000,0,11,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.667737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.667665,0.000000,0,12,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.671765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.671656,0.000000,0,13,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.675723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.675669,0.000000,0,14,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.679713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.679660,0.000000,0,15,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
15690.684700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15690.684648,0.000000,0,16,1,-13.905036,-10.471157,999.766785,0.000000,0.000000,0.000000
