timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
15691.251620,4.117352,12.397856,75.764130,-2.332065,12.164483,76.348328,15691.251602,15691.177722,0,7,1,1.081083,9.144364,84.504601,-0.012137,0.024995,0.019920
15691.257750,4.122844,12.337647,75.964264,-2.331386,12.188074,75.834023,15691.257729,15691.211822,0,9,1,1.028047,9.156914,84.344032,-0.010347,0.017430,0.022479
15691.267907,4.135411,12.366417,76.004921,-2.337496,12.145235,76.058243,15691.267882,15691.228225,0,10,1,1.020406,9.133276,84.473480,-0.009447,0.015913,0.023138
15691.283794,4.152281,12.307281,76.528603,-2.359569,12.100648,76.316750,15691.283779,15691.245179,0,11,1,1.013851,9.034920,84.846611,-0.003782,0.016114,0.021251
15691.299280,4.141851,12.289740,76.863907,-2.357342,12.149848,76.259178,15691.299260,15691.261628,0,12,1,1.093664,9.096897,85.002136,-0.009416,0.026388,0.020487
15691.319191,4.138340,12.326150,76.770142,-2.376399,12.142302,76.160835,15691.319166,15691.278067,0,13,1,1.061398,9.056414,84.886009,-0.002992,0.022798,0.023310
15691.334442,4.152408,12.381701,76.129486,-2.356547,12.197044,76.022972,15691.334422,15691.294638,0,14,1,1.018650,9.001551,84.462387,0.007614,0.015467,0.023430
15691.351523,4.146819,12.329494,76.891167,-2.362821,12.167574,76.188507,15691.351503,15691.311094,0,15,1,1.026307,9.097587,84.969048,-0.005456,0.018442,0.020502
15691.368019,4.116963,12.464598,75.649567,-2.371242,12.231350,76.179810,15691.367999,15691.327971,0,16,1,1.055648,9.062053,84.304237,0.006274,0.021615,0.026594
15691.386407,4.184174,12.398799,76.576653,-2.350155,12.250824,75.908997,15691.386384,15691.344969,0,17,1,1.116538,9.036936,84.619141,0.010440,0.025127,0.022848
15691.401253,4.168395,12.414796,76.919968,-2.361713,12.214249,76.376740,15691.401233,15691.361438,0,18,1,1.151060,8.894317,84.972336,0.025553,0.028907,0.027481
15691.418308,4.172045,12.467705,76.385117,-2.339239,12.277838,75.668793,15691.418288,15691.377865,0,19,1,1.097268,9.065811,84.391876,0.014071,0.020520,0.028987
15691.432887,4.196482,12.530688,76.523415,-2.334127,12.284066,76.240685,15691.432867,15691.394525,0,20,1,1.085168,9.029849,84.727470,0.019761,0.017056,0.029286
15691.450798,4.188754,12.556334,76.132378,-2.350510,12.329663,76.123306,15691.450778,15691.411058,0,21,1,1.036563,9.116080,84.496498,0.012935,0.013125,0.028331
15691.467791,4.165649,12.605480,76.064674,-2.355593,12.348813,75.987747,15691.467771,15691.427764,0,22,1,1.075872,9.061381,84.355888,0.024284,0.019342,0.028464
