timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
11456.912434,5.316412,11.871764,73.267616,-1.190103,11.788825,72.484985,11456.912412,11456.832336,0,7,1,2.281566,10.216052,81.741768,-0.187481,0.029491,0.021085
11456.917976,5.367095,11.796527,73.742622,-1.171740,11.718153,72.730385,11456.917940,11456.882286,0,10,1,2.316989,10.092367,82.088409,-0.178814,0.028196,0.025776
11456.929764,5.319400,11.878211,73.167572,-1.192557,11.760767,72.406273,11456.929728,11456.899117,0,11,1,2.295723,10.277335,81.662186,-0.193502,0.030153,0.024756
11456.946103,5.285465,11.848132,72.972420,-1.146385,11.792975,72.205696,11456.946088,11456.916670,0,12,1,2.340053,10.119177,81.432625,-0.174732,0.035324,0.021351
11456.963060,5.354808,11.768576,73.723114,-1.164050,11.705231,72.538185,11456.963044,11456.932678,0,13,1,2.386825,10.101084,81.981537,-0.178952,0.038309,0.019646
11456.979893,5.325253,11.788677,73.538857,-1.144733,11.690515,72.348717,11456.979876,11456.949020,0,14,1,2.361849,10.177516,81.805550,-0.184687,0.034745,0.024353
11456.995805,5.323256,11.804351,73.347191,-1.162769,11.698490,72.392578,11456.995790,11456.966497,0,15,1,2.346982,10.128256,81.720749,-0.178128,0.034333,0.023587
11457.012006,5.314422,11.827537,73.260689,-1.164451,11.740457,72.394920,11457.011985,11456.982419,0,16,1,2.370151,10.190477,81.687981,-0.184675,0.036831,0.026575
11457.029435,5.316408,11.813978,73.272499,-1.162972,11.721164,72.403854,11457.029413,11456.999373,0,17,1,2.368994,10.161437,81.693626,-0.181561,0.038463,0.019421
11457.045284,5.315665,11.802869,73.292236,-1.163111,11.751968,72.401199,11457.045270,11457.015665,0,18,1,2.337793,10.193658,81.709106,-0.185389,0.033955,0.022830
11457.063286,5.316094,11.812703,73.303612,-1.162601,11.727876,72.376602,11457.063263,11457.032401,0,19,1,2.319330,10.280832,81.718910,-0.195307,0.032341,0.021226
11457.080407,5.318777,11.862986,73.342072,-1.162627,11.774174,72.380714,11457.080392,11457.049232,0,20,1,2.289110,10.174325,81.720642,-0.183452,0.027785,0.023988
11457.096596,5.319013,11.826150,73.373688,-1.160242,11.761098,72.379051,11457.096581,11457.066252,0,21,1,2.349007,10.173757,81.734734,-0.183381,0.034738,0.023355
11457.112647,5.316766,11.841802,73.363518,-1.159588,11.770946,72.374016,11457.112631,11457.082348,0,22,1,2.345662,10.081215,81.708626,-0.172623,0.034566,0.022595
11457.129625,5.318401,11.816463,73.419144,-1.157244,11.744922,72.437515,11457.129607,11457.099137,0,23,1,2.384964,10.074362,81.767250,-0.172375,0.038246,0.024877
11457.148613,5.323786,11.807652,73.463539,-1.156595,11.730377,72.444771,11457.148588,11457.115864,0,24,1,2.421252,10.202853,81.816818,-0.186948,0.041600,0.027234
11457.166009,5.322099,11.842989,73.463989,-1.158704,11.765184,72.456703,11457.165984,11457.132357,0,25,1,2.367413,10.232493,81.829170,-0.190438,0.038063,0.018343
11457.179456,5.318168,11.844503,73.408051,-1.158553,11.754160,72.452232,11457.179441,11457.149053,0,26,1,2.356556,10.175250,81.788559,-0.183656,0.035362,0.024081
11457.195564,5.318909,11.851396,73.416786,-1.160329,11.758580,72.539589,11457.195547,11457.165904,0,27,1,2.364255,9.994454,81.801598,-0.163850,0.037312,0.020032
11457.212085,5.325462,11.831123,73.492821,-1.159957,11.740472,72.562531,11457.212070,11457.182350,0,28,1,2.322028,10.209335,81.895386,-0.188698,0.031028,0.024303
11457.230469,5.325462,11.818986,73.491211,-1.159418,11.738163,72.569939,11457.230451,11457.198987,0,29,1,2.333321,10.141828,81.885994,-0.181292,0.033165,0.021023
11457.246211,5.326322,11.848602,73.481995,-1.158259,11.749907,72.579720,11457.246196,11457.215814,0,30,1,2.324410,10.148726,81.887253,-0.182056,0.031521,0.022735
11457.262544,5.329379,11.832904,73.484222,-1.156748,11.765934,72.612686,11457.262527,11457.232326,0,31,1,2.361744,10.120736,81.898895,-0.179121,0.036023,0.021031
11457.280359,5.331192,11.816663,73.471191,-1.154110,11.732252,72.613434,11457.280345,11457.249728,0,32,1,2.366349,10.076578,81.884995,-0.174249,0.036734,0.019433
11457.296670,5.334446,11.825655,73.461540,-1.153294,11.740259,72.631645,11457.296653,11457.265705,0,33,1,2.376626,10.159773,81.904770,-0.183671,0.036642,0.023362
11457.312615,5.334102,11.810643,73.489830,-1.154315,11.720073,72.643082,11457.312599,11457.282613,0,34,1,2.378031,10.180361,81.929245,-0.186280,0.037312,0.021961
11457.329622,5.331718,11.846539,73.425941,-1.150661,11.780146,72.550690,11457.329608,11457.299016,0,35,1,2.375265,10.071918,81.828186,-0.173316,0.037525,0.019402
11457.347637,5.330586,11.826949,73.406647,-1.150228,11.740033,72.549820,11457.347615,11457.316559,0,36,1,2.392495,10.268707,81.854614,-0.195338,0.039296,0.020936
11457.363148,5.329354,11.825571,73.379471,-1.146788,11.767129,72.525749,11457.363134,11457.332488,0,37,1,2.380374,10.084609,81.794838,-0.174337,0.035704,0.027514
11457.379265,5.333860,11.848637,73.373428,-1.143837,11.751127,72.506065,11457.379251,11457.349060,0,38,1,2.368967,10.222219,81.808006,-0.189881,0.036637,0.018590
11457.396594,5.338181,11.850769,73.365700,-1.141863,11.782048,72.441788,11457.396571,11457.366451,0,39,1,2.319015,10.198936,81.768417,-0.187000,0.029476,0.022130
11457.413250,5.335746,11.856848,73.302689,-1.138432,11.777328,72.401070,11457.413227,11457.382381,0,40,1,2.345461,10.110204,81.698357,-0.176385,0.032634,0.021235
11457.429320,5.336302,11.826687,73.285843,-1.137721,11.758192,72.373711,11457.429306,11457.399035,0,41,1,2.472146,10.144506,81.678642,-0.179795,0.047434,0.020534
11457.446331,5.340388,11.835179,73.274727,-1.134062,11.776079,72.328461,11457.446316,11457.416317,0,42,1,2.392113,10.237774,81.670029,-0.190116,0.037784,0.020616
11457.462129,5.340613,11.861787,73.283752,-1.134537,11.815899,72.338562,11457.462114,11457.432323,0,43,1,2.395730,10.043561,81.641533,-0.168197,0.038004,0.020801
11457.479129,5.337220,11.891811,73.253098,-1.135344,11.815248,72.352921,11457.479115,11457.449176,0,44,1,2.403042,10.134341,81.650627,-0.178558,0.039863,0.018327
11457.495522,5.337909,11.852018,73.258324,-1.133235,11.795897,72.335388,11457.495507,11457.466157,0,45,1,2.377197,10.281341,81.673363,-0.195375,0.036067,0.021102
11457.512499,5.344210,11.854527,73.227325,-1.129607,11.800052,72.324959,11457.512484,11457.482328,0,46,1,2.313298,10.071696,81.615746,-0.172036,0.028061,0.020610
11457.529400,5.349805,11.839472,73.246857,-1.127538,11.775913,72.296616,11457.529379,11457.499070,0,47,1,2.445778,10.264021,81.643852,-0.193499,0.042182,0.023885
11457.547407,5.352358,11.875701,73.240753,-1.125831,11.826352,72.302605,11457.547391,11457.516033,0,48,1,2.428738,10.197940,81.631798,-0.186389,0.040694,0.021003
11457.563661,5.361039,11.829873,73.274284,-1.120275,11.766389,72.342979,11457.563637,11457.532335,0,49,1,2.407824,10.201331,81.672150,-0.187040,0.037261,0.021836
11457.579659,5.372834,11.838890,73.389420,-1.115411,11.754022,72.402390,11457.579642,11457.548993,0,50,1,2.344934,10.163993,81.755966,-0.183904,0.029557,0.019882
11457.596020,5.385861,11.828508,73.457253,-1.106537,11.780658,72.397598,11457.596005,11457.565902,0,51,1,2.390796,10.215860,81.796120,-0.189945,0.033571,0.020089
11457.612897,5.401218,11.817016,73.475403,-1.094678,11.770360,72.339874,11457.612881,11457.582336,0,52,1,2.417080,10.375467,81.803406,-0.207856,0.035459,0.019003
11457.630048,5.422051,11.817486,73.453758,-1.072189,11.786489,72.316917,11457.630031,11457.599822,0,53,1,2.417861,10.159407,81.743797,-0.183435,0.032906,0.018891
11457.647409,5.446346,11.821658,73.463066,-1.049333,11.783013,72.342674,11457.647385,11457.615742,0,54,1,2.457983,10.159866,81.761444,-0.183857,0.035531,0.016388
11457.663114,5.479280,11.808481,73.476753,-1.016541,11.798663,72.291397,11457.663099,11457.632349,0,55,1,2.426630,10.118754,81.736450,-0.179240,0.028237,0.015848
11457.679216,5.514573,11.869719,73.312309,-0.971090,11.850788,72.158844,11457.679198,11457.649049,0,56,1,2.471678,10.142491,81.587959,-0.179972,0.028905,0.015495
11457.696875,5.556483,11.845760,73.357552,-0.935828,11.836258,72.163490,11457.696860,11457.666705,0,57,1,2.536750,10.219529,81.627350,-0.188816,0.032004,0.015433
11457.712781,5.601343,11.855565,73.375458,-0.891270,11.826381,72.152252,11457.712765,11457.682608,0,58,1,2.581377,10.185034,81.624222,-0.184819,0.032347,0.014101
11457.729006,5.653738,11.828344,73.327621,-0.837981,11.830955,72.116974,11457.728991,11457.699010,0,59,1,2.711254,10.341691,81.607819,-0.202130,0.042465,0.009914
11457.746918,5.717146,11.815105,73.320862,-0.774135,11.822948,72.073402,11457.746902,11457.716476,0,60,1,2.707590,10.134316,81.547539,-0.178569,0.034729,0.009619
11457.763560,5.786613,11.806805,73.244720,-0.699907,11.854148,72.018112,11457.763541,11457.732443,0,61,1,2.769857,10.197891,81.492462,-0.184850,0.032947,0.012051
11457.779450,5.867878,11.893881,73.192947,-0.623018,11.868180,72.020996,11457.779435,11457.749406,0,62,1,2.870730,10.335945,81.489418,-0.199621,0.036121,0.009884
11457.795724,5.963348,11.864800,73.166786,-0.526161,11.884628,72.000389,11457.795709,11457.765692,0,63,1,2.917491,10.127246,81.428802,-0.175646,0.031152,0.007270
11457.812529,6.065678,11.862519,73.112671,-0.420687,11.871523,71.997032,11457.812514,11457.782347,0,64,1,3.094496,10.134505,81.398293,-0.175401,0.038792,0.009923
11457.828904,6.213643,11.884344,73.146553,-0.278501,11.911671,72.040268,11457.828885,11457.799243,0,65,1,3.159170,10.223670,81.454620,-0.185324,0.031963,0.001351
11457.846509,6.378055,11.817972,73.081337,-0.111825,11.878305,72.026787,11457.846482,11457.815670,0,66,1,3.348330,10.185484,81.407181,-0.179707,0.034307,0.002580
11457.863467,6.591631,11.871056,73.019356,0.105609,11.930368,72.026024,11457.863443,11457.833115,0,67,1,3.512923,10.224465,81.381264,-0.183096,0.029439,-0.000768
11457.878891,6.842302,11.836400,72.940826,0.365127,11.895749,71.873581,11457.878876,11457.849085,0,68,1,3.732430,10.223711,81.264732,-0.181228,0.024116,0.003142
11457.895426,7.129126,11.883090,72.919518,0.652285,11.958708,71.907074,11457.895411,11457.866066,0,69,1,4.024677,10.301414,81.282494,-0.189279,0.026803,-0.003905
11457.912248,7.361397,11.877123,72.838463,0.887776,11.954087,71.901489,11457.912233,11457.882343,0,70,1,4.187780,10.354460,81.247505,-0.193704,0.018851,-0.004863
11457.928894,7.622425,11.896150,72.832809,1.148696,11.985085,71.951302,11457.928876,11457.899075,0,71,1,4.465415,10.311617,81.260117,-0.188144,0.021948,-0.008870
11457.946075,7.895105,11.877898,72.759567,1.427803,11.983470,71.929230,11457.946056,11457.915643,0,72,1,4.736131,10.179393,81.185387,-0.171613,0.022792,-0.013712
11457.963435,8.181488,11.905345,72.674248,1.718890,11.992842,71.856438,11457.963419,11457.932948,0,73,1,4.912721,10.190188,81.105721,-0.171106,0.010878,-0.017295
11457.980466,8.484791,11.890263,72.607605,2.034554,12.038785,71.833267,11457.980451,11457.949988,0,74,1,5.148205,10.048309,81.028015,-0.153582,0.002502,-0.017436
11457.996856,8.802575,11.936350,72.596405,2.356587,12.048791,71.961044,11457.996840,11457.965864,0,75,1,5.453859,10.025886,81.079697,-0.150606,0.000939,-0.017385
11458.012501,9.119646,11.928817,72.438522,2.694842,12.053486,71.904510,11458.012485,11457.982355,0,76,1,5.752941,10.041013,80.972267,-0.150377,-0.001145,-0.021662
11458.029959,9.483885,11.941202,72.456612,3.062225,12.056505,71.992676,11458.029937,11457.999753,0,77,1,5.995079,10.022187,81.017014,-0.147380,-0.012759,-0.030573
11458.046006,9.877801,11.933878,72.606308,3.448604,12.065484,72.188766,11458.045991,11458.015692,0,78,1,6.396918,10.040617,81.195244,-0.149948,-0.010397,-0.033906
11458.062455,10.251742,11.920260,72.542442,3.837393,12.057736,72.286942,11458.062440,11458.032351,0,79,1,6.727773,9.987739,81.197052,-0.142616,-0.015829,-0.035357
11458.079524,10.660449,11.952425,72.582695,4.247459,12.054432,72.499023,11458.079509,11458.049587,0,80,1,7.084795,10.060314,81.337013,-0.150686,-0.021056,-0.038289
11458.095999,11.101537,11.915335,72.835457,4.671625,12.063354,72.814537,11458.095975,11458.065650,0,81,1,7.499645,10.086197,81.628464,-0.154655,-0.021462,-0.044076
11458.114109,11.531664,11.883585,72.943871,5.095163,12.048673,72.903412,11458.114087,11458.082502,0,82,1,7.883642,10.179194,81.744324,-0.164406,-0.025681,-0.047882
11458.130293,11.957054,11.893772,72.941452,5.528943,12.084192,72.984650,11458.130269,11458.099452,0,83,1,8.299223,10.042123,81.750519,-0.147064,-0.025163,-0.053692
11458.145189,12.374802,11.933449,72.836945,5.960069,12.114348,72.949860,11458.145175,11458.115673,0,84,1,8.746347,10.165901,81.703850,-0.158715,-0.022225,-0.055256
11458.162811,12.773184,11.940339,72.642113,6.375749,12.143540,72.770515,11458.162796,11458.132371,0,85,1,9.146297,10.233891,81.523140,-0.162043,-0.023266,-0.055334
11458.179468,13.211696,11.948419,72.667343,6.811548,12.159941,72.801559,11458.179452,11458.149359,0,86,1,9.541486,10.258797,81.550552,-0.162314,-0.025480,-0.064642
11458.196211,13.667516,11.951749,72.881859,7.246692,12.203436,73.006424,11458.196196,11458.165722,0,87,1,10.044132,10.221842,81.754166,-0.157879,-0.018159,-0.065959
11458.212971,14.050923,11.931999,72.737946,7.630438,12.229144,72.781708,11458.212957,11458.183194,0,88,1,10.459502,10.304043,81.582069,-0.163561,-0.016578,-0.060392
11458.229466,14.393927,11.998774,72.385818,7.996072,12.297816,72.370277,11458.229452,11458.199225,0,89,1,10.819319,10.309687,81.190819,-0.158522,-0.015498,-0.060844
11458.246434,14.778826,11.983859,72.365555,8.385022,12.322918,72.375282,11458.246419,11458.216149,0,90,1,11.201471,10.260105,81.168945,-0.150805,-0.014670,-0.065162
11458.262763,15.169539,12.005936,72.442970,8.748049,12.389052,72.276451,11458.262748,11458.232375,0,91,1,11.542418,10.341954,81.169769,-0.157920,-0.018027,-0.067769
11458.279306,15.518875,12.056580,72.417992,9.089749,12.452394,72.193100,11458.279292,11458.249064,0,92,1,11.896542,10.269259,81.095551,-0.147886,-0.017479,-0.063854
11458.297190,15.926851,11.954219,72.794769,9.452779,12.356755,72.479897,11458.297173,11458.266028,0,93,1,12.278316,10.177055,81.412224,-0.139122,-0.016779,-0.069623
11458.313228,16.277973,11.978133,72.902382,9.793201,12.404576,72.563553,11458.313209,11458.282407,0,94,1,12.566551,10.226044,81.514801,-0.144267,-0.023265,-0.069657
