timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
15926.146677,-8.445044,3.465591,76.208305,-1.930573,3.645014,76.159203,15926.146676,15926.079245,0,7,1,-5.757431,6.174653,84.789825,0.043783,-0.059666,0.021005
15926.151579,-8.399644,3.480684,75.933929,-1.932104,3.632333,75.894203,15926.151578,15926.112567,0,9,1,-5.726375,6.305028,84.465202,0.023484,-0.060341,0.016037
15926.159925,-8.412150,3.475970,75.966911,-1.922820,3.684275,75.894737,15926.159924,15926.130736,0,10,1,-5.797563,6.431175,84.445892,0.012182,-0.065946,0.023664
15926.175860,-8.403641,3.482126,76.215012,-1.904742,3.692215,76.218117,15926.175859,15926.145895,0,11,1,-5.822940,6.507520,84.704430,0.003839,-0.070406,0.023950
15926.192731,-8.408901,3.495064,76.661263,-1.898820,3.644457,75.851112,15926.192731,15926.162619,0,12,1,-5.772027,6.404081,84.778175,0.014367,-0.065270,0.021496
15926.210873,-8.430774,3.498261,76.804436,-1.889292,3.676624,76.175751,15926.210872,15926.179222,0,13,1,-5.818806,6.395359,85.018036,0.017164,-0.067375,0.029362
15926.226655,-8.413925,3.461816,76.222282,-1.911570,3.634253,76.023254,15926.226654,15926.196498,0,14,1,-5.806731,6.352098,84.659843,0.020154,-0.067006,0.025163
15926.243085,-8.411711,3.472144,76.265282,-1.910335,3.665140,76.022980,15926.243085,15926.212551,0,15,1,-5.821400,6.536458,84.614647,-0.002394,-0.067341,0.029902
15926.259247,-8.414996,3.441694,76.247849,-1.907051,3.606755,76.026421,15926.259246,15926.229219,0,16,1,-5.821653,6.424068,84.644249,0.010045,-0.068271,0.027063
15926.275666,-8.417164,3.464600,76.242393,-1.908803,3.632992,76.029816,15926.275665,15926.245891,0,17,1,-5.781385,6.423304,84.643791,0.009375,-0.064707,0.023268
15926.294659,-8.419732,3.437997,76.296135,-1.907599,3.626476,76.020187,15926.294658,15926.263370,0,18,1,-5.790454,6.494043,84.637383,-0.000291,-0.063401,0.029752
15926.309987,-8.424235,3.434636,76.312431,-1.910532,3.642736,76.027618,15926.309986,15926.279501,0,19,1,-5.806020,6.492738,84.644463,-0.001480,-0.065957,0.026651
15926.326515,-8.424956,3.395895,76.318222,-1.909502,3.599947,76.003777,15926.326515,15926.295849,0,20,1,-5.757868,6.484782,84.635368,-0.002805,-0.058106,0.032637
15926.342896,-8.427155,3.377908,76.295975,-1.907026,3.561340,75.995872,15926.342895,15926.312557,0,21,1,-5.687810,6.438572,84.633263,0.000253,-0.051452,0.028087
15926.360686,-8.426737,3.352500,76.269615,-1.906552,3.555201,76.000244,15926.360684,15926.330168,0,22,1,-5.706098,6.296661,84.662773,0.014211,-0.051349,0.035095
15926.375703,-8.429553,3.347826,76.262482,-1.905887,3.535553,76.000114,15926.375703,15926.345892,0,23,1,-5.760160,6.449512,84.596687,-0.005589,-0.059759,0.028529
15926.393126,-8.429984,3.318982,76.238510,-1.903660,3.528003,76.017021,15926.393124,15926.363063,0,24,1,-5.748032,6.373922,84.614899,0.001403,-0.058614,0.028059
15926.409133,-8.424991,3.304650,76.193779,-1.900667,3.529542,76.020027,15926.409132,15926.379223,0,25,1,-5.826538,6.582440,84.506653,-0.024945,-0.068735,0.026968
