timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
714243.267291,5.336212,11.819503,73.581779,-1.162207,11.721128,72.527847,714243.267266,714243.220454,0,1999,1,2.508579,9.957369,81.870659,-0.162253,0.050624,0.028615
714243.283867,5.336758,11.808940,73.572495,-1.160393,11.720614,72.528549,714243.283844,714243.237134,0,2000,1,2.467499,9.874833,81.850822,-0.152926,0.045622,0.028684
714243.295826,5.334369,11.808913,73.537971,-1.160043,11.727844,72.561630,714243.295798,714243.253815,0,2001,1,2.472508,9.925529,81.860237,-0.158422,0.046280,0.029008
714243.308764,5.342066,11.812878,73.588715,-1.158239,11.741802,72.571304,714243.308741,714243.270495,0,2002,1,2.495328,9.976147,81.900497,-0.164505,0.049032,0.026898
714243.324811,5.346926,11.843461,73.623001,-1.156737,11.769773,72.589134,714243.324790,714243.287176,0,2003,1,2.478372,9.974245,81.926796,-0.164573,0.045103,0.032134
714243.341065,5.344722,11.830371,73.583885,-1.154426,11.731940,72.588394,714243.341051,714243.303856,0,2004,1,2.532267,9.948703,81.899551,-0.161542,0.052760,0.027389
714243.356374,5.344614,11.832715,73.575134,-1.155409,11.751581,72.599297,714243.356350,714243.320537,0,2005,1,2.535795,9.957982,81.902008,-0.162572,0.053378,0.026889
714243.372202,5.341351,11.849663,73.570969,-1.158586,11.732878,72.630783,714243.372185,714243.337218,0,2006,1,2.510694,9.935697,81.912224,-0.160105,0.050094,0.029340
714243.388837,5.339897,11.820750,73.605774,-1.159965,11.743775,72.651405,714243.388816,714243.353898,0,2007,1,2.489737,9.925793,81.939056,-0.159074,0.048314,0.027692
714243.403974,5.336445,11.824142,73.608833,-1.164965,11.734076,72.665733,714243.403948,714243.370579,0,2008,1,2.541394,9.998427,81.960442,-0.167277,0.053192,0.033450
714243.419856,5.338809,11.845004,73.638794,-1.167865,11.760668,72.697090,714243.419841,714243.387259,0,2009,1,2.537015,10.053378,82.001976,-0.173852,0.054201,0.028461
714243.434711,5.337365,11.841652,73.665367,-1.170709,11.752083,72.691475,714243.434694,714243.403940,0,2010,1,2.523890,10.098720,82.022034,-0.179024,0.052562,0.029920
714243.453319,5.333804,11.842825,73.642967,-1.173946,11.762660,72.670624,714243.453293,714243.420620,0,2011,1,2.509478,9.990602,81.978836,-0.166400,0.051311,0.029389
714243.470169,5.337206,11.838515,73.694061,-1.177683,11.755404,72.728600,714243.470145,714243.437301,0,2012,1,2.473947,9.959105,82.029266,-0.163227,0.046934,0.030252
714243.488391,5.339056,11.807873,73.696426,-1.176589,11.727564,72.668198,714243.488366,714243.453982,0,2013,1,2.492573,9.958243,81.999573,-0.162824,0.049911,0.027004
714243.518359,5.331821,11.826649,73.621208,-1.178191,11.724210,72.653343,714243.518336,714243.470718,0,2014,1,2.518984,9.937246,81.947495,-0.159804,0.053367,0.027310
714243.534231,5.323050,11.846917,73.526566,-1.179724,11.743552,72.635384,714243.534203,714243.487406,0,2015,1,2.491858,9.980337,81.899498,-0.163908,0.049878,0.030590
714243.550751,5.324619,11.844666,73.536339,-1.181084,11.747211,72.654839,714243.550726,714243.504094,0,2016,1,2.497920,10.004675,81.918610,-0.166573,0.051158,0.028658
714243.566363,5.323301,11.845626,73.544067,-1.182812,11.768348,72.634941,714243.566336,714243.520781,0,2017,1,2.506566,9.953012,81.900887,-0.160625,0.052644,0.027402
714243.580586,5.320636,11.842290,73.515129,-1.181344,11.761530,72.590797,714243.580558,714243.537469,0,2018,1,2.503602,9.926099,81.858353,-0.157291,0.053287,0.024241
714243.595450,5.320114,11.865135,73.494118,-1.182051,11.792760,72.562241,714243.595427,714243.554156,0,2019,1,2.525676,9.958489,81.838058,-0.160538,0.054265,0.029819
714243.610892,5.317595,11.868390,73.455414,-1.180743,11.768811,72.567619,714243.610871,714243.570844,0,2020,1,2.527520,10.040269,81.837715,-0.169423,0.054993,0.028625
714243.627759,5.313644,11.875017,73.421097,-1.180118,11.754137,72.537750,714243.627740,714243.587531,0,2021,1,2.543396,9.955861,81.786804,-0.159423,0.056889,0.028830
714243.644821,5.314081,11.867489,73.428307,-1.177009,11.770638,72.562859,714243.644799,714243.604219,0,2022,1,2.527203,9.938378,81.800262,-0.157553,0.054401,0.030108
714243.659719,5.315145,11.838890,73.424286,-1.175909,11.765759,72.548721,714243.659703,714243.620906,0,2023,1,2.483202,10.095783,81.825577,-0.175208,0.049259,0.030529
714243.676062,5.314840,11.850391,73.428375,-1.174346,11.742620,72.536774,714243.676046,714243.637594,0,2024,1,2.515112,10.016112,81.804245,-0.166012,0.052417,0.031810
714243.693153,5.315591,11.858435,73.438446,-1.174886,11.753628,72.574768,714243.693129,714243.654281,0,2025,1,2.490419,9.989564,81.824211,-0.163437,0.051381,0.025406
714243.708794,5.314037,11.848415,73.427879,-1.176898,11.749949,72.627174,714243.708773,714243.670969,0,2026,1,2.557360,9.966536,81.837334,-0.160916,0.058774,0.027303
714243.724906,5.319530,11.852930,73.485916,-1.176718,11.738713,72.609222,714243.724878,714243.687656,0,2027,1,2.526992,10.005985,81.867813,-0.165718,0.055440,0.025678
714243.740794,5.320619,11.843609,73.478851,-1.176013,11.729424,72.623093,714243.740771,714243.704344,0,2028,1,2.540377,9.993194,81.868408,-0.164377,0.056638,0.026535
714243.758888,5.320969,11.857036,73.471947,-1.173496,11.751714,72.619957,714243.758866,714243.721031,0,2029,1,2.532092,10.004083,81.865570,-0.165574,0.055468,0.026643
