CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
714243.241153569, 714243.241153569, 1999, 714243.241153569, 714243.241153569, 1999, 714243.241153569, 118
714243.257834136, 714243.257834136, 2000, 714243.257834136, 714243.257834136, 2000, 714243.257834136, 119
714243.274514703, 714243.274514703, 2001, 714243.274514703, 714243.274514703, 2001, 714243.274514703, 120
714243.291195270, 714243.291195270, 2002, 714243.291195270, 714243.291195270, 2002, 714243.291195270, 121
714243.307875837, 714243.307875837, 2003, 714243.307875837, 714243.307875837, 2003, 714243.307875837, 122
714243.324556405, 714243.324556405, 2004, 714243.324556405, 714243.324556405, 2004, 714243.324556405, 123
714243.341236972, 714243.341236972, 2005, 714243.341236972, 714243.341236972, 2005, 714243.341236972, 124
714243.357917539, 714243.357917539, 2006, 714243.357917539, 714243.357917539, 2006, 714243.357917539, 125
714243.374598106, 714243.374598106, 2007, 714243.374598106, 714243.374598106, 2007, 714243.374598106, 126
714243.391278673, 714243.391278673, 2008, 714243.391278673, 714243.391278673, 2008, 714243.391278673, 127
714243.407959240, 714243.407959240, 2009, 714243.407959240, 714243.407959240, 2009, 714243.407959240, 128
714243.424639808, 714243.424639808, 2010, 714243.424639808, 714243.424639808, 2010, 714243.424639808, 129
714243.441320375, 714243.441320375, 2011, 714243.441320375, 714243.441320375, 2011, 714243.441320375, 130
714243.458000942, 714243.458000942, 2012, 714243.458000942, 714243.458000942, 2012, 714243.458000942, 131
714243.474681509, 714243.474681509, 2013, 714243.474681509, 714243.474681509, 2013, 714243.474681509, 132
714243.491418481, 714243.491418481, 2014, 714243.491418481, 714243.491418481, 2014, 714243.491418481, 133
714243.508106007, 714243.508106007, 2015, 714243.508106007, 714243.508106007, 2015, 714243.508106007, 134
714243.524793533, 714243.524793533, 2016, 714243.524793533, 714243.524793533, 2016, 714243.524793533, 135
714243.541481059, 714243.541481059, 2017, 714243.541481059, 714243.541481059, 2017, 714243.541481059, 136
714243.558168585, 714243.558168585, 2018, 714243.558168585, 714243.558168585, 2018, 714243.558168585, 137
714243.574856111, 714243.574856111, 2019, 714243.574856111, 714243.574856111, 2019, 714243.574856111, 138
714243.591543637, 714243.591543637, 2020, 714243.591543637, 714243.591543637, 2020, 714243.591543637, 139
714243.608231163, 714243.608231163, 2021, 714243.608231163, 714243.608231163, 2021, 714243.608231163, 140
714243.624918689, 714243.624918689, 2022, 714243.624918689, 714243.624918689, 2022, 714243.624918689, 141
714243.641606215, 714243.641606215, 2023, 714243.641606215, 714243.641606215, 2023, 714243.641606215, 142
714243.658293741, 714243.658293741, 2024, 714243.658293741, 714243.658293741, 2024, 714243.658293741, 143
714243.674981267, 714243.674981267, 2025, 714243.674981267, 714243.674981267, 2025, 714243.674981267, 144
714243.691668793, 714243.691668793, 2026, 714243.691668793, 714243.691668793, 2026, 714243.691668793, 145
714243.708356319, 714243.708356319, 2027, 714243.708356319, 714243.708356319, 2027, 714243.708356319, 146
714243.725043845, 714243.725043845, 2028, 714243.725043845, 714243.725043845, 2028, 714243.725043845, 147
714243.741731371, 714243.741731371, 2029, 714243.741731371, 714243.741731371, 2029, 714243.741731371, 148
714243.758418897, 714243.758418897, 2030, 714243.758418897, 714243.758418897, 2030, 714243.758418897, 149
714243.775106423, 714243.775106423, 2031, 714243.775106423, 714243.775106423, 2031, 714243.775106423, 150
714243.791793949, 714243.791793949, 2032, 714243.791793949, 714243.791793949, 2032, 714243.791793949, 151
714243.808481475, 714243.808481475, 2033, 714243.808481475, 714243.808481475, 2033, 714243.808481475, 152
714243.825169001, 714243.825169001, 2034, 714243.825169001, 714243.825169001, 2034, 714243.825169001, 153
714243.841856527, 714243.841856527, 2035, 714243.841856527, 714243.841856527, 2035, 714243.841856527, 154
714243.858544054, 714243.858544054, 2036, 714243.858544054, 714243.858544054, 2036, 714243.858544054, 155
714243.875231580, 714243.875231580, 2037, 714243.875231580, 714243.875231580, 2037, 714243.875231580, 156
714243.891867544, 714243.891867544, 2038, 714243.891867544, 714243.891867544, 2038, 714243.891867544, 157
714243.908548112, 714243.908548112, 2039, 714243.908548112, 714243.908548112, 2039, 714243.908548112, 158
714243.925228679, 714243.925228679, 2040, 714243.925228679, 714243.925228679, 2040, 714243.925228679, 159
714243.941909246, 714243.941909246, 2041, 714243.941909246, 714243.941909246, 2041, 714243.941909246, 160
714243.958589813, 714243.958589813, 2042, 714243.958589813, 714243.958589813, 2042, 714243.958589813, 161
714243.975270380, 714243.975270380, 2043, 714243.975270380, 714243.975270380, 2043, 714243.975270380, 162
714243.991950947, 714243.991950947, 2044, 714243.991950947, 714243.991950947, 2044, 714243.991950947, 163
714244.008631515, 714244.008631515, 2045, 714244.008631515, 714244.008631515, 2045, 714244.008631515, 164
714244.025312082, 714244.025312082, 2046, 714244.025312082, 714244.025312082, 2046, 714244.025312082, 165
714244.041992649, 714244.041992649, 2047, 714244.041992649, 714244.041992649, 2047, 714244.041992649, 166
714244.058673216, 714244.058673216, 2048, 714244.058673216, 714244.058673216, 2048, 714244.058673216, 167
714244.075353783, 714244.075353783, 2049, 714244.075353783, 714244.075353783, 2049, 714244.075353783, 168
714244.092034350, 714244.092034350, 2050, 714244.092034350, 714244.092034350, 2050, 714244.092034350, 169
714244.108714918, 714244.108714918, 2051, 714244.108714918, 714244.108714918, 2051, 714244.108714918, 170
714244.125395485, 714244.125395485, 2052, 714244.125395485, 714244.125395485, 2052, 714244.125395485, 171
714244.142076052, 714244.142076052, 2053, 714244.142076052, 714244.142076052, 2053, 714244.142076052, 172
714244.158756619, 714244.158756619, 2054, 714244.158756619, 714244.158756619, 2054, 714244.158756619, 173
714244.175437186, 714244.175437186, 2055, 714244.175437186, 714244.175437186, 2055, 714244.175437186, 174
714244.192117754, 714244.192117754, 2056, 714244.192117754, 714244.192117754, 2056, 714244.192117754, 175
714244.208798321, 714244.208798321, 2057, 714244.208798321, 714244.208798321, 2057, 714244.208798321, 176
714244.225478888, 714244.225478888, 2058, 714244.225478888, 714244.225478888, 2058, 714244.225478888, 177
714244.242159455, 714244.242159455, 2059, 714244.242159455, 714244.242159455, 2059, 714244.242159455, 178
714244.258840022, 714244.258840022, 2060, 714244.258840022, 714244.258840022, 2060, 714244.258840022, 179
714244.275542932, 714244.275542932, 2061, 714244.275542932, 714244.275542932, 2061, 714244.275542932, 180
714244.292230458, 714244.292230458, 2062, 714244.292230458, 714244.292230458, 2062, 714244.292230458, 181
714244.308917984, 714244.308917984, 2063, 714244.308917984, 714244.308917984, 2063, 714244.308917984, 182
714244.325605510, 714244.325605510, 2064, 714244.325605510, 714244.325605510, 2064, 714244.325605510, 183
714244.342293036, 714244.342293036, 2065, 714244.342293036, 714244.342293036, 2065, 714244.342293036, 184
714244.358980562, 714244.358980562, 2066, 714244.358980562, 714244.358980562, 2066, 714244.358980562, 185
714244.375668088, 714244.375668088, 2067, 714244.375668088, 714244.375668088, 2067, 714244.375668088, 186
714244.392355614, 714244.392355614, 2068, 714244.392355614, 714244.392355614, 2068, 714244.392355614, 187
