CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
714300.204480757, 251.345565796, 270.103881836, 295.532501221, 269.966827393, 313.876220703, 269.336791992, 358.186126709, 269.637115479, -85.007125854, 39.765075684, 710.741088867, -19.383581161, 40.159030914, 711.967895508, 5414
714300.221154371, 251.706100464, 269.825378418, 295.768188477, 269.936096191, 313.978454590, 269.255981445, 358.295898438, 269.673919678, -85.102600098, 39.782749176, 711.465148926, -19.417581558, 40.131305695, 711.937194824, 5415
714300.237827985, 251.391601562, 269.743347168, 295.445983887, 269.741729736, 313.861267090, 269.434295654, 358.171081543, 269.746459961, -85.189674377, 39.749111176, 711.453063965, -19.486892700, 40.073169708, 711.506347656, 5416
714300.254501599, 251.457809448, 269.948425293, 295.488098145, 269.865875244, 313.954437256, 269.119445801, 358.209930420, 269.595153809, -85.270469666, 39.754543304, 711.620849609, -19.578668594, 40.016464233, 710.976318359, 5417
714300.271175213, 251.259216309, 269.854919434, 295.591766357, 269.945465088, 313.897064209, 269.075561523, 358.070495605, 269.413360596, -85.331230164, 39.699142456, 711.405578613, -19.640001297, 39.979217529, 711.263000488, 5418
714300.287848827, 251.222457886, 270.058654785, 295.329589844, 269.941589355, 313.804077148, 269.133605957, 358.085876465, 269.550079346, -85.386718750, 39.661624908, 711.194152832, -19.703447342, 39.935691833, 711.046569824, 5419
714300.304522441, 251.506927490, 269.869140625, 295.486541748, 270.064758301, 313.713867188, 269.606262207, 358.133300781, 269.775115967, -85.478904724, 39.700923920, 711.762695312, -19.750793457, 39.933197021, 710.878234863, 5420
714300.321196055, 251.173141479, 270.388732910, 295.296081543, 270.465301514, 313.957702637, 269.512390137, 357.845214844, 270.008453369, -85.537246704, 39.719535828, 711.751647949, -19.825666428, 39.974285126, 710.976562500, 5421
714300.337869669, 251.119262695, 270.855682373, 295.173461914, 270.723693848, 313.639343262, 270.127685547, 357.777526855, 270.387847900, -85.617279053, 39.816997528, 711.601440430, -19.909383774, 40.040672302, 710.639648438, 5422
714300.354543283, 251.250823975, 270.983337402, 295.366394043, 270.958831787, 313.707885742, 270.440734863, 357.662933350, 270.497192383, -85.717140198, 40.015380859, 712.238342285, -19.989057541, 40.180198669, 710.663146973, 5423
714300.371216897, 251.308883667, 270.960327148, 295.075744629, 271.141052246, 313.759948730, 270.446960449, 357.756103516, 270.737396240, -85.768547058, 40.195186615, 712.168457031, -20.063163757, 40.355808258, 710.707092285, 5424
714300.387844829, 251.130218506, 271.187377930, 295.232788086, 271.161071777, 313.728851318, 270.423339844, 357.533691406, 270.493103027, -85.812614441, 40.387058258, 712.248962402, -20.152601242, 40.511840820, 710.630920410, 5425
714300.404511496, 251.287048340, 270.904418945, 295.033294678, 271.208862305, 313.690917969, 270.363830566, 357.846374512, 270.726928711, -85.836929321, 40.542633057, 712.386474609, -20.208692551, 40.677627563, 710.410827637, 5426
714300.421178162, 250.909713745, 271.061767578, 295.366455078, 271.034393311, 313.690063477, 270.377197266, 357.747497559, 270.547149658, -85.857276917, 40.657489777, 711.778747559, -20.259714127, 40.815170288, 710.617370605, 5427
714300.437844829, 251.072982788, 270.731567383, 294.911651611, 270.851623535, 313.844238281, 270.079101562, 357.630126953, 270.301116943, -85.848846436, 40.713996887, 711.365844727, -20.327178955, 40.895648956, 710.587707520, 5428
714300.454511496, 251.241683960, 270.554199219, 295.241638184, 270.648345947, 313.513519287, 269.974090576, 357.587402344, 270.237060547, -85.909912109, 40.786109924, 711.683776855, -20.367969513, 40.976516724, 711.093505859, 5429
714300.471178162, 250.955551147, 270.393005371, 295.074737549, 270.600616455, 313.393920898, 270.013488770, 357.480712891, 270.164337158, -85.979751587, 40.843544006, 711.951232910, -20.435043335, 41.020172119, 711.197387695, 5430
