timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
714300.222632,-8.500692,4.020232,71.074112,-1.938340,4.051306,71.196793,714300.222631,714300.183781,0,5414,1,-6.103887,6.254058,79.817039,0.085908,-0.100686,0.006877
714300.235570,-8.510425,4.008744,71.146515,-1.941886,4.037143,71.193718,714300.235569,714300.200454,0,5415,1,-6.134273,6.292339,79.839058,0.081308,-0.102685,0.009613
714300.251621,-8.519291,4.022817,71.145309,-1.949140,4.073660,71.150635,714300.251620,714300.217128,0,5416,1,-6.136236,6.314289,79.810448,0.078278,-0.102151,0.009231
714300.268532,-8.527221,4.016354,71.162086,-1.958094,4.055612,71.097633,714300.268531,714300.233802,0,5417,1,-6.128444,6.411774,79.766586,0.066877,-0.101102,0.006868
714300.282378,-8.533366,4.026332,71.140556,-1.964196,4.042928,71.126305,714300.282377,714300.250475,0,5418,1,-6.079978,6.351452,79.791000,0.073147,-0.093639,0.010105
714300.300914,-8.538724,3.984684,71.119415,-1.970422,4.021300,71.104660,714300.300913,714300.267149,0,5419,1,-6.180454,6.362870,79.755760,0.071503,-0.105676,0.007003
714300.315577,-8.548007,3.989138,71.176270,-1.975102,3.997241,71.087822,714300.315577,714300.283822,0,5420,1,-6.164348,6.388383,79.771652,0.068534,-0.101553,0.011626
714300.332217,-8.553642,3.954108,71.175163,-1.982453,3.972610,71.097656,714300.332216,714300.300496,0,5421,1,-6.217765,6.378692,79.774529,0.070194,-0.108242,0.007700
714300.346892,-8.561637,3.914047,71.160149,-1.990852,3.939116,71.063965,714300.346891,714300.317170,0,5422,1,-6.198039,6.296270,79.777786,0.080698,-0.105239,0.006447
714300.365885,-8.571557,3.899390,71.223839,-1.998728,3.904442,71.066315,714300.365884,714300.333843,0,5423,1,-6.163907,6.436126,79.781677,0.066524,-0.100284,0.006732
714300.396319,-8.576242,3.932108,71.216850,-2.005660,3.941976,71.070709,714300.396318,714300.350517,0,5424,1,-6.216042,6.464226,79.772682,0.065113,-0.104405,0.010710
714300.411906,-8.580679,3.914015,71.224899,-2.014723,3.935801,71.063095,714300.411906,714300.367145,0,5425,1,-6.211181,6.443073,79.784920,0.069868,-0.104812,0.004975
714300.427508,-8.582980,3.979260,71.238647,-2.020076,3.984378,71.041084,714300.427507,714300.383811,0,5426,1,-6.216250,6.460902,79.780197,0.069247,-0.102453,0.012871
714300.442593,-8.585342,3.962452,71.177879,-2.025602,3.981923,71.061737,714300.442591,714300.400478,0,5427,1,-6.265482,6.498518,79.748192,0.066623,-0.109423,0.007816
714300.459528,-8.584211,3.961479,71.136589,-2.032026,3.976822,71.058769,714300.459527,714300.417145,0,5428,1,-6.154506,6.665735,79.691360,0.047983,-0.095577,0.010031
714300.474044,-8.590454,3.970993,71.168381,-2.036232,3.984048,71.109352,714300.474044,714300.433811,0,5429,1,-6.185320,6.539540,79.769119,0.063388,-0.097946,0.011560
714300.490516,-8.597230,4.008342,71.195122,-2.042844,4.034326,71.119743,714300.490515,714300.450478,0,5430,1,-6.185153,6.520478,79.795204,0.066199,-0.097253,0.011076
714300.506074,-8.602159,3.981833,71.175591,-2.050805,4.005178,71.154114,714300.506073,714300.467145,0,5431,1,-6.209480,6.504253,79.804970,0.068061,-0.100236,0.008316
714300.522633,-8.606955,3.995798,71.147552,-2.059647,4.014363,71.151512,714300.522632,714300.483811,0,5432,1,-6.220041,6.755917,79.713432,0.038368,-0.101373,0.007263
714300.541064,-8.615718,3.999374,71.165276,-2.066848,4.005682,71.138313,714300.541063,714300.500478,0,5433,1,-6.232361,6.581001,79.765175,0.057631,-0.101780,0.006841
714300.554270,-8.622674,3.984014,71.208916,-2.071930,4.000854,71.146408,714300.554270,714300.517145,0,5434,1,-6.224234,6.635036,79.773750,0.050171,-0.099601,0.008781
714300.571597,-8.628405,3.987310,71.202499,-2.077011,3.998185,71.137764,714300.571596,714300.533811,0,5435,1,-6.208231,6.591843,79.778801,0.054438,-0.098242,0.005076
