timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
714338.833284,4.440574,12.237022,75.440071,-2.067799,12.079659,75.214775,714338.852062,714338.781749,0,31177,1,1.388464,9.158070,84.533356,-0.083960,0.150282,0.035463
714338.837523,4.440565,12.236997,75.440964,-2.067808,12.079635,75.215660,714338.857052,714338.781749,0,31178,1,1.392071,9.153965,84.522385,-0.089539,0.158600,0.036220
714338.841580,4.440556,12.236972,75.441849,-2.067817,12.079609,75.216553,714338.861057,714338.781749,0,31179,1,1.395133,9.150654,84.513390,-0.094183,0.165542,0.036845
714338.844552,4.440547,12.236947,75.442734,-2.067827,12.079584,75.217438,714338.864035,714338.781749,0,31180,1,1.397504,9.148181,84.506599,-0.097732,0.170860,0.037320
714338.849526,4.440081,12.237754,75.440086,-2.067379,12.078726,75.221855,714338.869016,714338.798517,0,31181,1,1.450649,9.214725,84.843498,-0.234494,0.075703,0.033651
714338.854530,4.440072,12.237729,75.440979,-2.067389,12.078700,75.222755,714338.874008,714338.798517,0,31182,1,1.457800,9.214007,84.850327,-0.253346,0.076601,0.034149
714338.857548,4.440063,12.237703,75.441887,-2.067398,12.078674,75.223656,714338.876997,714338.798517,0,31183,1,1.462227,9.213601,84.854492,-0.265010,0.077151,0.034452
714338.861476,4.440053,12.237678,75.442795,-2.067407,12.078649,75.224564,714338.880986,714338.798517,0,31184,1,1.468301,9.213087,84.860138,-0.281010,0.077900,0.034862
714338.865422,4.439851,12.237303,75.444260,-2.067225,12.078971,75.224937,714338.885003,714338.815198,0,31185,1,1.518247,8.944097,84.722092,0.425810,0.070127,0.034866
714338.870450,4.439841,12.237277,75.445190,-2.067234,12.078944,75.225853,714338.889964,714338.815198,0,31186,1,1.528885,8.931171,84.721519,0.465249,0.070285,0.035632
714338.874437,4.439832,12.237250,75.446129,-2.067244,12.078918,75.226791,714338.893953,714338.815198,0,31187,1,1.537702,8.920631,84.721062,0.498147,0.070403,0.036266
714338.878454,4.439822,12.237224,75.447075,-2.067254,12.078891,75.227745,714338.897944,714338.815198,0,31188,1,1.546762,8.909951,84.720589,0.532136,0.070516,0.036917
714338.882423,4.439713,12.236612,75.451118,-2.067166,12.079446,75.225624,714338.901930,714338.831878,0,31189,1,1.512184,9.376695,85.123741,-0.245307,0.020726,0.023568
714338.886589,4.439703,12.236585,75.452095,-2.067176,12.079419,75.226593,714338.905933,714338.831878,0,31190,1,1.520148,9.384379,85.140739,-0.262249,0.017613,0.023400
714338.890446,4.439692,12.236557,75.453079,-2.067186,12.079391,75.227577,714338.909914,714338.831878,0,31191,1,1.528279,9.392217,85.157967,-0.279692,0.014413,0.023225
714338.895462,4.439682,12.236528,75.454079,-2.067196,12.079362,75.228577,714338.914914,714338.831878,0,31192,1,1.538788,9.402330,85.180084,-0.302435,0.010245,0.022993
714338.899405,4.439600,12.236304,75.461967,-2.067279,12.079138,75.236473,714338.918897,714338.831878,0,31193,1,1.547396,9.410604,85.198067,-0.321219,0.006806,0.022800
714338.903522,4.439603,12.235127,75.474693,-2.067481,12.079773,75.242775,714338.922886,714338.848559,0,31194,1,1.534719,9.493100,84.890388,-0.232848,0.123495,0.022781
714338.907426,4.439502,12.234853,75.484337,-2.067582,12.079498,75.252419,714338.926873,714338.848559,0,31195,1,1.542396,9.509049,84.897392,-0.247679,0.127291,0.022626
714338.911347,4.439536,12.235526,75.490517,-2.067712,12.078559,75.255608,714338.930852,714338.865239,0,31196,1,1.443209,8.800544,84.813759,0.379890,0.052202,0.026123
714338.915395,4.439485,12.235389,75.495354,-2.067762,12.078422,75.260437,714338.934848,714338.865239,0,31197,1,1.446889,8.781402,84.817459,0.409611,0.051204,0.026212
714338.920421,4.439432,12.235245,75.500427,-2.067816,12.078277,75.265518,714338.939845,714338.865239,0,31198,1,1.451619,8.756931,84.822174,0.448269,0.049905,0.026328
714338.924337,4.439378,12.235096,75.505638,-2.067870,12.078129,75.270729,714338.943820,714338.865239,0,31199,1,1.455484,8.737045,84.826004,0.480200,0.048831,0.026425
714338.928344,4.439403,12.235425,75.508186,-2.067916,12.077743,75.270187,714338.947814,714338.881920,0,31200,1,1.364767,9.236835,84.931992,-0.340050,-0.072272,0.015358
714338.932349,4.439393,12.235397,75.509186,-2.067927,12.077714,75.271187,714338.951801,714338.881920,0,31201,1,1.364582,9.236445,84.940041,-0.364241,-0.082032,0.014654
714338.936333,4.439383,12.235369,75.510185,-2.067937,12.077685,75.272179,714338.955793,714338.881920,0,31202,1,1.364404,9.236042,84.948242,-0.389321,-0.092136,0.013925
714338.940289,4.439372,12.235340,75.511177,-2.067948,12.077657,75.273178,714338.959785,714338.881920,0,31203,1,1.364234,9.235626,84.956596,-0.415262,-0.102571,0.013174
714338.945287,4.439362,12.235312,75.512169,-2.067958,12.077629,75.274170,714338.964767,714338.881920,0,31204,1,1.364034,9.235088,84.967224,-0.448835,-0.116057,0.012203
714338.949350,4.439351,12.235284,75.513161,-2.067968,12.077600,75.275162,714338.968759,714338.881920,0,31205,1,1.363883,9.234643,84.975914,-0.476706,-0.127236,0.011398
714338.953284,4.439341,12.235255,75.514160,-2.067979,12.077572,75.276154,714338.972745,714338.881920,0,31206,1,1.363740,9.234185,84.984734,-0.505392,-0.138729,0.010571
714338.957249,4.439624,12.234590,75.515594,-2.068282,12.078181,75.276703,714338.976736,714338.898601,0,31207,1,1.372728,9.187363,84.904747,-0.038559,0.169275,0.021637
714338.961256,4.439614,12.234561,75.516586,-2.068293,12.078154,75.277687,714338.980722,714338.898601,0,31208,1,1.372656,9.186275,84.910477,-0.039701,0.176964,0.021556
714338.966238,4.440100,12.234962,75.516403,-2.068799,12.077697,75.279831,714338.985709,714338.915281,0,31209,1,1.383922,9.101130,84.860130,0.206397,0.113742,0.023795
714338.970197,4.440089,12.234934,75.517387,-2.068810,12.077669,75.280815,714338.989706,714338.915281,0,31210,1,1.384352,9.096118,84.862442,0.223308,0.117539,0.023866
714338.974191,4.440079,12.234906,75.518364,-2.068820,12.077641,75.281792,714338.993684,714338.915281,0,31211,1,1.384791,9.091043,84.864754,0.240732,0.121448,0.023942
714338.978277,4.440676,12.234769,75.520027,-2.069437,12.077724,75.282074,714338.997680,714338.931962,0,31212,1,1.373257,8.994103,84.822899,-0.076522,-0.014240,0.026216
