frameCounter, trackingStatus, timeLogged, frameNumber
3344,2,714338.8638, 7730
3345,2,714338.8787, 7731
3346,2,714338.9000, 7732
3347,2,714338.9104, 7733
3348,2,714338.9262, 7734
3349,2,714338.9552, 7735
3350,2,714338.9618, 7736
3351,2,714338.9748, 7737
3352,2,714338.9931, 7738
3353,2,714339.0067, 7739
3354,2,714339.0188, 7740
3355,2,714339.0353, 7741
3356,2,714339.0513, 7742
3357,2,714339.0673, 7743
3358,2,714339.0835, 7744
3359,2,714339.1015, 7745
3360,2,714339.1175, 7746
3361,2,714339.1332, 7747
3362,2,714339.1506, 7748
3363,2,714339.1665, 7749
3364,2,714339.1833, 7750
3365,2,714339.1992, 7751
3366,2,714339.2302, 7752
3367,2,714339.2467, 7753
3368,2,714339.2615, 7754
3369,2,714339.2772, 7755
3370,2,714339.2930, 7756
3371,2,714339.3108, 7757
3372,2,714339.3233, 7758
3373,2,714339.3401, 7759
3374,2,714339.3562, 7760
3375,2,714339.3725, 7761
3376,2,714339.3885, 7762
3377,2,714339.4065, 7763
3378,2,714339.4212, 7764
3379,2,714339.4381, 7765
3380,2,714339.4544, 7766
3381,2,714339.4700, 7767
3382,2,714339.4860, 7768
3383,2,714339.5034, 7769
3384,2,714339.5177, 7770
3385,2,714339.5336, 7771
3386,2,714339.5496, 7772
3387,2,714339.5646, 7773
3388,2,714339.5802, 7774
3389,2,714339.5977, 7775
3390,2,714339.6275, 7776
3391,2,714339.6433, 7777
3392,2,714339.6595, 7778
3393,2,714339.6757, 7779
3394,2,714339.6927, 7780
3395,2,714339.7105, 7781
3396,2,714339.7269, 7782
3397,2,714339.7427, 7783
3398,2,714339.7583, 7784
3399,2,714339.7753, 7785
3400,2,714339.7908, 7786
3401,2,714339.8058, 7787
3402,2,714339.8229, 7788
3403,2,714339.8391, 7789
3404,2,714339.8541, 7790
3405,2,714339.8672, 7791
3406,2,714339.8842, 7792
3407,2,714339.8991, 7793
3408,2,714339.9161, 7794
3409,2,714339.9309, 7795
3410,2,714339.9470, 7796
3411,2,714339.9639, 7797
3412,2,714339.9807, 7798
3413,2,714340.0153, 7799
3414,2,714340.0329, 7800
3415,2,714340.0565, 7801
3416,2,714340.0637, 7802
3417,2,714340.0797, 7803
3418,2,714340.0946, 7804
3419,2,714340.1111, 7805
3420,2,714340.1258, 7806
3421,2,714340.1417, 7807
3422,2,714340.1575, 7808
3423,2,714340.1726, 7809
3424,2,714340.1885, 7810
3425,2,714340.2044, 7811
