captureTime,frameNumber,leftEyes[0].x,leftEyes[0].y,leftEyes[1].x,leftEyes[1].y,rightEyes[0].x,rightEyes[0].y,rightEyes[1].x,rightEyes[1].y,leftEyes[0].x.2d,leftEyes[0].y.2d,leftEyes[1].x.2d,leftEyes[1].y.2d,rightEyes[0].x.2d,rightEyes[0].y.2d,rightEyes[1].x.2d,rightEyes[1].y.2d
365648.3087,10,256.2091064,265.0076294,315.6159058,264.2745361,297.0045776,266.0185852,356.3776855,265.5710754,256.2091064,265.0076294,315.6159058,264.2745361,297.0045776,266.0185852,356.3776855,265.5710754
365648.3255,11,256.5126648,264.8242188,315.6246338,264.1467285,296.9784546,265.8555908,356.5771484,265.5845642,256.5126648,264.8242188,315.6246338,264.1467285,296.9784546,265.8555908,356.5771484,265.5845642
365648.3413,12,256.4699097,264.6790771,315.5015869,264.3660889,297.0926209,265.9167786,356.4869995,265.6539612,256.4699097,264.6790771,315.5015869,264.3660889,297.0926209,265.9167786,356.4869995,265.6539612
365648.3584,13,255.9747009,264.560791,315.5794373,264.2651367,296.9561157,265.6106567,356.4567871,265.4029541,255.9747009,264.560791,315.5794373,264.2651367,296.9561157,265.6106567,356.4567871,265.4029541
365648.3748,14,256.4858398,264.4047852,315.6942749,263.9532471,297.020752,265.6023254,356.5054932,265.2103882,256.2193604,264.7245789,315.5553894,264.2445984,296.9563904,265.811554,356.4284363,265.5273743
365648.3918,15,255.8937988,264.4753418,315.3234253,263.7546387,297.0570984,265.6621704,356.5194702,265.0422974,256.1749573,264.7005615,315.5250244,264.1846924,296.9703979,265.7937927,356.440033,265.4695129
365648.4081,16,256.0368652,264.2133789,315.442749,263.6427002,296.9022827,265.4505615,356.3604431,265.1567078,256.158905,264.6414795,315.5153503,264.1194458,296.9620972,265.7506714,356.4306641,265.4297485
365648.4246,17,256.4007263,264.0003662,315.3946533,263.4720459,297.03125,265.2636414,356.5712891,264.889679,256.1838684,264.567749,315.5032959,264.04422,296.9698181,265.6923828,356.4447327,265.3652649
365648.4414,18,256.0172119,263.897644,315.2365723,263.0873413,296.8251648,265.0827332,356.2511597,264.7086487,256.1678162,264.491333,315.4777527,263.9380493,296.95578,265.62146,356.4258423,265.286377
365648.4577,19,255.9403992,263.6018677,315.282959,263.2076416,296.8388977,264.9685669,356.3946533,264.7159729,256.1479492,264.3979187,315.460968,263.8591614,296.9450989,265.5477295,356.422699,265.2208252
365648.4748,20,255.7498169,263.4341431,315.4137573,262.8821411,296.9345093,264.7450562,356.511322,264.4534302,256.1283569,264.2493896,315.4660034,263.7063599,296.9517517,265.4234924,356.4453125,265.0925903
365648.4915,21,255.8484497,263.2218933,315.5180664,263.0054932,296.9456787,264.742981,356.4393005,264.4595642,256.1234131,264.0815125,315.4666748,263.5663757,296.9607544,265.2980652,356.4520264,264.9656677
365648.5077,22,255.9675903,263.430481,315.3970947,263.1334839,297.0239258,264.7797852,356.4076538,264.4190979,256.1034241,263.9545593,315.4483337,263.4730835,296.9624939,265.1993103,356.4543762,264.8714294
365648.5249,23,256.2114868,263.5812988,315.5081482,262.7171021,297.1536255,264.7261047,356.7629089,264.3985291,256.0806274,263.8585815,315.4407654,263.3533325,296.9794006,265.1127625,356.4719849,264.7720032
365648.5416,24,256.4283447,263.565918,315.9059448,262.9265747,297.3302612,264.7989807,356.8266602,264.3869934,256.0808716,263.7795105,315.4769287,263.2485352,297.0028992,265.0333252,356.5027771,264.6816101
