CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
519356.3068, 63.4936, 20.9496, 565.2302, 0.1973, -0.0055, 0.0738, 63.4936, 20.9496, 565.2302, 0.1973, -0.0055, 0.0738, 999
519356.3234, 62.9261, 20.9287, 563.8078, 0.2020, 0.0022, 0.0751, 62.9261, 20.9287, 563.8078, 0.2020, 0.0022, 0.0751, 1000
519356.3401, 62.9148, 20.8043, 563.9969, 0.2057, 0.0030, 0.0727, 62.9148, 20.8043, 563.9969, 0.2057, 0.0030, 0.0727, 1001
519356.3568, 62.8813, 20.5126, 560.4944, 0.2219, 0.0145, 0.0706, 62.8813, 20.5126, 560.4944, 0.2219, 0.0145, 0.0706, 1002
519356.3735, 62.6423, 20.8953, 557.6158, 0.2165, -0.0187, 0.0733, 62.6423, 20.8953, 557.6158, 0.2165, -0.0187, 0.0733, 1003
519356.3905, 63.7776, 20.8074, 564.4216, 0.2121, -0.0013, 0.0715, 63.7776, 20.8074, 564.4216, 0.2121, -0.0013, 0.0715, 1004
519356.4072, 63.6015, 20.8445, 564.2794, 0.2069, 0.0074, 0.0765, 63.6015, 20.8445, 564.2794, 0.2069, 0.0074, 0.0765, 1005
519356.4238, 64.4537, 20.8347, 564.6153, 0.2163, -0.0128, 0.0698, 64.4537, 20.8347, 564.6153, 0.2163, -0.0128, 0.0698, 1006
519356.4405, 64.2780, 20.9263, 563.7952, 0.2103, -0.0076, 0.0740, 64.2780, 20.9263, 563.7952, 0.2103, -0.0076, 0.0740, 1007
519356.4572, 64.4809, 20.9650, 561.0427, 0.2179, 0.0030, 0.0725, 64.4809, 20.9650, 561.0427, 0.2179, 0.0030, 0.0725, 1008
519356.4739, 65.3136, 20.6291, 564.6346, 0.2127, 0.0023, 0.0722, 65.3136, 20.6291, 564.6346, 0.2127, 0.0023, 0.0722, 1009
519356.4906, 65.3440, 20.6405, 562.5330, 0.2124, 0.0009, 0.0718, 65.3440, 20.6405, 562.5330, 0.2124, 0.0009, 0.0718, 1010
519356.5073, 66.0805, 20.3976, 561.4160, 0.2224, -0.0006, 0.0719, 66.0805, 20.3976, 561.4160, 0.2224, -0.0006, 0.0719, 1011
519356.5240, 66.5861, 20.7089, 561.2858, 0.2171, -0.0025, 0.0707, 66.5861, 20.7089, 561.2858, 0.2171, -0.0025, 0.0707, 1012
519356.5407, 67.5332, 20.7457, 561.3689, 0.1965, 0.0113, 0.0716, 67.5332, 20.7457, 561.3689, 0.1965, 0.0113, 0.0716, 1013
519356.5573, 68.3310, 20.6149, 563.0714, 0.2167, -0.0017, 0.0751, 68.3310, 20.6149, 563.0714, 0.2167, -0.0017, 0.0751, 1014
519356.5740, 68.7329, 20.8341, 559.2835, 0.2214, 0.0005, 0.0719, 68.7329, 20.8341, 559.2835, 0.2214, 0.0005, 0.0719, 1015
519356.5907, 69.9868, 20.5784, 558.6871, 0.2379, -0.0020, 0.0681, 69.9868, 20.5784, 558.6871, 0.2379, -0.0020, 0.0681, 1016
519356.6074, 70.7701, 20.5976, 557.9891, 0.2306, -0.0068, 0.0792, 70.7701, 20.5976, 557.9891, 0.2306, -0.0068, 0.0792, 1017
519356.6241, 72.0452, 20.3440, 559.3230, 0.2466, -0.0058, 0.0730, 72.0452, 20.3440, 559.3230, 0.2466, -0.0058, 0.0730, 1018
519356.6408, 73.5445, 20.3224, 558.2374, 0.2371, -0.0016, 0.0753, 73.5445, 20.3224, 558.2374, 0.2371, -0.0016, 0.0753, 1019
519356.6575, 75.2429, 20.3732, 561.2537, 0.2322, -0.0055, 0.0832, 75.2429, 20.3732, 561.2537, 0.2322, -0.0055, 0.0832, 1020
519356.6742, 77.0511, 20.0851, 560.1120, 0.2285, 0.0037, 0.0786, 77.0511, 20.0851, 560.1120, 0.2285, 0.0037, 0.0786, 1021
519356.6908, 77.7795, 20.4014, 555.9457, 0.2289, 0.0032, 0.0813, 77.7795, 20.4014, 555.9457, 0.2289, 0.0032, 0.0813, 1022
519356.7075, 80.3930, 20.0627, 560.8801, 0.2357, 0.0124, 0.0891, 80.3930, 20.0627, 560.8801, 0.2357, 0.0124, 0.0891, 1023
519356.7242, 82.2746, 20.4591, 555.6533, 0.2158, 0.0029, 0.0856, 82.2746, 20.4591, 555.6533, 0.2158, 0.0029, 0.0856, 1024
519356.7409, 85.2384, 20.5235, 560.8668, 0.2026, 0.0130, 0.0864, 85.2384, 20.5235, 560.8668, 0.2026, 0.0130, 0.0864, 1025
519356.7576, 86.8923, 20.6255, 560.2108, 0.2109, 0.0090, 0.0922, 86.8923, 20.6255, 560.2108, 0.2109, 0.0090, 0.0922, 1026
519356.7743, 89.0622, 20.4668, 560.7224, 0.2200, 0.0100, 0.0918, 89.0622, 20.4668, 560.7224, 0.2200, 0.0100, 0.0918, 1027
