CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
597442.331535017, 248.825805664, 166.924957275, 306.457733154, 167.108413696, 375.379241943, 183.235397339, 432.306030273, 183.842697144, -75.267860413, -60.931495667, 534.398376465, -10.985630035, -60.882690430, 537.238220215, 3273
597442.348222543, 248.938079834, 166.783843994, 306.755310059, 167.232315063, 375.403320312, 183.648300171, 432.591552734, 183.811126709, -75.321456909, -60.899814606, 534.399230957, -11.007643700, -60.839801788, 537.163513184, 3274
597442.364910069, 248.746749878, 166.830657959, 306.315948486, 167.171295166, 375.166259766, 183.281188965, 432.236572266, 184.037017822, -75.398956299, -60.859550476, 534.316528320, -11.071387291, -60.783023834, 537.100280762, 3275
597442.381597595, 248.972045898, 166.954071045, 306.890014648, 167.359283447, 375.762023926, 183.636596680, 432.817565918, 184.119262695, -75.419670105, -60.806674957, 534.294433594, -11.111063957, -60.698875427, 536.889404297, 3276
597442.398285121, 249.004333496, 167.043365479, 306.410034180, 166.962158203, 375.440734863, 183.342819214, 432.421081543, 183.865585327, -75.461860657, -60.764453888, 534.143249512, -11.173603058, -60.664112091, 536.822937012, 3277
597442.414972647, 248.855209351, 167.228042603, 306.757995605, 167.043075562, 375.413665771, 183.812789917, 432.706542969, 183.918914795, -75.478416443, -60.710582733, 533.990966797, -11.192610741, -60.636104584, 536.692993164, 3278
597442.431660173, 249.364059448, 167.058074951, 306.859436035, 167.695129395, 375.585449219, 183.466461182, 432.723480225, 184.051666260, -75.492080688, -60.689136505, 534.028747559, -11.187500000, -60.590469360, 536.744018555, 3279
597442.448347699, 249.427246094, 167.001678467, 306.822937012, 167.622390747, 375.897338867, 183.362762451, 432.757019043, 183.626892090, -75.444236755, -60.663921356, 533.928100586, -11.166875839, -60.557003021, 536.660888672, 3280
597442.465035225, 248.984359741, 166.953094482, 307.060913086, 167.178771973, 375.779113770, 183.643493652, 432.551757812, 183.779052734, -75.419441223, -60.614910126, 533.600036621, -11.120635986, -60.584667206, 536.931396484, 3281
597442.481722751, 249.141693115, 167.075531006, 307.111785889, 167.589996338, 375.767211914, 183.662887573, 433.230316162, 184.122161865, -75.376441956, -60.574085236, 533.389831543, -11.073420525, -60.521766663, 536.705871582, 3282
597442.498410277, 249.031723022, 166.982681274, 306.579650879, 167.619781494, 375.650390625, 183.722946167, 432.671081543, 183.947753906, -75.343574524, -60.527393341, 533.243896484, -11.084435463, -60.467700958, 536.495971680, 3283
597442.515097803, 248.986450195, 167.074432373, 306.672973633, 167.380340576, 375.496520996, 183.816925049, 432.410888672, 184.155456543, -75.319732666, -60.515724182, 533.178771973, -11.088833809, -60.441860199, 536.485168457, 3284
597442.531785329, 248.922164917, 166.920623779, 306.545837402, 167.294372559, 375.361083984, 183.269012451, 432.356079102, 183.857910156, -75.328491211, -60.523986816, 533.235229492, -11.090847969, -60.438625336, 536.511169434, 3285
597442.548472855, 248.466888428, 167.041183472, 305.786682129, 167.326812744, 374.988220215, 183.747741699, 432.138366699, 183.903106689, -75.378433228, -60.504848480, 533.204772949, -11.187655449, -60.405506134, 536.283630371, 3286
597442.565160381, 248.125167847, 167.244720459, 305.994445801, 167.377044678, 374.570922852, 183.579635620, 431.990814209, 184.131530762, -75.453826904, -60.471542358, 533.201049805, -11.235719681, -60.388717651, 536.255187988, 3287
597442.581843385, 247.848480225, 167.188613892, 305.507415771, 167.397369385, 373.874114990, 183.737884521, 431.639007568, 184.238708496, -75.641365051, -60.490825653, 533.522583008, -11.401724815, -60.370250702, 536.163391113, 3288
