CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
597441.981164762, 597441.981164762, 3252, 597441.981164762, 597441.981164762, 3252, 597441.981164762, 92
597441.997845329, 597441.997845329, 3253, 597441.997845329, 597441.997845329, 3253, 597441.997845329, 93
597442.014525897, 597442.014525897, 3254, 597442.014525897, 597442.014525897, 3254, 597442.014525897, 94
597442.031206464, 597442.031206464, 3255, 597442.031206464, 597442.031206464, 3255, 597442.031206464, 95
597442.047887031, 597442.047887031, 3256, 597442.047887031, 597442.047887031, 3256, 597442.047887031, 96
597442.064567598, 597442.064567598, 3257, 597442.064567598, 597442.064567598, 3257, 597442.064567598, 97
597442.081248165, 597442.081248165, 3258, 597442.081248165, 597442.081248165, 3258, 597442.081248165, 98
597442.097928732, 597442.097928732, 3259, 597442.097928732, 597442.097928732, 3259, 597442.097928732, 99
597442.114609300, 597442.114609300, 3260, 597442.114609300, 597442.114609300, 3260, 597442.114609300, 100
597442.131289867, 597442.131289867, 3261, 597442.131289867, 597442.131289867, 3261, 597442.131289867, 101
597442.147970434, 597442.147970434, 3262, 597442.147970434, 597442.147970434, 3262, 597442.147970434, 102
597442.164651001, 597442.164651001, 3263, 597442.164651001, 597442.164651001, 3263, 597442.164651001, 103
597442.181331568, 597442.181331568, 3264, 597442.181331568, 597442.181331568, 3264, 597442.181331568, 104
597442.198034808, 597442.198034808, 3265, 597442.198034808, 597442.198034808, 3265, 597442.198034808, 105
597442.214722334, 597442.214722334, 3266, 597442.214722334, 597442.214722334, 3266, 597442.214722334, 106
597442.231409860, 597442.231409860, 3267, 597442.231409860, 597442.231409860, 3267, 597442.231409860, 107
597442.248097386, 597442.248097386, 3268, 597442.248097386, 597442.248097386, 3268, 597442.248097386, 108
597442.264784912, 597442.264784912, 3269, 597442.264784912, 597442.264784912, 3269, 597442.264784912, 109
597442.281472438, 597442.281472438, 3270, 597442.281472438, 597442.281472438, 3270, 597442.281472438, 110
597442.298159964, 597442.298159964, 3271, 597442.298159964, 597442.298159964, 3271, 597442.298159964, 111
597442.314847491, 597442.314847491, 3272, 597442.314847491, 597442.314847491, 3272, 597442.314847491, 112
597442.331535017, 597442.331535017, 3273, 597442.331535017, 597442.331535017, 3273, 597442.331535017, 113
597442.348222543, 597442.348222543, 3274, 597442.348222543, 597442.348222543, 3274, 597442.348222543, 114
597442.364910069, 597442.364910069, 3275, 597442.364910069, 597442.364910069, 3275, 597442.364910069, 115
597442.381597595, 597442.381597595, 3276, 597442.381597595, 597442.381597595, 3276, 597442.381597595, 116
597442.398285121, 597442.398285121, 3277, 597442.398285121, 597442.398285121, 3277, 597442.398285121, 117
597442.414972647, 597442.414972647, 3278, 597442.414972647, 597442.414972647, 3278, 597442.414972647, 118
597442.431660173, 597442.431660173, 3279, 597442.431660173, 597442.431660173, 3279, 597442.431660173, 119
597442.448347699, 597442.448347699, 3280, 597442.448347699, 597442.448347699, 3280, 597442.448347699, 120
597442.465035225, 597442.465035225, 3281, 597442.465035225, 597442.465035225, 3281, 597442.465035225, 121
597442.481722751, 597442.481722751, 3282, 597442.481722751, 597442.481722751, 3282, 597442.481722751, 122
597442.498410277, 597442.498410277, 3283, 597442.498410277, 597442.498410277, 3283, 597442.498410277, 123
597442.515097803, 597442.515097803, 3284, 597442.515097803, 597442.515097803, 3284, 597442.515097803, 124
597442.531785329, 597442.531785329, 3285, 597442.531785329, 597442.531785329, 3285, 597442.531785329, 125
597442.548472855, 597442.548472855, 3286, 597442.548472855, 597442.548472855, 3286, 597442.548472855, 126
597442.565160381, 597442.565160381, 3287, 597442.565160381, 597442.565160381, 3287, 597442.565160381, 127
597442.581843385, 597442.581843385, 3288, 597442.581843385, 597442.581843385, 3288, 597442.581843385, 128
597442.598523953, 597442.598523953, 3289, 597442.598523953, 597442.598523953, 3289, 597442.598523953, 129
597442.615204520, 597442.615204520, 3290, 597442.615204520, 597442.615204520, 3290, 597442.615204520, 130
597442.631885087, 597442.631885087, 3291, 597442.631885087, 597442.631885087, 3291, 597442.631885087, 131
597442.648565654, 597442.648565654, 3292, 597442.648565654, 597442.648565654, 3292, 597442.648565654, 132
597442.665246221, 597442.665246221, 3293, 597442.665246221, 597442.665246221, 3293, 597442.665246221, 133
597442.681926789, 597442.681926789, 3294, 597442.681926789, 597442.681926789, 3294, 597442.681926789, 134
597442.698607356, 597442.698607356, 3295, 597442.698607356, 597442.698607356, 3295, 597442.698607356, 135
597442.715287923, 597442.715287923, 3296, 597442.715287923, 597442.715287923, 3296, 597442.715287923, 136
597442.731968490, 597442.731968490, 3297, 597442.731968490, 597442.731968490, 3297, 597442.731968490, 137
