Current_time, latest_time, latest_x, latest_y, latest_z 
606437.703114200,606437.657129356,-3.249671610,-2.941133976,50.116937637
606437.707403600,606437.657129356,-3.249671610,-2.941133976,50.116937637
606437.712315500,606437.657129356,-3.249671610,-2.941133976,50.116937637
606437.716302100,606437.673809923,-3.262693180,-2.926997781,50.105493546
606437.719772900,606437.673809923,-3.262693180,-2.926997781,50.105493546
606437.724087500,606437.673809923,-3.262693180,-2.926997781,50.105493546
606437.729168500,606437.673809923,-3.262693180,-2.926997781,50.105493546
606437.732495100,606437.673809923,-3.262693180,-2.926997781,50.105493546
606437.736921600,606437.690490490,-3.274299011,-2.933197260,50.101621628
606437.740168400,606437.690490490,-3.274299011,-2.933197260,50.101621628
606437.745166200,606437.690490490,-3.274299011,-2.933197260,50.101621628
606437.749269500,606437.707171057,-3.286190752,-2.949436426,50.107145309
606437.752565000,606437.707171057,-3.286190752,-2.949436426,50.107145309
606437.757210700,606437.707171057,-3.286190752,-2.949436426,50.107145309
606437.762164500,606437.707171057,-3.286190752,-2.949436426,50.107145309
606437.765465800,606437.723851625,-3.301360372,-2.954853415,50.092632294
606437.770276800,606437.723851625,-3.301360372,-2.954853415,50.092632294
606437.773619200,606437.723851625,-3.301360372,-2.954853415,50.092632294
606437.778608600,606437.723851625,-3.301360372,-2.954853415,50.092632294
606437.782099900,606437.740532192,-3.308638524,-2.956936479,50.075706482
606437.787511300,606437.740532192,-3.308638524,-2.956936479,50.075706482
606437.791078400,606437.740532192,-3.308638524,-2.956936479,50.075706482
606437.795032700,606437.740532192,-3.308638524,-2.956936479,50.075706482
606437.798339100,606437.757212759,-3.310204756,-2.976218581,50.073554993
606437.803035700,606437.757212759,-3.310204756,-2.976218581,50.073554993
606437.807994300,606437.757212759,-3.310204756,-2.976218581,50.073554993
606437.811464500,606437.757212759,-3.310204756,-2.976218581,50.073554993
606437.815825300,606437.757212759,-3.310204756,-2.976218581,50.073554993
606437.819451400,606437.773893326,-3.311347809,-2.972766042,50.069370270
606437.824248500,606437.773893326,-3.311347809,-2.972766042,50.069370270
606437.827660900,606437.773893326,-3.311347809,-2.972766042,50.069370270
606437.833499900,606437.790573893,-3.313840866,-3.014534593,50.067733765
606437.836805900,606437.790573893,-3.313840866,-3.014534593,50.067733765
606437.840413200,606437.790573893,-3.313840866,-3.014534593,50.067733765
606437.844713200,606437.790573893,-3.313840866,-3.014534593,50.067733765
606437.849445900,606437.790573893,-3.313840866,-3.014534593,50.067733765
606437.853021100,606437.790573893,-3.313840866,-3.014534593,50.067733765
606437.858031100,606437.790573893,-3.313840866,-3.014534593,50.067733765
606437.861979100,606437.823935028,-3.322961863,-3.022403121,50.101100922
606437.865957500,606437.823935028,-3.322961863,-3.022403121,50.101100922
606437.869922900,606437.823935028,-3.322961863,-3.022403121,50.101100922
606437.874577200,606437.823935028,-3.322961863,-3.022403121,50.101100922
606437.877845100,606437.840615595,-3.329536404,-2.988513708,50.112504959
606437.882814400,606437.840615595,-3.329536404,-2.988513708,50.112504959
606437.886313100,606437.840615595,-3.329536404,-2.988513708,50.112504959
606437.891389500,606437.857296162,-3.330665670,-3.020597577,50.148878098
606437.894904800,606437.857296162,-3.330665670,-3.020597577,50.148878098
606437.900105300,606437.857296162,-3.330665670,-3.020597577,50.148878098
606437.903954700,606437.857296162,-3.330665670,-3.020597577,50.148878098
606437.907555200,606437.873976729,-3.331219725,-3.046865940,50.187772751
606437.911214900,606437.873976729,-3.331219725,-3.046865940,50.187772751
606437.915697700,606437.873976729,-3.331219725,-3.046865940,50.187772751
606437.920838900,606437.873976729,-3.331219725,-3.046865940,50.187772751
606437.924184600,606437.890657296,-3.328214426,-3.081160188,50.224828720
606437.928138500,606437.890657296,-3.328214426,-3.081160188,50.224828720
606437.932806700,606437.890657296,-3.328214426,-3.081160188,50.224828720
606437.948754000,606437.890657296,-3.328214426,-3.081160188,50.224828720
606437.953224400,606437.890657296,-3.328214426,-3.081160188,50.224828720
606437.957887400,606437.907337864,-3.329081893,-3.089473367,50.257694244
606437.962705200,606437.907337864,-3.329081893,-3.089473367,50.257694244
606437.966253800,606437.907337864,-3.329081893,-3.089473367,50.257694244
606437.971126100,606437.923990063,-3.330542453,-3.090195656,50.320402145
606437.975397900,606437.923990063,-3.330542453,-3.090195656,50.320402145
606437.979085900,606437.923990063,-3.330542453,-3.090195656,50.320402145
606437.983029200,606437.923990063,-3.330542453,-3.090195656,50.320402145
