timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
1126928.360673,4.798110,15.627444,48.234814,-1.557367,15.546699,48.593555,1126928.356042,1126928.296285,0,4319,1,1.442246,15.507089,57.392464,-0.329424,0.017263,0.037155
1126928.364634,4.798332,15.627276,48.237476,-1.557590,15.546868,48.590439,1126928.359992,1126928.312966,0,4320,1,1.374302,15.416992,57.393456,-0.319569,0.009727,0.034599
1126928.368561,4.798332,15.627276,48.237255,-1.557590,15.546868,48.590214,1126928.363968,1126928.312966,0,4321,1,1.374302,15.416992,57.393456,-0.319569,0.009727,0.034599
1126928.372171,4.798331,15.627277,48.237034,-1.557591,15.546869,48.589993,1126928.367471,1126928.312966,0,4322,1,1.374302,15.416992,57.393456,-0.319569,0.009727,0.034599
1126928.377064,4.798518,15.627612,48.240208,-1.557778,15.546535,48.586369,1126928.372453,1126928.329646,0,4323,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.381083,4.798518,15.627612,48.239979,-1.557778,15.546536,48.586140,1126928.376482,1126928.329646,0,4324,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.385310,4.798518,15.627613,48.239750,-1.557779,15.546537,48.585907,1126928.380460,1126928.329646,0,4325,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.389077,4.798517,15.627613,48.239513,-1.557779,15.546537,48.585674,1126928.384478,1126928.329646,0,4326,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.394068,4.798923,15.627559,48.242325,-1.558185,15.546594,48.582390,1126928.389506,1126928.346327,0,4327,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.398105,4.798923,15.627560,48.242085,-1.558186,15.546594,48.582150,1126928.393495,1126928.346327,0,4328,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.402039,4.798922,15.627560,48.241844,-1.558186,15.546595,48.581913,1126928.397455,1126928.346327,0,4329,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.406035,4.798922,15.627561,48.241604,-1.558186,15.546596,48.581669,1126928.401442,1126928.346327,0,4330,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.410013,4.799468,15.627454,48.245872,-1.558733,15.546702,48.576931,1126928.405441,1126928.363007,0,4331,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.415082,4.799468,15.627455,48.245640,-1.558734,15.546703,48.576698,1126928.410450,1126928.363007,0,4332,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.418974,4.799468,15.627456,48.245415,-1.558734,15.546703,48.576469,1126928.414377,1126928.363007,0,4333,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.422983,4.799468,15.627456,48.245190,-1.558734,15.546704,48.576248,1126928.418395,1126928.363007,0,4334,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.426672,4.800005,15.628695,48.249844,-1.559271,15.545466,48.571156,1126928.422049,1126928.379688,0,4335,1,1.447880,15.553844,57.401897,-0.333712,0.017634,0.038197
1126928.431460,4.800004,15.628695,48.249634,-1.559272,15.545466,48.570942,1126928.426728,1126928.379688,0,4336,1,1.447880,15.553844,57.401897,-0.333712,0.017634,0.038197
1126928.435324,4.800004,15.628696,48.249424,-1.559272,15.545467,48.570736,1126928.430734,1126928.379688,0,4337,1,1.447880,15.553844,57.401897,-0.333712,0.017634,0.038197
1126928.439361,4.800630,15.629299,48.253792,-1.559898,15.544866,48.565979,1126928.434782,1126928.396368,0,4338,1,1.392360,15.581771,57.411163,-0.336526,0.012072,0.035552
1126928.443748,4.800629,15.629299,48.253601,-1.559898,15.544866,48.565788,1126928.439130,1126928.396368,0,4339,1,1.392360,15.581771,57.411163,-0.336526,0.012072,0.035552
1126928.447268,4.800629,15.629300,48.253418,-1.559898,15.544867,48.565609,1126928.442648,1126928.396368,0,4340,1,1.392360,15.581771,57.411163,-0.336526,0.012072,0.035552
1126928.452220,4.800629,15.629300,48.253246,-1.559898,15.544867,48.565434,1126928.447621,1126928.396368,0,4341,1,1.392360,15.581771,57.411163,-0.336526,0.012072,0.035552
