timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
1126928.360675,-10.337133,-5.351866,48.381256,-3.981124,-5.276726,48.731689,1126928.400402,1126928.296285,0,4319,1,1.442246,15.507089,57.392464,-0.329424,0.017263,0.037155
1126928.364636,-10.337660,-5.330262,48.383812,-3.981213,-5.255445,48.728466,1126928.404352,1126928.312966,0,4320,1,1.374302,15.416992,57.393456,-0.319569,0.009727,0.034599
1126928.368562,-10.337934,-5.309758,48.383511,-3.981487,-5.234942,48.728161,1126928.408328,1126928.312966,0,4321,1,1.374302,15.416992,57.393456,-0.319569,0.009727,0.034599
1126928.372174,-10.338175,-5.290213,48.383236,-3.981729,-5.215396,48.727890,1126928.411831,1126928.312966,0,4322,1,1.374302,15.416992,57.393456,-0.319569,0.009727,0.034599
1126928.377065,-10.336370,-5.298438,48.386108,-3.979558,-5.222938,48.723961,1126928.416813,1126928.329646,0,4323,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.381084,-10.334424,-5.305768,48.385632,-3.977612,-5.230268,48.723484,1126928.420842,1126928.329646,0,4324,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.385311,-10.332510,-5.312604,48.385204,-3.975698,-5.237104,48.723053,1126928.424820,1126928.329646,0,4325,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.389079,-10.330617,-5.319003,48.384819,-3.973805,-5.243504,48.722668,1126928.428838,1126928.329646,0,4326,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.394069,-10.327967,-5.338171,48.388134,-3.970351,-5.262768,48.719894,1126928.433866,1126928.346327,0,4327,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.398107,-10.324955,-5.356555,48.388378,-3.967339,-5.281151,48.720135,1126928.437855,1126928.346327,0,4328,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.402041,-10.321973,-5.374211,48.388596,-3.964357,-5.298807,48.720356,1126928.441815,1126928.346327,0,4329,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.406037,-10.319006,-5.391252,48.388794,-3.961390,-5.315848,48.720551,1126928.445802,1126928.346327,0,4330,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.410015,-10.321880,-5.404022,48.393867,-3.963182,-5.328811,48.716614,1126928.449801,1126928.363007,0,4331,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.415084,-10.324044,-5.416973,48.394379,-3.965347,-5.341762,48.717121,1126928.454810,1126928.363007,0,4332,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.418975,-10.326044,-5.429736,48.394836,-3.967347,-5.354526,48.717583,1126928.458737,1126928.363007,0,4333,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.422985,-10.327900,-5.442388,48.395252,-3.969203,-5.367177,48.717995,1126928.462755,1126928.363007,0,4334,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.426675,-10.332352,-5.424677,48.400578,-3.972592,-5.346966,48.713577,1126928.466409,1126928.379688,0,4335,1,1.447880,15.553844,57.401897,-0.333712,0.017634,0.038197
1126928.431468,-10.336138,-5.406778,48.400986,-3.976377,-5.329067,48.713985,1126928.471088,1126928.379688,0,4336,1,1.447880,15.553844,57.401897,-0.333712,0.017634,0.038197
1126928.435325,-10.339774,-5.389926,48.401356,-3.980014,-5.312215,48.714355,1126928.475094,1126928.379688,0,4337,1,1.447880,15.553844,57.401897,-0.333712,0.017634,0.038197
1126928.439362,-10.336352,-5.370550,48.407036,-3.975353,-5.291613,48.710922,1126928.479142,1126928.396368,0,4338,1,1.392360,15.581771,57.411163,-0.336526,0.012072,0.035552
