timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
1126934.295357,3.576768,15.325149,47.539585,-2.771379,15.242966,47.982864,1126934.295338,1126934.251286,0,1599,1,0.637775,15.369391,56.771835,-0.348459,0.019631,0.035575
1126934.311137,3.581833,15.301292,47.570869,-2.770373,15.209686,47.998123,1126934.311121,1126934.267960,0,1600,1,0.644443,15.449470,56.794182,-0.356998,0.020540,0.034040
1126934.327104,3.582823,15.303644,47.581177,-2.770660,15.212812,47.996479,1126934.327088,1126934.284634,0,1601,1,0.743563,15.412758,56.795826,-0.352776,0.031749,0.033633
1126934.344945,3.582336,15.326396,47.603104,-2.771396,15.215300,47.990589,1126934.344930,1126934.301307,0,1602,1,0.620031,15.455017,56.807037,-0.357542,0.017587,0.035306
1126934.359204,3.577392,15.328145,47.600677,-2.777822,15.239497,47.994537,1126934.359187,1126934.317981,0,1603,1,0.599223,15.259842,56.809193,-0.335980,0.015244,0.036374
1126934.375081,3.575052,15.330366,47.601631,-2.777887,15.214727,47.983932,1126934.375064,1126934.334654,0,1604,1,0.679387,15.307899,56.802330,-0.341448,0.024517,0.036781
1126934.390698,3.571602,15.352077,47.601639,-2.776291,15.220149,47.967552,1126934.390681,1126934.351328,0,1605,1,0.631832,15.271167,56.795399,-0.337833,0.018900,0.038031
1126934.406853,3.569325,15.342643,47.605156,-2.776736,15.205066,47.971020,1126934.406836,1126934.368002,0,1606,1,0.639466,15.307610,56.798721,-0.342290,0.020510,0.035222
1126934.423149,3.569320,15.348157,47.612530,-2.776349,15.207836,47.984512,1126934.423132,1126934.384675,0,1607,1,0.590240,15.363049,56.810097,-0.348752,0.014728,0.036927
1126934.439359,3.567572,15.310280,47.615124,-2.778347,15.206638,47.988041,1126934.439343,1126934.401349,0,1608,1,0.623564,15.228866,56.812374,-0.333867,0.018587,0.036337
1126934.455007,3.568003,15.301999,47.603493,-2.776407,15.196975,47.992359,1126934.454991,1126934.418023,0,1609,1,0.605478,15.225334,56.809185,-0.333578,0.016135,0.037900
1126934.471201,3.569246,15.354421,47.606895,-2.775866,15.206086,47.982067,1126934.471185,1126934.434696,0,1610,1,0.650075,15.318517,56.804787,-0.343847,0.021951,0.033531
1126934.487947,3.574476,15.312373,47.625435,-2.773503,15.206095,48.001110,1126934.487930,1126934.451370,0,1611,1,0.633514,15.361307,56.823952,-0.348638,0.019721,0.034064
1126934.502736,3.577521,15.312209,47.633755,-2.771619,15.201702,47.989182,1126934.502719,1126934.468043,0,1612,1,0.626148,15.394032,56.822060,-0.352566,0.018330,0.036071
1126934.519237,3.578963,15.340614,47.638615,-2.771635,15.255976,47.999146,1126934.519222,1126934.484717,0,1613,1,0.621121,15.332245,56.830025,-0.345963,0.018069,0.032222
1126934.534741,3.578663,15.333303,47.630493,-2.768310,15.187048,47.992462,1126934.534725,1126934.501391,0,1614,1,0.649624,15.554837,56.818054,-0.371122,0.021254,0.034731
1126934.551952,3.585264,15.312271,47.621521,-2.762942,15.215310,47.995262,1126934.551936,1126934.518064,0,1615,1,0.690610,15.453419,56.816341,-0.360120,0.024319,0.038736
1126934.566732,3.588754,15.330928,47.629307,-2.762793,15.227343,48.008663,1126934.566716,1126934.534738,0,1616,1,0.616578,15.183959,56.830090,-0.331125,0.016265,0.032207
1126934.599054,3.592662,15.308309,47.627258,-2.761616,15.206823,48.019291,1126934.599038,1126934.551411,0,1617,1,0.698495,15.405462,56.831768,-0.355817,0.025490,0.033574
1126934.615152,3.596803,15.313016,47.605885,-2.759333,15.198630,48.014572,1126934.615137,1126934.568075,0,1618,1,0.708537,15.252965,56.819454,-0.339172,0.025682,0.035293
1126934.631179,3.600316,15.306059,47.606461,-2.757552,15.216590,47.987244,1126934.631164,1126934.584741,0,1619,1,0.643306,15.321939,56.807850,-0.347209,0.017934,0.036366
1126934.647762,3.599702,15.338349,47.608284,-2.759257,15.200182,47.996902,1126934.647724,1126934.601408,0,1620,1,0.748843,15.436571,56.808907,-0.359697,0.030392,0.035276
1126934.663088,3.601460,15.324434,47.601795,-2.762106,15.232518,48.012459,1126934.663071,1126934.618075,0,1621,1,0.676478,15.342401,56.817036,-0.349205,0.021463,0.038769
1126934.679148,3.600410,15.326101,47.595711,-2.761676,15.220559,48.019077,1126934.679132,1126934.634741,0,1622,1,0.690139,15.305865,56.817120,-0.345262,0.023006,0.038614
1126934.695177,3.600838,15.320314,47.589687,-2.762240,15.217968,48.021706,1126934.695158,1126934.651408,0,1623,1,0.599731,15.341496,56.817463,-0.349543,0.013628,0.034180
1126934.710947,3.598430,15.287148,47.563995,-2.764042,15.232524,48.035244,1126934.710931,1126934.668075,0,1624,1,0.671398,15.321833,56.809715,-0.347825,0.022133,0.033118
1126934.727125,3.596899,15.324088,47.561447,-2.765123,15.233975,48.047939,1126934.727109,1126934.684741,0,1625,1,0.655398,15.334945,56.815018,-0.349701,0.019592,0.038225
1126934.742873,3.599016,15.294738,47.550114,-2.766336,15.217345,48.062355,1126934.742858,1126934.701408,0,1626,1,0.637879,15.510066,56.813740,-0.369646,0.018230,0.036740
1126934.759332,3.599728,15.292826,47.566917,-2.766572,15.188821,48.056992,1126934.759316,1126934.718075,0,1627,1,0.677633,15.400297,56.820858,-0.357520,0.022316,0.037928
1126934.775404,3.597649,15.297235,47.553532,-2.764390,15.199623,48.033855,1126934.775384,1126934.734741,0,1628,1,0.630417,15.324848,56.804787,-0.348931,0.017114,0.035997
1126934.791362,3.599473,15.326671,47.550808,-2.772027,15.249578,48.047596,1126934.791346,1126934.751408,0,1629,1,0.610538,15.307611,56.810745,-0.346710,0.015467,0.033514
1126934.807305,3.600087,15.286860,47.563168,-2.772529,15.194096,48.065853,1126934.807289,1126934.768075,0,1630,1,0.581449,15.329805,56.826664,-0.348204,0.011630,0.037899
1126934.822820,3.595430,15.313419,47.563046,-2.776698,15.210177,48.092098,1126934.822805,1126934.784741,0,1631,1,0.600568,15.369877,56.838951,-0.351762,0.014371,0.037562
1126934.839411,3.591848,15.302801,47.554985,-2.778452,15.213569,48.092159,1126934.839396,1126934.801408,0,1632,1,0.658033,15.446915,56.832451,-0.359594,0.021406,0.037188
1126934.856508,3.588684,15.287494,47.565075,-2.779681,15.208640,48.074932,1126934.856489,1126934.818075,0,1633,1,0.628614,15.395603,56.830475,-0.353557,0.018254,0.037195
1126934.871825,3.588011,15.321313,47.569057,-2.779558,15.235410,48.079910,1126934.871810,1126934.834741,0,1634,1,0.524426,15.430735,56.836391,-0.357618,0.006597,0.036550
1126934.888287,3.587940,15.312602,47.569862,-2.779276,15.201709,48.067917,1126934.888271,1126934.851408,0,1635,1,0.630790,15.272726,56.829964,-0.340353,0.019211,0.031541
1126934.903066,3.586076,15.306399,47.579811,-2.780019,15.205520,48.070995,1126934.903050,1126934.868075,0,1636,1,0.605750,15.459209,56.835285,-0.361039,0.016302,0.035124
1126934.919228,3.586858,15.300345,47.561428,-2.779261,15.211286,48.047459,1126934.919212,1126934.884741,0,1637,1,0.660684,15.346449,56.814449,-0.348756,0.022677,0.032158
1126934.935168,3.582912,15.342075,47.550117,-2.779651,15.227274,48.035809,1126934.935153,1126934.901408,0,1638,1,0.597845,15.394269,56.803947,-0.354125,0.015198,0.035880
1126934.951228,3.580567,15.312160,47.530746,-2.781011,15.221106,48.040810,1126934.951211,1126934.918075,0,1639,1,0.556447,15.371402,56.797867,-0.351328,0.009994,0.040288
1126934.968421,3.578644,15.292869,47.495926,-2.784837,15.219636,48.051910,1126934.968405,1126934.934741,0,1640,1,0.577079,15.426077,56.784893,-0.357223,0.013026,0.038997
