timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
1126941.863128,-9.695719,-5.951053,47.266697,-3.367654,-5.846692,47.867123,1126941.863126,1126941.822810,0,2053,1,-6.525146,-5.597203,56.575275,0.304284,0.008776,0.042686
1126941.879410,-9.696230,-5.927952,47.279274,-3.367242,-5.820182,47.863586,1126941.879409,1126941.839477,0,2054,1,-6.507068,-5.659286,56.581703,0.311144,0.009729,0.038024
1126941.895051,-9.697593,-5.957371,47.285618,-3.368490,-5.857750,47.835999,1126941.895047,1126941.856144,0,2055,1,-6.421728,-5.535312,56.566223,0.297962,0.020513,0.040982
1126941.911086,-9.698500,-5.958580,47.261379,-3.370795,-5.850253,47.818436,1126941.911086,1126941.872810,0,2056,1,-6.463189,-5.561666,56.546913,0.301172,0.016537,0.044200
1126941.926884,-9.695011,-5.920307,47.275768,-3.366521,-5.836145,47.827858,1126941.926884,1126941.889477,0,2057,1,-6.425852,-5.678770,56.562153,0.313926,0.018831,0.038360
1126941.943324,-9.691340,-5.936161,47.263512,-3.362939,-5.862636,47.819065,1126941.943323,1126941.906144,0,2058,1,-6.526414,-5.726690,56.553314,0.318976,0.008597,0.047027
1126941.959541,-9.691562,-5.941817,47.287045,-3.363890,-5.819692,47.818317,1126941.959540,1126941.922810,0,2059,1,-6.443889,-5.508724,56.557190,0.294787,0.017440,0.041482
1126941.975010,-9.693810,-5.959869,47.314354,-3.363885,-5.841410,47.835239,1126941.975009,1126941.939477,0,2060,1,-6.501157,-5.593189,56.583057,0.304144,0.011069,0.042059
1126941.991280,-9.698249,-5.910338,47.349438,-3.367035,-5.810750,47.854977,1126941.991279,1126941.956144,0,2061,1,-6.481792,-5.704477,56.613613,0.316571,0.013274,0.042037
1126942.006893,-9.699390,-5.975474,47.362019,-3.366322,-5.845240,47.868954,1126942.006892,1126941.972810,0,2062,1,-6.417068,-5.688824,56.625923,0.315052,0.020674,0.041087
1126942.022821,-9.702926,-5.938040,47.375134,-3.367928,-5.814686,47.859112,1126942.022820,1126941.989477,0,2063,1,-6.505096,-5.726053,56.629036,0.318704,0.010969,0.042043
1126942.054915,-9.701095,-5.956884,47.370388,-3.368794,-5.845291,47.847797,1126942.054915,1126942.006144,0,2064,1,-6.494460,-5.714469,56.620647,0.317073,0.012967,0.046133
1126942.071263,-9.701313,-6.017492,47.370369,-3.366903,-5.904864,47.874760,1126942.071262,1126942.023019,0,2065,1,-6.438418,-5.679533,56.632721,0.312830,0.018925,0.043001
1126942.086830,-9.709618,-5.955766,47.374905,-3.373377,-5.856581,47.864590,1126942.086830,1126942.039721,0,2066,1,-6.580335,-5.523067,56.624733,0.294965,0.003257,0.039725
1126942.102854,-9.710299,-5.946920,47.371960,-3.375117,-5.845170,47.878105,1126942.102853,1126942.056422,0,2067,1,-6.441212,-5.542133,56.630169,0.296884,0.019200,0.040261
1126942.120206,-9.711327,-5.979513,47.386822,-3.374822,-5.860064,47.896843,1126942.120205,1126942.073124,0,2068,1,-6.492096,-5.568375,56.648346,0.299329,0.014081,0.043427
1126942.135515,-9.718286,-5.980617,47.387997,-3.381597,-5.876219,47.874081,1126942.135514,1126942.089825,0,2069,1,-6.584512,-5.519448,56.635719,0.294171,0.003708,0.039163
1126942.151591,-9.728518,-5.957014,47.399918,-3.388080,-5.878726,47.912975,1126942.151590,1126942.106527,0,2070,1,-6.524681,-5.365466,56.653027,0.277478,0.013119,0.045825
