frameCounter, trackingStatus, timeLogged, frameNumber
2,2,428451.6695, 1031
3,2,428451.6856, 1032
4,2,428451.7001, 1033
5,2,428451.7157, 1034
6,2,428451.7315, 1035
7,2,428451.7481, 1036
8,2,428451.7637, 1037
9,2,428451.7804, 1038
10,2,428451.7957, 1039
11,2,428451.8120, 1040
12,2,428451.8280, 1041
13,2,428451.8450, 1042
14,2,428451.8603, 1043
15,2,428451.8928, 1044
16,2,428451.9082, 1045
17,2,428451.9240, 1046
18,2,428451.9401, 1047
19,2,428451.9566, 1048
20,2,428451.9721, 1049
21,2,428451.9874, 1050
22,2,428452.0038, 1051
23,2,428452.0200, 1052
24,2,428452.0360, 1053
25,2,428452.0527, 1054
26,2,428452.0689, 1055
27,2,428452.0844, 1056
28,2,428452.1007, 1057
29,2,428452.1163, 1058
30,2,428452.1316, 1059
31,2,428452.1484, 1060
32,2,428452.1640, 1061
33,2,428452.1800, 1062
34,2,428452.1955, 1063
35,2,428452.2117, 1064
36,2,428452.2281, 1065
37,2,428452.2438, 1066
38,2,428452.2604, 1067
39,2,428452.2923, 1068
40,2,428452.3078, 1069
41,2,428452.3235, 1070
42,2,428452.3400, 1071
43,2,428452.3571, 1072
44,2,428452.3738, 1073
45,2,428452.3878, 1074
46,2,428452.4041, 1075
47,2,428452.4206, 1076
48,2,428452.4362, 1077
49,2,428452.4517, 1078
50,2,428452.4684, 1079
51,2,428452.4847, 1080
52,2,428452.4996, 1081
53,2,428452.5158, 1082
54,2,428452.5315, 1083
55,2,428452.5476, 1084
56,2,428452.5641, 1085
57,2,428452.5797, 1086
58,2,428452.5961, 1087
59,2,428452.6120, 1088
60,2,428452.6284, 1089
61,2,428452.6440, 1090
62,2,428452.6763, 1091
63,2,428452.6920, 1092
64,2,428452.7091, 1093
65,2,428452.7249, 1094
66,2,428452.7399, 1095
67,2,428452.7556, 1096
68,2,428452.7718, 1097
69,2,428452.7897, 1098
70,2,428452.8051, 1099
71,2,428452.8199, 1100
72,2,428452.8362, 1101
73,2,428452.8519, 1102
74,2,428452.8683, 1103
75,2,428452.8843, 1104
76,2,428452.9007, 1105
77,2,428452.9163, 1106
78,2,428452.9316, 1107
79,2,428452.9482, 1108
80,2,428452.9639, 1109
81,2,428452.9801, 1110
82,2,428452.9966, 1111
83,2,428453.0118, 1112
84,2,428453.0280, 1113
85,2,428453.0440, 1114
86,2,428453.0756, 1115
87,2,428453.0920, 1116
88,2,428453.1083, 1117
89,2,428453.1245, 1118
90,2,428453.1402, 1119
91,2,428453.1566, 1120
92,2,428453.1722, 1121
93,2,428453.1880, 1122
94,2,428453.2045, 1123
95,2,428453.2212, 1124
96,2,428453.2360, 1125
