timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
3271.948086,5.560060,3.676969,64.192902,-0.363868,3.764676,65.170998,3271.948066,3271.898972,0,1240,1,2.652928,1.688203,73.462906,-0.113991,0.006589,-0.005678
3271.964573,5.494658,3.655808,65.261398,-0.408878,3.727269,65.403839,3271.964559,3271.917510,0,1241,1,2.395750,1.631256,74.106400,-0.111049,-0.019225,0.002676
3271.980623,5.518121,3.600837,65.491997,-0.390178,3.749569,65.651756,3271.980608,3271.937845,0,1242,1,2.702629,1.501944,74.333885,-0.105448,0.017974,-0.010516
3272.012256,5.420283,3.693993,64.373062,-0.337475,3.773876,65.337952,3272.012239,3271.958181,0,1243,1,2.596406,1.416655,73.575111,-0.085631,0.007102,-0.006430
3272.027828,5.418475,3.526813,65.138855,-0.376082,3.668468,65.783226,3272.027812,3271.981354,0,1244,1,2.320623,1.313891,74.168915,-0.081145,-0.017345,-0.024404
3272.043626,5.586391,3.626747,65.011345,-0.352234,3.831132,64.644592,3272.043609,3272.001825,0,1245,1,2.494337,1.241877,73.490593,-0.061907,-0.010997,-0.014964
3272.060140,5.597728,3.596213,65.810516,-0.319846,3.770710,65.338051,3272.060124,3272.022295,0,1246,1,2.644375,1.297642,74.280724,-0.079860,0.001896,-0.008206
3272.092137,5.520758,3.632140,64.127472,-0.333478,3.716014,65.501007,3272.092121,3272.042766,0,1247,1,2.384721,1.025756,73.416428,-0.039086,-0.020440,-0.017174
3272.108399,5.615454,3.452972,65.944511,-0.329272,3.700742,65.695320,3272.108381,3272.061498,0,1248,1,2.584016,1.181122,74.504684,-0.070705,-0.004174,-0.013488
3272.124033,5.795417,3.507808,66.222588,-0.409094,3.826272,64.988464,3272.124017,3272.081917,0,1249,1,2.660673,1.286780,74.300346,-0.074873,0.000584,-0.018529
3272.139625,5.570754,3.448647,66.299210,-0.378587,3.750225,65.144028,3272.139610,3272.102336,0,1250,1,2.403171,1.026950,74.353722,-0.050271,-0.017200,-0.021064
3272.171975,5.456249,3.621981,64.740837,-0.455583,3.709353,65.745575,3272.171957,3272.125235,0,1251,1,2.296651,1.246127,73.910568,-0.064347,-0.020403,-0.015745
3272.188952,5.594012,3.544887,65.921188,-0.343124,3.732382,65.002792,3272.188936,3272.145790,0,1252,1,2.351457,0.925089,74.051971,-0.035332,-0.030421,-0.009527
3272.205978,5.557304,3.720514,64.668152,-0.373530,3.797659,65.510681,3272.205959,3272.166345,0,1253,1,2.618806,1.631578,73.868935,-0.113327,0.004368,-0.007548
3272.235728,5.538301,3.510400,66.252243,-0.301499,3.800989,65.097542,3272.235712,3272.186900,0,1254,1,2.581973,0.990848,74.295021,-0.045096,-0.000039,-0.016946
3272.251681,5.483372,3.693150,64.430679,-0.364029,3.669537,65.750458,3272.251665,3272.205483,0,1255,1,2.320831,1.103187,73.718796,-0.049347,-0.026812,-0.008119
3272.268242,5.539419,3.592484,65.042358,-0.402670,3.634155,65.965714,3272.268226,3272.225902,0,1256,1,2.822658,1.163661,74.162697,-0.061606,0.031175,-0.009841
3272.284075,5.623980,3.522112,65.603722,-0.360087,3.711241,65.736221,3272.284060,3272.246320,0,1257,1,2.285618,0.505847,74.125786,0.010058,-0.035349,-0.019634
3272.316169,5.645990,3.575396,65.710197,-0.377040,3.755152,65.002419,3272.316154,3272.266739,0,1258,1,2.698826,1.151510,74.001137,-0.054620,0.005226,0.001935
3272.332186,5.607064,3.480872,65.962219,-0.403194,3.694169,65.482941,3272.332172,3272.285888,0,1259,1,2.505611,1.210845,74.405243,-0.069881,-0.005828,-0.022130
3272.347764,5.636988,3.525713,66.095985,-0.293321,3.753592,65.567673,3272.347749,3272.306254,0,1260,1,2.564759,1.310394,74.538315,-0.080030,-0.009256,-0.014977
3272.380223,5.545169,3.538468,65.724052,-0.338053,3.732836,65.170982,3272.380208,3272.326621,0,1261,1,2.376895,1.278503,74.140228,-0.075125,-0.024601,-0.010475
3272.397464,5.449039,3.649799,64.636452,-0.342261,3.792467,65.129799,3272.397428,3272.349567,0,1262,1,2.487987,1.510938,73.628098,-0.096961,-0.005415,-0.011472
3272.411983,5.533165,3.518914,65.196915,-0.357231,3.779344,65.084686,3272.411968,3272.370070,0,1263,1,2.475376,0.911255,73.718750,-0.029625,-0.009681,-0.015443
3272.428154,5.480934,3.609349,65.454773,-0.339565,3.801715,65.313782,3272.428139,3272.390572,0,1264,1,2.355717,1.214817,74.054070,-0.065584,-0.023852,-0.007962
3272.460579,5.494740,3.738151,64.026917,-0.415268,3.754863,65.569283,3272.460564,3272.411074,0,1265,1,2.504734,1.288255,73.475281,-0.067579,-0.002568,-0.009167
3272.476227,5.535525,3.512883,65.429214,-0.331987,3.755296,65.132065,3272.476211,3272.429556,0,1266,1,2.461474,1.012226,73.896431,-0.043719,-0.011843,-0.018719
3272.492213,5.660065,3.435531,66.444115,-0.339812,3.796991,65.034492,3272.492198,3272.449923,0,1267,1,2.497546,1.096403,74.380249,-0.053442,-0.012697,-0.024546
3272.508267,5.574393,3.566155,65.273224,-0.427577,3.737316,65.688217,3272.508252,3272.470289,0,1268,1,2.523789,0.956760,74.077774,-0.036425,-0.000523,-0.020531
3272.539813,5.432510,3.747315,63.789520,-0.356556,3.741103,65.795746,3272.539798,3272.490656,0,1269,1,2.231380,1.226189,73.448456,-0.060837,-0.031151,-0.018638
3272.556038,5.478355,3.658226,65.136475,-0.365299,3.767324,65.283363,3272.556023,3272.509470,0,1270,1,2.423281,0.902489,73.781555,-0.027559,-0.015459,-0.004734
3272.571939,5.625390,3.530254,65.634621,-0.380996,3.727991,65.170471,3272.571921,3272.529785,0,1271,1,2.424750,0.848868,73.974007,-0.027785,-0.019105,-0.016454
3272.604027,5.633315,3.472941,65.944550,-0.383261,3.771051,64.828339,3272.604005,3272.550100,0,1272,1,2.615894,1.314235,74.097206,-0.081650,0.001885,-0.014345
3272.621234,5.599507,3.596212,65.035149,-0.328606,3.746022,65.016838,3272.621174,3272.573474,0,1273,1,2.585107,1.429135,73.746330,-0.085817,-0.002740,-0.015215
3272.635944,5.474863,3.587806,65.508698,-0.374419,3.696241,65.631279,3272.635928,3272.593924,0,1274,1,2.526024,1.475562,74.318184,-0.098336,-0.002551,-0.005637
3272.652061,5.590145,3.530666,65.856865,-0.334573,3.762311,65.273270,3272.652045,3272.614374,0,1275,1,2.701936,1.377072,74.289200,-0.087677,0.010728,-0.011575
3272.684165,5.584349,3.563008,65.407333,-0.322285,3.794924,65.122337,3272.684150,3272.634824,0,1276,1,2.509660,1.251468,73.953026,-0.072400,-0.011241,-0.013362
3272.699957,5.564013,3.565577,65.536461,-0.260050,3.762938,65.315712,3272.699938,3272.653835,0,1277,1,2.941414,1.389521,74.139313,-0.084867,0.034140,-0.006670
3272.716832,5.611894,3.476868,66.248940,-0.392853,3.772723,65.289551,3272.716816,3272.674232,0,1278,1,2.709572,0.863550,74.349190,-0.030452,0.014828,-0.013750
3272.748383,5.404651,3.692327,64.663551,-0.411011,3.832746,64.846237,3272.748368,3272.694630,0,1279,1,1.978382,0.907827,73.319084,-0.029833,-0.057099,-0.014080
3272.764063,5.557549,3.505029,65.766312,-0.346417,3.725224,65.442459,3272.764048,3272.717681,0,1280,1,2.428888,1.413731,74.332794,-0.090126,-0.020283,-0.006222
3272.780279,5.567850,3.617666,65.588959,-0.397938,3.646012,66.295845,3272.780263,3272.738214,0,1281,1,2.535329,1.356174,74.658638,-0.084056,-0.004460,-0.009112
3272.796485,5.597395,3.466107,65.849846,-0.333525,3.837668,64.661911,3272.796470,3272.758748,0,1282,1,2.722157,0.571650,73.722656,0.008227,0.016459,-0.020800
3272.827955,5.642573,3.558809,65.832260,-0.386422,3.767573,65.002777,3272.827939,3272.779282,0,1283,1,2.582770,1.183753,74.080765,-0.061926,-0.004683,-0.006650
3272.844167,5.489122,3.497832,65.902596,-0.315968,3.759446,65.062866,3272.844152,3272.797557,0,1284,1,2.386540,1.315599,74.190277,-0.081294,-0.024572,-0.000596
3272.860059,5.449735,3.670105,64.864426,-0.431595,3.767148,65.271576,3272.860044,3272.817955,0,1285,1,2.407909,1.440717,73.791573,-0.087469,-0.009847,-0.010740
3272.876377,5.596784,3.504901,65.701591,-0.311580,3.758843,65.232689,3272.876362,3272.838353,0,1286,1,3.063447,1.830155,74.281662,-0.136406,0.048226,-0.004494
3272.908047,5.475826,3.705121,64.349907,-0.377247,3.761826,65.453041,3272.907998,3272.858751,0,1287,1,2.443162,1.393899,73.608040,-0.080084,-0.010032,-0.011972
