CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
3416.686387804, 309.250915527, 270.414031982, 351.007263184, 268.989532471, 414.979980469, 286.345947266, 457.871948242, 285.203186035, -10.190956116, 68.281539917, 661.984252930, 47.306941986, 65.843147278, 656.629028320, 8324
3416.706795967, 308.147949219, 269.782409668, 351.535614014, 268.651855469, 415.356933594, 287.001647949, 458.069335938, 285.709777832, -11.530926704, 67.135421753, 650.803100586, 48.210418701, 66.209754944, 659.120239258, 8325
3416.725653187, 308.070800781, 269.890747070, 351.136077881, 269.145446777, 414.383880615, 286.602905273, 457.807556152, 285.359405518, -11.752245903, 67.630447388, 657.471069336, 47.588531494, 66.204704285, 658.084289551, 8326
3416.746009421, 308.208190918, 269.562377930, 351.666809082, 269.226898193, 414.388122559, 286.456512451, 458.639373779, 285.429290771, -11.581606865, 67.405944824, 658.458068848, 48.158725739, 66.084831238, 655.908020020, 8327
3416.766365655, 308.559570312, 269.387817383, 351.507995605, 268.667022705, 415.272521973, 286.364562988, 457.936523438, 284.991729736, -11.030232430, 66.811332703, 654.476989746, 48.234592438, 65.806221008, 659.912963867, 8328
3416.789246939, 308.344604492, 269.773437500, 351.898132324, 269.255401611, 415.207946777, 286.692840576, 457.970153809, 285.398071289, -11.305361748, 67.185325623, 653.370178223, 48.975227356, 66.770179749, 662.661560059, 8329
3416.809738743, 309.617309570, 270.033752441, 350.062988281, 269.249938965, 413.814331055, 286.630798340, 458.253845215, 285.862731934, -9.860424042, 69.448295593, 673.831420898, 45.323001862, 65.477188110, 646.858520508, 8330
3416.830230546, 308.184509277, 270.028137207, 351.201019287, 269.117706299, 415.033630371, 286.660644531, 457.794769287, 285.334655762, -11.524735451, 67.349601746, 653.486816406, 47.720279694, 66.227806091, 658.668762207, 8331
3416.850722349, 308.266113281, 270.198547363, 350.469970703, 269.004180908, 414.409240723, 286.357849121, 457.457763672, 285.267333984, -11.502615929, 67.809761047, 658.786437988, 46.500553131, 65.801292419, 655.663635254, 8332
3416.869660391, 308.118499756, 270.047058105, 351.685852051, 268.967071533, 414.739196777, 286.763000488, 458.255706787, 285.669433594, -11.645742416, 67.609161377, 655.180358887, 48.401226044, 66.374320984, 658.883972168, 8333
3416.890099840, 307.486694336, 269.721862793, 352.587646484, 268.517883301, 413.436035156, 286.192993164, 458.013122559, 285.058319092, -12.607372284, 67.513298035, 660.182861328, 50.303047180, 66.520629883, 667.611022949, 8334
3416.910539288, 308.865905762, 269.877929688, 351.311401367, 269.026184082, 414.159545898, 286.289733887, 457.525115967, 285.096496582, -10.781252861, 68.211227417, 665.256958008, 48.080951691, 66.290054321, 661.524414062, 8335
3416.933408356, 309.010925293, 269.469970703, 351.671722412, 269.082855225, 413.992065430, 286.399719238, 458.043579102, 285.152679443, -10.620419502, 68.250106812, 667.640930176, 48.494750977, 66.250061035, 660.376037598, 8336
3416.953984487, 308.696380615, 269.545959473, 351.210906982, 268.772644043, 415.005218506, 285.990600586, 458.137634277, 285.558593750, -10.889754295, 66.976509094, 657.522644043, 47.550750732, 65.890945435, 656.173828125, 8337
3416.974560619, 308.314575195, 269.374877930, 350.620605469, 268.605804443, 415.188415527, 286.237426758, 457.281097412, 285.377532959, -11.344623566, 66.591796875, 653.273254395, 46.877498627, 65.848114014, 658.083007812, 8338
3416.995136751, 307.683837891, 270.069946289, 350.794433594, 268.932281494, 414.671478271, 286.486297607, 458.452514648, 285.845550537, -12.189500809, 67.151351929, 652.445068359, 46.591346741, 65.647148132, 650.769470215, 8339
3417.013734419, 307.470214844, 269.673706055, 351.793945312, 268.968536377, 414.651702881, 285.857055664, 457.657165527, 285.514587402, -12.452542305, 66.302307129, 650.992492676, 48.943649292, 66.810432434, 664.212951660, 8340
3417.034173867, 308.283630371, 269.963317871, 351.095092773, 269.408874512, 414.178771973, 286.359252930, 457.054931641, 285.263031006, -11.512381554, 67.841423035, 660.643981934, 47.920196533, 66.865379333, 663.438110352, 8341
3417.054613315, 308.783050537, 269.805419922, 351.354339600, 269.053131104, 414.640380859, 286.502258301, 458.080017090, 285.095642090, -10.827782631, 67.861167908, 660.939453125, 47.862228394, 65.920364380, 657.701110840, 8342
3417.075052763, 308.588012695, 269.624572754, 351.319335938, 269.307342529, 413.803955078, 286.507568359, 458.097991943, 284.973663330, -11.181088448, 68.245201111, 665.817138672, 47.787921906, 65.972740173, 657.319885254, 8343
3417.093667430, 309.179382324, 270.018249512, 350.838623047, 269.232757568, 413.969787598, 286.520874023, 458.402465820, 285.156158447, -10.405593872, 68.875602722, 669.166198730, 46.707740784, 65.455703735, 651.485168457, 8344
3417.114054790, 307.883850098, 269.602416992, 351.636322021, 268.822174072, 414.028167725, 286.070190430, 457.927368164, 284.730468750, -12.031329155, 67.195045471, 658.723327637, 48.491146088, 65.839103699, 660.969116211, 8345
3417.134442150, 308.654052734, 269.804748535, 350.955322266, 269.305816650, 414.082580566, 286.467224121, 458.580932617, 285.572753906, -11.060591698, 68.174926758, 664.202209473, 46.832820892, 65.743347168, 651.045837402, 8346
3417.157348941, 308.824890137, 269.652893066, 351.095397949, 269.212646484, 414.947326660, 286.478698730, 458.208618164, 285.386840820, -10.737876892, 67.531082153, 658.926696777, 47.296245575, 65.936599731, 654.811401367, 8347
3417.177872286, 308.409851074, 269.798095703, 351.932220459, 269.027130127, 414.027038574, 286.320770264, 458.134277344, 285.193603516, -11.374702454, 67.918731689, 662.751831055, 48.949970245, 66.370483398, 661.674316406, 8348
3417.198395631, 307.948913574, 270.070526123, 352.318237305, 268.783538818, 414.708923340, 286.086181641, 458.544555664, 285.681732178, -11.855658531, 67.055046082, 654.153625488, 49.468105316, 66.521186829, 661.511901855, 8349
3417.218918977, 307.766448975, 270.202697754, 351.763549805, 269.158111572, 414.375579834, 285.490783691, 457.476013184, 285.591369629, -12.122357368, 66.855361938, 655.291687012, 48.986373901, 67.112831116, 665.365234375, 8350
3417.237666484, 309.234069824, 269.560974121, 350.921722412, 268.815155029, 415.083068848, 286.890075684, 458.043395996, 286.056365967, -10.208030701, 67.965957642, 660.997497559, 47.045520782, 66.111869812, 654.702026367, 8351
3417.258137313, 309.121917725, 269.587951660, 351.673187256, 268.279449463, 414.159118652, 286.812744141, 458.017333984, 285.529632568, -10.460190773, 68.576301575, 667.211181641, 48.503768921, 65.971694946, 660.534057617, 8352
3417.278608142, 308.437988281, 269.570251465, 351.634613037, 268.857879639, 415.076751709, 286.568603516, 458.254730225, 285.106964111, -11.206519127, 67.133491516, 655.031433105, 48.305820465, 65.874137878, 658.504211426, 8353
