timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
3483.158837,-4.585615,3.613818,65.521240,-10.469282,3.757991,65.497658,3483.154119,3483.098371,0,57055,1,-7.721361,0.702032,73.402275,-0.011732,-0.007785,-0.012143
3483.162676,-4.585616,3.613820,65.520355,-10.469283,3.757993,65.496773,3483.158028,3483.098371,0,57056,1,-7.721361,0.702032,73.402275,-0.011732,-0.007785,-0.012143
3483.166605,-4.589271,3.603180,65.574844,-10.465631,3.768637,65.440468,3483.162015,3483.117179,0,57057,1,-8.446005,1.071175,73.795013,-0.055688,-0.091569,-0.024017
3483.171662,-4.589272,3.603182,65.573914,-10.465631,3.768640,65.439537,3483.167066,3483.117179,0,57058,1,-8.446005,1.071175,73.795013,-0.055688,-0.091569,-0.024017
3483.175670,-4.589273,3.603185,65.572975,-10.465633,3.768642,65.438599,3483.171027,3483.117179,0,57059,1,-8.446005,1.071175,73.795013,-0.055688,-0.091569,-0.024017
3483.179838,-4.589274,3.603187,65.572029,-10.465634,3.768644,65.437653,3483.175051,3483.117179,0,57060,1,-8.446005,1.071175,73.795013,-0.055688,-0.091569,-0.024017
3483.183676,-4.593412,3.607151,65.519081,-10.461499,3.764686,65.488335,3483.179089,3483.137650,0,57061,1,-7.886910,1.269373,73.754158,-0.077469,-0.023643,-0.012104
3483.187229,-4.593414,3.607154,65.517769,-10.461501,3.764689,65.487022,3483.182655,3483.137650,0,57062,1,-7.886910,1.269373,73.754158,-0.077469,-0.023643,-0.012104
3483.192258,-4.593416,3.607157,65.516281,-10.461503,3.764693,65.485535,3483.187583,3483.137650,0,57063,1,-7.886910,1.269373,73.754158,-0.077469,-0.023643,-0.012104
3483.196491,-4.593419,3.607162,65.514626,-10.461506,3.764697,65.483879,3483.191630,3483.137650,0,57064,1,-7.886910,1.269373,73.754158,-0.077469,-0.023643,-0.012104
3483.200183,-4.594337,3.603909,65.528549,-10.460591,3.767957,65.466698,3483.195622,3483.158121,0,57065,1,-8.429848,0.768132,74.083344,-0.025740,-0.078671,-0.011337
3483.204172,-4.594339,3.603913,65.526962,-10.460593,3.767961,65.465111,3483.199610,3483.158121,0,57066,1,-8.429848,0.768132,74.083344,-0.025740,-0.078671,-0.011337
3483.209142,-4.594341,3.603916,65.525406,-10.460596,3.767965,65.463554,3483.204558,3483.158121,0,57067,1,-8.429848,0.768132,74.083344,-0.025740,-0.078671,-0.011337
3483.213171,-4.594343,3.603920,65.523888,-10.460598,3.767969,65.462036,3483.208593,3483.158121,0,57068,1,-8.429848,0.768132,74.083344,-0.025740,-0.078671,-0.011337
3483.217134,-4.594345,3.603924,65.522415,-10.460600,3.767972,65.460564,3483.212565,3483.158121,0,57069,1,-8.429848,0.768132,74.083344,-0.025740,-0.078671,-0.011337
3483.221250,-4.594347,3.603927,65.520981,-10.460602,3.767976,65.459129,3483.216677,3483.158121,0,57070,1,-8.429848,0.768132,74.083344,-0.025740,-0.078671,-0.011337
3483.225153,-4.594349,3.603930,65.519592,-10.460604,3.767979,65.457741,3483.220567,3483.158121,0,57071,1,-8.429848,0.768132,74.083344,-0.025740,-0.078671,-0.011337
3483.229233,-4.602025,3.604848,65.545120,-10.452931,3.767069,65.429276,3483.224656,3483.178592,0,57072,1,-7.931257,0.492775,73.629593,0.012296,-0.025773,-0.011191
3483.232587,-4.602027,3.604852,65.543571,-10.452933,3.767073,65.427727,3483.228019,3483.178592,0,57073,1,-7.931257,0.492775,73.629593,0.012296,-0.025773,-0.011191
3483.237681,-4.602029,3.604856,65.541954,-10.452935,3.767077,65.426102,3483.233108,3483.178592,0,57074,1,-7.931257,0.492775,73.629593,0.012296,-0.025773,-0.011191
3483.241645,-4.602031,3.604860,65.540253,-10.452938,3.767081,65.424408,3483.237058,3483.178592,0,57075,1,-7.931257,0.492775,73.629593,0.012296,-0.025773,-0.011191
3483.246667,-4.603968,3.597944,65.588783,-10.451004,3.774003,65.373413,3483.242095,3483.197071,0,57076,1,-8.236879,0.675991,74.937874,-0.022477,-0.055335,-0.019710
3483.250655,-4.603969,3.597946,65.588013,-10.451005,3.774004,65.372643,3483.246082,3483.197071,0,57077,1,-8.236879,0.675991,74.937874,-0.022477,-0.055335,-0.019710
3483.254643,-4.603970,3.597947,65.587700,-10.451006,3.774005,65.372330,3483.250067,3483.197071,0,57078,1,-8.236879,0.675991,74.937874,-0.022477,-0.055335,-0.019710
3483.258743,-4.603970,3.597946,65.587837,-10.451005,3.774005,65.372467,3483.253991,3483.197071,0,57079,1,-8.236879,0.675991,74.937874,-0.022477,-0.055335,-0.019710
3483.262628,-4.608823,3.596396,65.609497,-10.446151,3.775553,65.351601,3483.258054,3483.217407,0,57080,1,-8.201449,0.797937,74.254372,-0.026957,-0.050650,-0.019379
3483.266704,-4.608822,3.596394,65.610146,-10.446150,3.775552,65.352249,3483.262141,3483.217407,0,57081,1,-8.201449,0.797937,74.254372,-0.026957,-0.050650,-0.019379
3483.272010,-4.608821,3.596392,65.611046,-10.446149,3.775549,65.353149,3483.267445,3483.217407,0,57082,1,-8.201449,0.797937,74.254372,-0.026957,-0.050650,-0.019379
3483.274350,-4.608819,3.596390,65.612190,-10.446147,3.775547,65.354301,3483.269785,3483.217407,0,57083,1,-8.201449,0.797937,74.254372,-0.026957,-0.050650,-0.019379
3483.278697,-4.608818,3.596386,65.613586,-10.446145,3.775543,65.355690,3483.274131,3483.217407,0,57084,1,-8.201449,0.797937,74.254372,-0.026957,-0.050650,-0.019379
3483.283042,-4.608816,3.596382,65.615227,-10.446143,3.775539,65.357330,3483.278480,3483.217407,0,57085,1,-8.201449,0.797937,74.254372,-0.026957,-0.050650,-0.019379
3483.287442,-4.608813,3.596377,65.617104,-10.446140,3.775535,65.359207,3483.282870,3483.217407,0,57086,1,-8.201449,0.797937,74.254372,-0.026957,-0.050650,-0.019379
3483.292501,-4.594492,3.605018,65.573174,-10.460456,3.766884,65.407578,3483.287923,3483.237742,0,57087,1,-8.103853,0.831511,74.203552,-0.031329,-0.045725,-0.003151
3483.296822,-4.594489,3.605012,65.575737,-10.460452,3.766878,65.410141,3483.292210,3483.237742,0,57088,1,-8.103853,0.831511,74.203552,-0.031329,-0.045725,-0.003151
3483.300716,-4.594485,3.605005,65.578651,-10.460448,3.766871,65.413055,3483.296147,3483.237742,0,57089,1,-8.103853,0.831511,74.203552,-0.031329,-0.045725,-0.003151
3483.304770,-4.594481,3.604997,65.581909,-10.460443,3.766863,65.416313,3483.300183,3483.237742,0,57090,1,-8.103853,0.831511,74.203552,-0.031329,-0.045725,-0.003151
