frameCounter, trackingStatus, timeLogged, frameNumber
4249,2,4118.1400, 49270
4250,2,4118.1567, 49271
4251,2,4118.1726, 49272
4252,2,4118.1872, 49273
4253,2,4118.2040, 49274
4254,2,4118.2187, 49275
4255,2,4118.2504, 49276
4256,2,4118.2668, 49277
4257,2,4118.2827, 49278
4258,2,4118.2988, 49279
4259,2,4118.3149, 49280
4260,2,4118.3306, 49281
4261,2,4118.3473, 49282
4262,2,4118.3630, 49283
4263,2,4118.3787, 49284
4264,2,4118.3952, 49285
4265,2,4118.4113, 49286
4266,2,4118.4267, 49287
4267,2,4118.4426, 49288
4268,2,4118.4588, 49289
4269,2,4118.4755, 49290
4270,2,4118.4924, 49291
4271,2,4118.5072, 49292
4272,2,4118.5233, 49293
4273,2,4118.5390, 49294
4274,2,4118.5546, 49295
4275,2,4118.5710, 49296
4276,2,4118.5879, 49297
4277,2,4118.6029, 49298
4278,2,4118.6190, 49299
4279,2,4118.6508, 49300
4280,2,4118.6670, 49301
4281,2,4118.6827, 49302
4282,2,4118.6986, 49303
4283,2,4118.7147, 49304
4284,2,4118.7306, 49305
4285,2,4118.7470, 49306
4286,2,4118.7630, 49307
4287,2,4118.7788, 49308
4288,2,4118.7949, 49309
4289,2,4118.8115, 49310
4290,2,4118.8265, 49311
4291,2,4118.8431, 49312
4292,2,4118.8590, 49313
4293,2,4118.8752, 49314
4294,2,4118.8907, 49315
4295,2,4118.9085, 49316
4296,2,4118.9227, 49317
4297,2,4118.9386, 49318
4298,2,4118.9543, 49319
4299,2,4118.9711, 49320
4300,2,4118.9868, 49321
4301,2,4119.0033, 49322
4302,2,4119.0349, 49323
4303,2,4119.0507, 49324
4304,2,4119.0669, 49325
4305,2,4119.0827, 49326
4306,2,4119.0989, 49327
4307,2,4119.1149, 49328
4308,2,4119.1313, 49329
4309,2,4119.1469, 49330
4310,2,4119.1637, 49331
4311,2,4119.1789, 49332
4312,2,4119.1947, 49333
4313,2,4119.2110, 49334
4314,2,4119.2269, 49335
4315,2,4119.2436, 49336
4316,2,4119.2588, 49337
4317,2,4119.2748, 49338
4318,2,4119.2909, 49339
4319,2,4119.3070, 49340
4320,2,4119.3230, 49341
4321,2,4119.3399, 49342
4322,2,4119.3550, 49343
4323,2,4119.3713, 49344
4324,2,4119.3870, 49345
4325,2,4119.4028, 49346
4326,2,4119.4345, 49347
4327,2,4119.4509, 49348
4328,2,4119.4665, 49349
4329,2,4119.4829, 49350
4330,2,4119.4986, 49351
4331,2,4119.5148, 49352
4332,2,4119.5307, 49353
4333,2,4119.5465, 49354
4334,2,4119.5630, 49355
4335,2,4119.5788, 49356
4336,2,4119.5946, 49357
4337,2,4119.6124, 49358
4338,2,4119.6273, 49359
4339,2,4119.6424, 49360
4340,2,4119.6608, 49361
4341,2,4119.6750, 49362
4342,2,4119.6910, 49363
4343,2,4119.7071, 49364
4344,2,4119.7230, 49365
4345,2,4119.7398, 49366
4346,2,4119.7557, 49367
4347,2,4119.7709, 49368
4348,2,4119.7869, 49369
4349,2,4119.8036, 49370
4350,2,4119.8360, 49371
4351,2,4119.8507, 49372
4352,2,4119.8667, 49373
4353,2,4119.8825, 49374
4354,2,4119.8983, 49375
4355,2,4119.9148, 49376
4356,2,4119.9307, 49377
4357,2,4119.9468, 49378
4358,2,4119.9624, 49379
4359,2,4119.9786, 49380
4360,2,4119.9947, 49381
4361,2,4120.0111, 49382
4362,2,4120.0267, 49383
4363,2,4120.0430, 49384
4364,2,4120.0587, 49385
4365,2,4120.0745, 49386
4366,2,4120.0914, 49387
4367,2,4120.1065, 49388
4368,2,4120.1227, 49389
4369,2,4120.1386, 49390
4370,2,4120.1553, 49391
4371,2,4120.1710, 49392
4372,2,4120.1874, 49393
4373,2,4120.2195, 49394
4374,2,4120.2349, 49395
4375,2,4120.2507, 49396
4376,2,4120.2669, 49397
4377,2,4120.2829, 49398
4378,2,4120.2993, 49399
4379,2,4120.3151, 49400
4380,2,4120.3306, 49401
4381,2,4120.3472, 49402
4382,2,4120.3638, 49403
4383,2,4120.3789, 49404
4384,2,4120.3953, 49405
4385,2,4120.4113, 49406
4386,2,4120.4270, 49407
4387,2,4120.4430, 49408
4388,2,4120.4590, 49409
4389,2,4120.4748, 49410
4390,2,4120.4920, 49411
4391,2,4120.5069, 49412
4392,2,4120.5232, 49413
4393,2,4120.5392, 49414
4394,2,4120.5559, 49415
4395,2,4120.5729, 49416
4396,2,4120.5875, 49417
4397,2,4120.6190, 49418
4398,2,4120.6349, 49419
4399,2,4120.6503, 49420
4400,2,4120.6665, 49421
4401,2,4120.6829, 49422
4402,2,4120.6988, 49423
4403,2,4120.7146, 49424
4404,2,4120.7307, 49425
4405,2,4120.7464, 49426
4406,2,4120.7626, 49427
4407,2,4120.7795, 49428
4408,2,4120.7944, 49429
4409,2,4120.8108, 49430
4410,2,4120.8272, 49431
4411,2,4120.8428, 49432
4412,2,4120.8600, 49433
4413,2,4120.8749, 49434
4414,2,4120.8924, 49435
4415,2,4120.9066, 49436
4416,2,4120.9229, 49437
4417,2,4120.9391, 49438
4418,2,4120.9550, 49439
4419,2,4120.9708, 49440
4420,2,4121.0030, 49441
4421,2,4121.0194, 49442
4422,2,4121.0351, 49443
4423,2,4121.0507, 49444
4424,2,4121.0668, 49445
4425,2,4121.0830, 49446
4426,2,4121.0990, 49447
4427,2,4121.1151, 49448
4428,2,4121.1309, 49449
4429,2,4121.1470, 49450
4430,2,4121.1630, 49451
4431,2,4121.1789, 49452
4432,2,4121.1950, 49453
4433,2,4121.2111, 49454
4434,2,4121.2271, 49455
4435,2,4121.2429, 49456
4436,2,4121.2588, 49457
