CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
4208.2342, 140.6784, 118.3515, 702.9144, -0.0351, 0.0299, -0.0139, 140.6784, 118.3515, 702.9144, -0.0351, 0.0299, -0.0139, 54672
4208.2509, 141.6142, 118.8493, 707.8870, -0.0222, 0.0440, -0.0129, 141.6142, 118.8493, 707.8870, -0.0222, 0.0440, -0.0129, 54673
4208.2676, 141.3337, 118.6741, 706.7665, -0.0211, 0.0455, -0.0238, 141.3337, 118.6741, 706.7665, -0.0211, 0.0455, -0.0238, 54674
4208.2843, 141.9500, 119.0983, 709.1254, -0.0236, 0.0470, -0.0150, 141.9500, 119.0983, 709.1254, -0.0236, 0.0470, -0.0150, 54675
4208.3009, 141.0693, 118.9342, 706.6525, -0.0174, 0.0321, -0.0212, 141.0693, 118.9342, 706.6525, -0.0174, 0.0321, -0.0212, 54676
4208.3176, 140.9671, 118.2201, 704.1299, -0.0182, 0.0283, -0.0157, 140.9671, 118.2201, 704.1299, -0.0182, 0.0283, -0.0157, 54677
4208.3343, 141.9994, 119.3061, 710.2910, -0.0183, 0.0395, -0.0116, 141.9994, 119.3061, 710.2910, -0.0183, 0.0395, -0.0116, 54678
4208.3510, 141.9131, 118.9855, 708.6663, -0.0021, 0.0433, -0.0217, 141.9131, 118.9855, 708.6663, -0.0021, 0.0433, -0.0217, 54679
4208.3677, 140.9517, 118.5941, 704.4440, -0.0178, 0.0544, -0.0202, 140.9517, 118.5941, 704.4440, -0.0178, 0.0544, -0.0202, 54680
4208.3843, 141.9495, 119.0949, 709.3801, -0.0230, 0.0413, -0.0185, 141.9495, 119.0949, 709.3801, -0.0230, 0.0413, -0.0185, 54681
4208.4010, 140.7245, 118.4798, 704.1870, -0.0164, 0.0402, -0.0164, 140.7245, 118.4798, 704.1870, -0.0164, 0.0402, -0.0164, 54682
4208.4177, 141.0437, 118.9283, 706.9348, -0.0001, 0.0358, -0.0167, 141.0437, 118.9283, 706.9348, -0.0001, 0.0358, -0.0167, 54683
