timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
4208.229573,-1.345579,6.893545,65.965775,4.931869,6.781480,66.224770,4208.269147,4208.176496,0,231100,1,-8.310927,0.353267,74.325447,0.019391,-0.057729,-0.015764
4208.234342,-1.429614,6.893147,65.965775,4.847833,6.781082,66.224770,4208.274034,4208.176496,0,231101,1,-8.310927,0.353267,74.325447,0.019391,-0.057729,-0.015764
4208.238256,-1.383209,6.866292,65.999069,4.897060,6.759151,66.299721,4208.278019,4208.193177,0,231102,1,-8.106116,0.410777,74.429993,0.009898,-0.030321,-0.016587
4208.242234,-1.337873,6.843273,66.000069,4.942396,6.736132,66.300720,4208.281985,4208.193177,0,231103,1,-8.106116,0.410777,74.429993,0.009898,-0.030321,-0.016587
4208.247213,-1.294053,6.821165,66.000969,4.986217,6.714024,66.301620,4208.286970,4208.193177,0,231104,1,-8.106116,0.410777,74.429993,0.009898,-0.030321,-0.016587
4208.251456,-1.252076,6.800104,66.001785,5.028194,6.692963,66.302429,4208.290998,4208.193177,0,231105,1,-8.106116,0.410777,74.429993,0.009898,-0.030321,-0.016587
4208.255220,-1.254202,6.797967,66.017090,5.016692,6.685492,66.280327,4208.294972,4208.209858,0,231106,1,-8.110273,0.266301,74.326080,0.029117,-0.035608,-0.013748
4208.259199,-1.260684,6.793297,66.014030,5.010210,6.680822,66.277267,4208.298978,4208.209858,0,231107,1,-8.110273,0.266301,74.326080,0.029117,-0.035608,-0.013748
4208.263209,-1.266870,6.788737,66.011276,5.004025,6.676262,66.274513,4208.302959,4208.209858,0,231108,1,-8.110273,0.266301,74.326080,0.029117,-0.035608,-0.013748
4208.267429,-1.285439,6.759172,65.775894,4.998430,6.657462,66.091743,4208.307066,4208.226538,0,231109,1,-8.231734,0.404825,74.178116,0.016211,-0.049729,-0.012726
4208.271186,-1.297313,6.736088,65.775894,4.986556,6.634377,66.091743,4208.310984,4208.226538,0,231110,1,-8.231734,0.404825,74.178116,0.016211,-0.049729,-0.012726
4208.276195,-1.309324,6.713578,65.775894,4.974545,6.611867,66.091743,4208.315979,4208.226538,0,231111,1,-8.231734,0.404825,74.178116,0.016211,-0.049729,-0.012726
4208.280128,-1.321215,6.691914,65.775894,4.962654,6.590203,66.091743,4208.319909,4208.226538,0,231112,1,-8.231734,0.404825,74.178116,0.016211,-0.049729,-0.012726
4208.284147,-1.334969,6.706447,65.872978,4.944161,6.604043,66.217079,4208.323944,4208.243219,0,231113,1,-8.239535,0.388103,74.291153,0.015129,-0.051179,-0.023704
4208.288133,-1.350746,6.719654,65.872978,4.928385,6.617249,66.217079,4208.327932,4208.243219,0,231114,1,-8.239535,0.388103,74.291153,0.015129,-0.051179,-0.023704
4208.293084,-1.366561,6.732108,65.872978,4.912569,6.629703,66.217079,4208.332889,4208.243219,0,231115,1,-8.239535,0.388103,74.291153,0.015129,-0.051179,-0.023704
4208.297115,-1.382133,6.743792,65.872978,4.896997,6.641387,66.217079,4208.336883,4208.243219,0,231116,1,-8.239535,0.388103,74.291153,0.015129,-0.051179,-0.023704
4208.301163,-0.395324,6.760286,66.066399,5.889005,6.663319,66.442123,4208.340829,4208.259899,0,231117,1,-8.320239,0.359237,74.492477,0.017657,-0.052741,-0.014875
4208.305187,-0.329112,6.778627,66.066399,5.955216,6.681660,66.442123,4208.344930,4208.259899,0,231118,1,-8.320239,0.359237,74.492477,0.017657,-0.052741,-0.014875
4208.309095,-0.262795,6.796184,66.066399,6.021534,6.699217,66.442123,4208.348897,4208.259899,0,231119,1,-8.320239,0.359237,74.492477,0.017657,-0.052741,-0.014875
4208.313093,-0.194042,6.813072,66.066399,6.090287,6.716105,66.442123,4208.352875,4208.259899,0,231120,1,-8.320239,0.359237,74.492477,0.017657,-0.052741,-0.014875
4208.317506,-1.134196,6.822124,66.195717,5.148502,6.725610,66.576691,4208.357257,4208.276580,0,231121,1,-8.177440,0.381200,74.649567,0.011395,-0.037755,-0.021105
4208.321981,-1.134660,6.831193,66.195717,5.148038,6.734679,66.576691,4208.361726,4208.276580,0,231122,1,-8.177440,0.381200,74.649567,0.011395,-0.037755,-0.021105
4208.326082,-1.134578,6.840037,66.195717,5.148120,6.743523,66.576691,4208.365836,4208.276580,0,231123,1,-8.177440,0.381200,74.649567,0.011395,-0.037755,-0.021105
4208.330042,-1.134010,6.848677,66.195717,5.148688,6.752162,66.576691,4208.369822,4208.276580,0,231124,1,-8.177440,0.381200,74.649567,0.011395,-0.037755,-0.021105
4208.333514,-2.151020,6.834582,65.839096,4.132228,6.741660,66.251266,4208.373234,4208.293260,0,231125,1,-8.105578,0.424703,74.307594,0.012210,-0.034031,-0.015631
4208.338631,-2.241886,6.823145,65.839096,4.041362,6.730223,66.251266,4208.378377,4208.293260,0,231126,1,-8.105578,0.424703,74.307594,0.012210,-0.034031,-0.015631
4208.342616,-2.314292,6.812555,65.839096,3.968956,6.719633,66.251266,4208.382395,4208.293260,0,231127,1,-8.105578,0.424703,74.307594,0.012210,-0.034031,-0.015631
4208.346598,-2.389015,6.802721,65.839088,3.894233,6.709799,66.251259,4208.386376,4208.293260,0,231128,1,-8.105578,0.424703,74.307594,0.012210,-0.034031,-0.015631
4208.350883,-0.961330,6.766981,65.832222,5.324754,6.675940,66.258911,4208.390668,4208.309941,0,231129,1,-8.196495,0.415587,74.307487,0.012324,-0.045209,-0.011478
4208.354825,-0.937612,6.733512,65.832573,5.348473,6.642472,66.259262,4208.394617,4208.309941,0,231130,1,-8.196495,0.415587,74.307487,0.012324,-0.045209,-0.011478
4208.359913,-0.902474,6.700529,65.832886,5.383610,6.609488,66.259583,4208.399693,4208.309941,0,231131,1,-8.196495,0.415587,74.307487,0.012324,-0.045209,-0.011478
4208.364061,-0.895387,6.714150,65.941437,5.389348,6.624708,66.382683,4208.403846,4208.326622,0,231132,1,-8.288480,0.548987,74.467667,-0.003866,-0.049014,-0.021607
