CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
4208.217536984, 4208.217536984, 54671, 4208.217536984, 4208.217536984, 54671, 4208.217536984, 6536
4208.234217551, 4208.234217551, 54672, 4208.234217551, 4208.234217551, 54672, 4208.234217551, 6537
4208.250898118, 4208.250898118, 54673, 4208.250898118, 4208.250898118, 54673, 4208.250898118, 6538
4208.267578685, 4208.267578685, 54674, 4208.267578685, 4208.267578685, 54674, 4208.267578685, 6539
4208.284259253, 4208.284259253, 54675, 4208.284259253, 4208.284259253, 54675, 4208.284259253, 6540
4208.300939820, 4208.300939820, 54676, 4208.300939820, 4208.300939820, 54676, 4208.300939820, 6541
4208.317620387, 4208.317620387, 54677, 4208.317620387, 4208.317620387, 54677, 4208.317620387, 6542
4208.334300954, 4208.334300954, 54678, 4208.334300954, 4208.334300954, 54678, 4208.334300954, 6543
4208.350981521, 4208.350981521, 54679, 4208.350981521, 4208.350981521, 54679, 4208.350981521, 6544
4208.367662088, 4208.367662088, 54680, 4208.367662088, 4208.367662088, 54680, 4208.367662088, 6545
4208.384342655, 4208.384342655, 54681, 4208.384342655, 4208.384342655, 54681, 4208.384342655, 6546
4208.401023222, 4208.401023222, 54682, 4208.401023222, 4208.401023222, 54682, 4208.401023222, 6547
4208.417703790, 4208.417703790, 54683, 4208.417703790, 4208.417703790, 54683, 4208.417703790, 6548
4208.434384357, 4208.434384357, 54684, 4208.434384357, 4208.434384357, 54684, 4208.434384357, 6549
4208.451064924, 4208.451064924, 54685, 4208.451064924, 4208.451064924, 54685, 4208.451064924, 6550
4208.467745491, 4208.467745491, 54686, 4208.467745491, 4208.467745491, 54686, 4208.467745491, 6551
4208.484305027, 4208.484305027, 54687, 4208.484305027, 4208.484305027, 54687, 4208.484305027, 6552
4208.500978641, 4208.500978641, 54688, 4208.500978641, 4208.500978641, 54688, 4208.500978641, 6553
4208.517652255, 4208.517652255, 54689, 4208.517652255, 4208.517652255, 54689, 4208.517652255, 6554
4208.534325869, 4208.534325869, 54690, 4208.534325869, 4208.534325869, 54690, 4208.534325869, 6555
4208.550999483, 4208.550999483, 54691, 4208.550999483, 4208.550999483, 54691, 4208.550999483, 6556
4208.567673097, 4208.567673097, 54692, 4208.567673097, 4208.567673097, 54692, 4208.567673097, 6557
4208.584346711, 4208.584346711, 54693, 4208.584346711, 4208.584346711, 54693, 4208.584346711, 6558
4208.601020325, 4208.601020325, 54694, 4208.601020325, 4208.601020325, 54694, 4208.601020325, 6559
4208.617693939, 4208.617693939, 54695, 4208.617693939, 4208.617693939, 54695, 4208.617693939, 6560
4208.634367553, 4208.634367553, 54696, 4208.634367553, 4208.634367553, 54696, 4208.634367553, 6561
4208.651041167, 4208.651041167, 54697, 4208.651041167, 4208.651041167, 54697, 4208.651041167, 6562
4208.667714781, 4208.667714781, 54698, 4208.667714781, 4208.667714781, 54698, 4208.667714781, 6563
4208.684388395, 4208.684388395, 54699, 4208.684388395, 4208.684388395, 54699, 4208.684388395, 6564
4208.701062009, 4208.701062009, 54700, 4208.701062009, 4208.701062009, 54700, 4208.701062009, 6565
4208.717735623, 4208.717735623, 54701, 4208.717735623, 4208.717735623, 54701, 4208.717735623, 6566
4208.734409237, 4208.734409237, 54702, 4208.734409237, 4208.734409237, 54702, 4208.734409237, 6567
4208.751082851, 4208.751082851, 54703, 4208.751082851, 4208.751082851, 54703, 4208.751082851, 6568
4208.767756465, 4208.767756465, 54704, 4208.767756465, 4208.767756465, 54704, 4208.767756465, 6569
4208.784430079, 4208.784430079, 54705, 4208.784430079, 4208.784430079, 54705, 4208.784430079, 6570
4208.801103693, 4208.801103693, 54706, 4208.801103693, 4208.801103693, 54706, 4208.801103693, 6571
4208.817777307, 4208.817777307, 54707, 4208.817777307, 4208.817777307, 54707, 4208.817777307, 6572
4208.834450921, 4208.834450921, 54708, 4208.834450921, 4208.834450921, 54708, 4208.834450921, 6573
4208.851124535, 4208.851124535, 54709, 4208.851124535, 4208.851124535, 54709, 4208.851124535, 6574
4208.867800479, 4208.867800479, 54710, 4208.867800479, 4208.867800479, 54710, 4208.867800479, 6575
4208.884481046, 4208.884481046, 54711, 4208.884481046, 4208.884481046, 54711, 4208.884481046, 6576
4208.901161613, 4208.901161613, 54712, 4208.901161613, 4208.901161613, 54712, 4208.901161613, 6577
4208.917842180, 4208.917842180, 54713, 4208.917842180, 4208.917842180, 54713, 4208.917842180, 6578
4208.934522747, 4208.934522747, 54714, 4208.934522747, 4208.934522747, 54714, 4208.934522747, 6579
4208.951203315, 4208.951203315, 54715, 4208.951203315, 4208.951203315, 54715, 4208.951203315, 6580
4208.967883882, 4208.967883882, 54716, 4208.967883882, 4208.967883882, 54716, 4208.967883882, 6581
4208.984564449, 4208.984564449, 54717, 4208.984564449, 4208.984564449, 54717, 4208.984564449, 6582
4209.001245016, 4209.001245016, 54718, 4209.001245016, 4209.001245016, 54718, 4209.001245016, 6583
4209.017925583, 4209.017925583, 54719, 4209.017925583, 4209.017925583, 54719, 4209.017925583, 6584
4209.034606150, 4209.034606150, 54720, 4209.034606150, 4209.034606150, 54720, 4209.034606150, 6585
4209.051286717, 4209.051286717, 54721, 4209.051286717, 4209.051286717, 54721, 4209.051286717, 6586
4209.067967285, 4209.067967285, 54722, 4209.067967285, 4209.067967285, 54722, 4209.067967285, 6587
4209.084647852, 4209.084647852, 54723, 4209.084647852, 4209.084647852, 54723, 4209.084647852, 6588
4209.101328419, 4209.101328419, 54724, 4209.101328419, 4209.101328419, 54724, 4209.101328419, 6589
4209.118008986, 4209.118008986, 54725, 4209.118008986, 4209.118008986, 54725, 4209.118008986, 6590
4209.134689553, 4209.134689553, 54726, 4209.134689553, 4209.134689553, 54726, 4209.134689553, 6591
4209.151370120, 4209.151370120, 54727, 4209.151370120, 4209.151370120, 54727, 4209.151370120, 6592
4209.168050687, 4209.168050687, 54728, 4209.168050687, 4209.168050687, 54728, 4209.168050687, 6593
4209.184731255, 4209.184731255, 54729, 4209.184731255, 4209.184731255, 54729, 4209.184731255, 6594
4209.201411822, 4209.201411822, 54730, 4209.201411822, 4209.201411822, 54730, 4209.201411822, 6595
4209.218092389, 4209.218092389, 54731, 4209.218092389, 4209.218092389, 54731, 4209.218092389, 6596
4209.234772956, 4209.234772956, 54732, 4209.234772956, 4209.234772956, 54732, 4209.234772956, 6597
4209.251453523, 4209.251453523, 54733, 4209.251453523, 4209.251453523, 54733, 4209.251453523, 6598
4209.268138212, 4209.268138212, 54734, 4209.268138212, 4209.268138212, 54734, 4209.268138212, 6599
4209.284825738, 4209.284825738, 54735, 4209.284825738, 4209.284825738, 54735, 4209.284825738, 6600
4209.301513264, 4209.301513264, 54736, 4209.301513264, 4209.301513264, 54736, 4209.301513264, 6601
4209.318200790, 4209.318200790, 54737, 4209.318200790, 4209.318200790, 54737, 4209.318200790, 6602
4209.334888317, 4209.334888317, 54738, 4209.334888317, 4209.334888317, 54738, 4209.334888317, 6603
