timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
4403.276923,-1.253913,6.752685,65.494865,4.936040,6.670501,66.075233,4403.276923,4403.235411,0,66364,1,2.436213,9.631089,74.292709,0.009056,0.064323,-0.016193
4403.290165,-1.268151,6.750965,65.439659,4.940311,6.675307,66.047585,4403.290163,4403.252084,0,66365,1,2.396038,9.646089,74.250534,0.007983,0.059841,-0.017155
4403.308719,-1.234435,6.720563,65.299461,4.962246,6.680083,66.131538,4403.308718,4403.268758,0,66366,1,2.373257,9.632168,74.222214,0.006969,0.054873,-0.014376
4403.322265,-1.250399,6.832261,65.962639,4.935184,6.677912,65.978203,4403.322264,4403.285432,0,66367,1,2.472763,9.714693,74.457626,0.002756,0.066686,-0.021387
4403.338426,-1.219767,6.778286,65.691887,4.950256,6.699676,66.140396,4403.338425,4403.302105,0,66368,1,2.453647,9.589014,74.441643,0.015049,0.063368,-0.016675
4403.354068,-1.266752,6.776201,65.527016,4.950071,6.684785,66.118004,4403.354067,4403.318779,0,66369,1,2.414077,9.599954,74.345436,0.013723,0.060830,-0.018573
4403.370550,-1.328572,6.727638,65.187325,4.953925,6.668617,66.114021,4403.370547,4403.335453,0,66370,1,2.439861,9.651118,74.140617,0.003732,0.067526,-0.017928
4403.386333,-1.255663,6.776236,65.544838,4.922510,6.661258,65.972374,4403.386332,4403.352126,0,66371,1,2.460467,9.678497,74.249962,0.004038,0.065922,-0.022394
4403.401926,-1.253208,6.686701,65.143379,4.933663,6.662896,66.010307,4403.401925,4403.368800,0,66372,1,2.391093,9.527755,74.114761,0.018612,0.059637,-0.014544
4403.418085,-1.285856,6.756034,65.595703,4.922115,6.652393,66.088043,4403.418084,4403.385473,0,66373,1,2.465174,9.524945,74.380165,0.020799,0.068648,-0.021273
4403.450502,-1.304881,6.689958,65.163254,4.948942,6.673379,66.080513,4403.450501,4403.402147,0,66374,1,2.330735,9.564002,74.152611,0.015241,0.054990,-0.013683
4403.465957,-1.304602,6.703822,65.246941,4.968462,6.685801,66.216324,4403.465957,4403.418938,0,66375,1,2.446757,9.642614,74.232780,0.007300,0.066738,-0.015882
4403.482484,-1.300668,6.758733,65.542213,4.937878,6.666208,65.977524,4403.482484,4403.435619,0,66376,1,2.410774,9.658098,74.256737,0.005306,0.063853,-0.016590
4403.498105,-1.264877,6.737445,65.394524,4.921348,6.665253,66.009460,4403.498104,4403.452299,0,66377,1,2.303239,9.595561,74.223862,0.011452,0.050143,-0.016334
4403.515098,-1.311716,6.718901,65.302704,4.998691,6.711318,66.321869,4403.515098,4403.468980,0,66378,1,2.326648,9.722148,74.295601,-0.001402,0.051614,-0.014903
4403.531620,-1.274556,6.731170,65.531258,4.943230,6.696467,66.066742,4403.531619,4403.485660,0,66379,1,2.250548,9.634968,74.313957,0.008128,0.043908,-0.014380
4403.546917,-1.251255,6.746524,65.502586,4.944643,6.666325,66.118187,4403.546916,4403.502341,0,66380,1,2.333196,9.694371,74.303596,0.001893,0.051200,-0.017139
4403.562145,-1.236340,6.738588,65.510071,4.951607,6.679779,66.178642,4403.562144,4403.519021,0,66381,1,2.393079,9.615611,74.361320,0.010915,0.056974,-0.017103
4403.577980,-1.283140,6.712520,65.302544,4.954931,6.658982,66.133904,4403.577979,4403.535702,0,66382,1,2.451588,9.527719,74.257065,0.020167,0.064563,-0.022407
4403.593794,-1.293794,6.729782,65.238235,4.947381,6.674071,66.097687,4403.593793,4403.552383,0,66383,1,2.405528,9.545278,74.202003,0.017811,0.062215,-0.016645
4403.610000,-1.278948,6.725265,65.394073,4.949913,6.687077,66.072922,4403.609999,4403.569063,0,66384,1,2.448389,9.648598,74.229889,0.005674,0.066820,-0.015086
4403.626692,-1.260392,6.750093,65.573738,4.970573,6.689977,66.253113,4403.626691,4403.585744,0,66385,1,2.422502,9.645701,74.421371,0.008445,0.060185,-0.018699
4403.642113,-1.256588,6.740888,65.466881,4.980790,6.700511,66.238594,4403.642112,4403.602424,0,66386,1,2.440735,9.548905,74.388100,0.018340,0.062889,-0.014683
4403.657936,-1.284310,6.774549,65.499512,4.962078,6.704995,66.182060,4403.657936,4403.619105,0,66387,1,2.448612,9.643679,74.346855,0.008731,0.064834,-0.019725
4403.673943,-1.244402,6.705335,65.125725,4.943698,6.677573,66.090935,4403.673943,4403.635785,0,66388,1,2.423059,9.514394,74.148239,0.019729,0.061321,-0.017429
4403.690282,-1.244252,6.770049,65.609917,4.928144,6.680663,65.974220,4403.690281,4403.652466,0,66389,1,2.542961,9.680964,74.273590,0.002746,0.076050,-0.018454
4403.706353,-1.258978,6.741198,65.342216,4.959559,6.692146,66.159958,4403.706352,4403.669146,0,66390,1,2.472007,9.611806,74.263481,0.011168,0.066090,-0.020114
4403.722716,-1.239537,6.756426,65.429802,4.910579,6.681283,65.926437,4403.722715,4403.685827,0,66391,1,2.344248,9.703533,74.162003,-0.000786,0.054071,-0.016529
4403.738181,-1.281575,6.794524,65.888634,4.959919,6.683817,66.091095,4403.738180,4403.702508,0,66392,1,2.398194,9.838095,74.438278,-0.011587,0.058226,-0.021457
4403.753831,-1.258191,6.746864,65.475700,4.947603,6.692644,66.119881,4403.753831,4403.719188,0,66393,1,2.319836,9.627759,74.315178,0.009846,0.049364,-0.018614
4403.770089,-1.247917,6.739673,65.464104,4.959918,6.685849,66.141701,4403.770089,4403.735869,0,66394,1,2.303389,9.675400,74.303635,0.003780,0.047148,-0.015606
