CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
714243.257834136, 246.580902100, 269.702270508, 288.740783691, 270.528839111, 307.749328613, 269.250305176, 350.386962891, 270.515777588, -95.714164734, 40.583553314, 733.963928223, -30.635288239, 41.602455139, 724.232238770, 2000
714243.274514703, 246.465942383, 269.540588379, 288.787811279, 270.491027832, 307.860717773, 268.985534668, 350.316833496, 270.241668701, -95.685836792, 40.541202545, 733.619140625, -30.643098831, 41.602416992, 724.560791016, 2001
714243.291195270, 246.590667725, 269.622863770, 288.577270508, 270.502655029, 307.446533203, 269.201660156, 350.246795654, 270.279541016, -95.769691467, 40.571678162, 734.124450684, -30.664308548, 41.614173889, 724.653320312, 2002
714243.307875837, 246.653793335, 269.385070801, 288.821105957, 270.674255371, 307.532165527, 269.295593262, 350.313110352, 270.413543701, -95.826522827, 40.582130432, 734.457946777, -30.686805725, 41.649879456, 724.823425293, 2003
714243.324556405, 246.643676758, 269.924865723, 288.640350342, 270.573577881, 307.901184082, 269.066589355, 350.463378906, 270.269439697, -95.797592163, 40.578662872, 734.070861816, -30.703788757, 41.640331268, 724.826538086, 2004
714243.341236972, 246.543640137, 269.803924561, 288.978240967, 270.433746338, 307.604583740, 269.091125488, 350.338867188, 270.336975098, -95.795753479, 40.579910278, 733.982727051, -30.696645737, 41.633934021, 724.929992676, 2005
714243.357917539, 246.564697266, 269.822448730, 288.995910645, 270.492218018, 307.688415527, 268.936462402, 350.478393555, 270.369049072, -95.764602661, 40.569900513, 733.936645508, -30.666526794, 41.649333954, 725.250366211, 2006
714243.374598106, 246.827316284, 269.755432129, 288.920898438, 270.443176270, 307.826904297, 268.880676270, 350.346801758, 270.212432861, -95.751083374, 40.568973541, 734.292907715, -30.656154633, 41.639728546, 725.453552246, 2007
714243.391278673, 246.929290771, 269.603332520, 288.964172363, 270.556213379, 307.778442383, 269.152282715, 350.506927490, 270.289978027, -95.716506958, 40.571052551, 734.322875977, -30.606594086, 41.664131165, 725.600036621, 2008
714243.407959240, 246.554489136, 269.708007812, 288.867004395, 270.439575195, 307.553466797, 268.995605469, 350.320770264, 270.332824707, -95.745513916, 40.586246490, 734.616149902, -30.583606720, 41.674797058, 725.906188965, 2009
714243.424639808, 246.573608398, 269.546997070, 289.072021484, 270.373046875, 307.772552490, 268.950988770, 350.627563477, 270.226318359, -95.734336853, 40.603031158, 734.882873535, -30.554191589, 41.662689209, 725.852844238, 2010
714243.441320375, 246.462707520, 269.639343262, 288.763732910, 270.529052734, 307.863769531, 268.888793945, 350.534759521, 270.210174561, -95.696014404, 40.563884735, 734.658996582, -30.520519257, 41.639400482, 725.641784668, 2011
714243.458000942, 246.784896851, 269.651428223, 289.173278809, 270.476196289, 307.588226318, 269.125701904, 350.392761230, 270.243255615, -95.735107422, 40.581657410, 735.170593262, -30.488546371, 41.653015137, 726.223632812, 2012
714243.474681509, 246.403366089, 269.617645264, 288.609466553, 270.401306152, 307.737976074, 268.871643066, 350.555175781, 270.223785400, -95.750846863, 40.580207825, 735.202758789, -30.489864349, 41.610908508, 725.627746582, 2013
714243.491418481, 246.462448120, 269.733215332, 288.698059082, 270.421051025, 307.870788574, 268.861999512, 350.465545654, 270.171813965, -95.671676636, 40.522975922, 734.446350098, -30.471612930, 41.590023041, 725.480407715, 2014
714243.508106007, 246.441207886, 269.565979004, 288.893127441, 270.437347412, 308.029663086, 268.921203613, 350.520385742, 270.262603760, -95.575340271, 40.457801819, 733.495483398, -30.455625534, 41.554965973, 725.295532227, 2015
714243.524793533, 246.627853394, 269.663208008, 288.800476074, 270.354187012, 307.793151855, 268.974304199, 350.457611084, 270.106231689, -95.591636658, 40.440975189, 733.593627930, -30.444843292, 41.542274475, 725.489135742, 2016
714243.541481059, 246.709335327, 269.661682129, 289.042907715, 270.348114014, 307.727844238, 269.202514648, 350.579071045, 270.319824219, -95.579421997, 40.444034576, 733.670776367, -30.426803589, 41.524654388, 725.284423828, 2017
714243.558168585, 246.508911133, 269.720214844, 288.776702881, 270.419097900, 307.843994141, 269.167541504, 350.595764160, 270.298675537, -95.549400330, 40.437065125, 733.382812500, -30.436256409, 41.491008759, 724.844970703, 2018
714243.574856111, 246.641235352, 269.578613281, 288.872344971, 270.435028076, 307.814300537, 268.796386719, 350.533935547, 270.401184082, -95.543655396, 40.408161163, 733.166259766, -30.428911209, 41.485183716, 724.550659180, 2019
714243.591543637, 246.741012573, 269.470947266, 288.875213623, 270.324737549, 307.904724121, 268.896667480, 350.391937256, 270.226043701, -95.514671326, 40.361759186, 732.778747559, -30.440460205, 41.469963074, 724.611145020, 2020
714243.608231163, 246.543670654, 269.752807617, 288.763366699, 270.325378418, 307.809631348, 268.918212891, 350.451660156, 270.201873779, -95.471580505, 40.340747833, 732.434265137, -30.441648483, 41.437702179, 724.316711426, 2021
714243.624918689, 246.606185913, 269.561584473, 288.865081787, 270.440948486, 307.763244629, 268.704711914, 350.241699219, 270.290069580, -95.476119995, 40.329513550, 732.508422852, -30.477352142, 41.459732056, 724.562683105, 2022
714243.641606215, 246.389526367, 269.473999023, 288.662292480, 270.406799316, 307.796630859, 268.799621582, 350.522552490, 270.174835205, -95.483085632, 40.311046600, 732.476257324, -30.486049652, 41.441230774, 724.422607422, 2023
714243.658293741, 246.809448242, 269.696594238, 289.016418457, 270.369720459, 307.625915527, 268.912963867, 350.360290527, 270.316223145, -95.481628418, 40.303043365, 732.513916016, -30.498153687, 41.433204651, 724.309570312, 2024
714243.674981267, 246.443344116, 269.730285645, 288.749237061, 270.343109131, 307.694824219, 268.854187012, 350.393402100, 270.286224365, -95.491149902, 40.314582825, 732.612182617, -30.498300552, 41.455215454, 724.686340332, 2025
714243.691668793, 246.497970581, 269.753662109, 288.991912842, 270.430603027, 307.973266602, 268.810485840, 350.346191406, 270.241546631, -95.473770142, 40.307064056, 732.509582520, -30.483821869, 41.490676880, 725.211425781, 2026
714243.708356319, 246.550704956, 269.787963867, 288.847503662, 270.317657471, 307.698852539, 268.918640137, 350.597839355, 270.324859619, -95.535438538, 40.353229523, 733.087829590, -30.482728958, 41.476959229, 725.035156250, 2027
714243.725043845, 246.488815308, 269.710998535, 288.793487549, 270.338775635, 307.706787109, 268.958435059, 350.339935303, 270.390289307, -95.544639587, 40.351539612, 733.019775391, -30.490129471, 41.502109528, 725.176269531, 2028
714243.741731371, 246.593994141, 269.906372070, 288.807983398, 270.437042236, 307.681335449, 268.885223389, 350.381469727, 270.305328369, -95.548622131, 40.343200684, 732.946899414, -30.517337799, 41.505077362, 725.138366699, 2029
714243.758418897, 246.374801636, 269.782287598, 288.717864990, 270.302062988, 307.538940430, 268.990844727, 350.442565918, 270.413909912, -95.595306396, 40.348930359, 733.167114258, -30.530508041, 41.511966705, 725.245361328, 2030
714243.775106423, 246.312423706, 269.675415039, 288.555297852, 270.311462402, 307.662933350, 268.895935059, 350.433715820, 270.301208496, -95.605850220, 40.347682953, 732.920471191, -30.559026718, 41.480690002, 724.948364258, 2031
714243.791793949, 246.350753784, 269.633056641, 288.668304443, 270.241668701, 307.639587402, 269.005310059, 350.276336670, 270.253997803, -95.634490967, 40.355617523, 732.760803223, -30.580202103, 41.469875336, 724.829284668, 2032
714243.808481475, 246.713958740, 269.765930176, 288.939086914, 270.363800049, 307.827575684, 269.031433105, 350.513275146, 270.143402100, -95.638084412, 40.374855042, 732.961181641, -30.563312531, 41.477302551, 724.979309082, 2033
714243.825169001, 246.421676636, 269.908020020, 288.571472168, 270.268951416, 307.480316162, 269.005798340, 350.343811035, 270.109039307, -95.680496216, 40.423946381, 733.104797363, -30.579305649, 41.425476074, 724.471252441, 2034
714243.841856527, 246.334197998, 269.786193848, 288.605560303, 270.263641357, 307.738525391, 268.959838867, 350.532958984, 270.170684814, -95.686340332, 40.452419281, 733.085998535, -30.583105087, 41.409042358, 724.357421875, 2035
714243.858544054, 246.454437256, 269.703491211, 288.723266602, 270.351165771, 307.763000488, 269.044799805, 350.493041992, 270.287872314, -95.646423340, 40.425682068, 732.444763184, -30.595987320, 41.375003815, 723.816955566, 2036
714243.875231580, 246.147308350, 269.661621094, 288.492858887, 270.330810547, 307.581481934, 268.982788086, 350.222473145, 270.274688721, -95.653083801, 40.415210724, 732.191223145, -30.625242233, 41.366310120, 723.695068359, 2037
714243.891867544, 246.149887085, 269.614196777, 288.698791504, 270.289489746, 307.632812500, 268.868347168, 350.477661133, 270.283874512, -95.695404053, 40.408863068, 732.177246094, -30.638460159, 41.327571869, 723.136718750, 2038
714243.908548112, 246.411911011, 269.577331543, 288.713439941, 270.416351318, 307.708374023, 268.823913574, 350.365356445, 270.179046631, -95.686569214, 40.378318787, 731.981994629, -30.659847260, 41.332061768, 723.269714355, 2039
714243.925228679, 246.598922729, 269.735900879, 288.815521240, 270.515930176, 307.635375977, 268.874145508, 350.291503906, 270.248443604, -95.705490112, 40.389518738, 732.246398926, -30.660192490, 41.341293335, 723.385986328, 2040
714243.941909246, 246.433776855, 269.632629395, 288.627563477, 270.303619385, 307.598510742, 268.941345215, 350.294860840, 270.237762451, -95.713104248, 40.370807648, 732.154479980, -30.677461624, 41.322608948, 723.276550293, 2041
714243.958589813, 246.647521973, 269.715454102, 289.053344727, 270.423278809, 307.638183594, 269.057067871, 350.417480469, 270.261749268, -95.709068298, 40.385002136, 732.402465820, -30.653944016, 41.349437714, 723.769287109, 2042
714243.975270380, 246.472702026, 269.854919434, 288.758026123, 270.440612793, 307.723632812, 268.887878418, 350.213378906, 270.269714355, -95.706047058, 40.403259277, 732.532165527, -30.651956558, 41.387290955, 724.317016602, 2043
714243.991950947, 246.457519531, 269.876037598, 288.534973145, 270.333892822, 307.616302490, 268.984741211, 350.311614990, 270.331909180, -95.716049194, 40.427230835, 732.707153320, -30.660320282, 41.385398865, 724.096252441, 2044
714244.008631515, 246.151489258, 269.956176758, 288.698333740, 270.444610596, 307.416442871, 269.096679688, 350.311462402, 270.388366699, -95.762176514, 40.433769226, 732.520690918, -30.688055038, 41.403911591, 724.050048828, 2045
714244.025312082, 246.308715820, 269.962768555, 288.383026123, 270.429290771, 307.419494629, 268.909301758, 350.276611328, 270.197937012, -95.769149780, 40.427600861, 732.453979492, -30.706535339, 41.410781860, 723.892700195, 2046
714244.041992649, 246.049301147, 269.875671387, 288.439575195, 270.541015625, 307.421875000, 268.995056152, 350.158386230, 270.362976074, -95.810905457, 40.437492371, 732.480651855, -30.740222931, 41.455410004, 724.144287109, 2047
714244.058673216, 245.929565430, 269.685485840, 288.222229004, 270.358184814, 307.182983398, 269.009826660, 349.814697266, 270.280303955, -95.892807007, 40.438400269, 732.559997559, -30.817991257, 41.468479156, 724.371337891, 2048
714244.075353783, 246.032958984, 269.758728027, 288.028900146, 270.375549316, 306.972991943, 269.041992188, 349.685974121, 270.399505615, -96.011360168, 40.485504150, 733.227355957, -30.897233963, 41.484615326, 724.464721680, 2049
714244.092034350, 245.532028198, 269.741455078, 287.893005371, 270.366241455, 306.721282959, 269.015319824, 349.712585449, 270.199005127, -96.160987854, 40.519840240, 733.541503906, -31.022577286, 41.475402832, 724.322814941, 2050
714244.108714918, 245.307800293, 269.893920898, 287.646484375, 270.376800537, 306.584350586, 268.984252930, 349.628906250, 270.319458008, -96.328674316, 40.545009613, 733.457641602, -31.171422958, 41.448890686, 723.760620117, 2051
714244.125395485, 244.884490967, 270.085632324, 287.255645752, 270.336090088, 306.198913574, 269.183044434, 348.995605469, 270.194366455, -96.558959961, 40.566390991, 733.085876465, -31.412830353, 41.412635803, 723.381835938, 2052
714244.142076052, 244.799560547, 269.972900391, 287.303680420, 270.330566406, 305.997680664, 269.285156250, 348.797943115, 270.205200195, -96.836585999, 40.609569550, 733.085021973, -31.659599304, 41.425609589, 723.614807129, 2053
