timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
714243.252186,5.436625,11.714787,73.451561,-1.061327,11.617264,72.489952,714243.271668,714243.203773,0,8235,1,2.517963,10.503967,81.956184,-0.358726,0.002957,0.034665
714243.260223,5.436624,11.714784,73.451653,-1.061328,11.617261,72.490044,714243.279650,714243.203773,0,8236,1,2.520505,10.553798,81.965775,-0.383497,-0.005292,0.035479
714243.260637,5.436623,11.714781,73.451752,-1.061329,11.617258,72.490143,714243.280241,714243.203773,0,8237,1,2.520696,10.557572,81.966499,-0.385389,-0.005928,0.035540
714243.266189,5.436622,11.714778,73.451851,-1.061330,11.617256,72.490242,714243.285628,714243.203773,0,8238,1,2.522443,10.592509,81.973228,-0.402998,-0.011887,0.036109
714243.270161,5.436633,11.714074,73.464211,-1.061342,11.617953,72.478081,714243.289619,714243.220454,0,8239,1,2.515916,10.149467,81.894081,0.186826,0.056010,0.043463
714243.275137,5.436631,11.714071,73.464310,-1.061343,11.617950,72.478180,714243.294605,714243.220454,0,8240,1,2.516321,10.164051,81.897057,0.220139,0.056522,0.044652
714243.278134,5.436630,11.714068,73.464409,-1.061344,11.617948,72.478279,714243.297606,714243.220454,0,8241,1,2.516550,10.173043,81.898895,0.240883,0.056842,0.045386
714243.282262,5.436629,11.714066,73.464516,-1.061345,11.617945,72.478386,714243.301626,714243.220454,0,8242,1,2.516840,10.185348,81.901421,0.269501,0.057285,0.046392
714243.286133,5.436577,11.712886,73.476097,-1.061296,11.619119,72.467010,714243.305578,714243.237134,0,8243,1,2.521767,9.915061,81.874870,0.092837,-0.046036,0.035530
714243.291133,5.436576,11.712883,73.476196,-1.061296,11.619116,72.467110,714243.310580,714243.237134,0,8244,1,2.522772,9.915578,81.876808,0.114438,-0.054415,0.036008
714243.295009,5.436574,11.712880,73.476303,-1.061298,11.619113,72.467209,714243.314551,714243.237134,0,8245,1,2.523571,9.916023,81.878380,0.132182,-0.061310,0.036395
714243.298858,5.436416,11.711609,73.482498,-1.061141,11.620378,72.461212,714243.318536,714243.253815,0,8246,1,2.473703,9.918352,81.876251,-0.365835,0.059350,0.032205
714243.303893,5.436415,11.711606,73.482597,-1.061142,11.620376,72.461311,714243.323525,714243.253815,0,8247,1,2.472608,9.918609,81.878235,-0.387731,0.061146,0.032376
714243.307856,5.436414,11.711603,73.482697,-1.061143,11.620373,72.461411,714243.327515,714243.253815,0,8248,1,2.471707,9.918833,81.879868,-0.406014,0.062663,0.032513
714243.312009,5.436553,11.710118,73.486641,-1.061283,11.621852,72.457657,714243.331505,714243.270495,0,8249,1,2.487377,9.941016,81.905701,-0.318428,0.120461,0.029168
714243.315977,5.436551,11.710115,73.486740,-1.061284,11.621849,72.457756,714243.335500,714243.270495,0,8250,1,2.486705,9.941735,81.908119,-0.330694,0.126324,0.029222
714243.319929,5.436550,11.710113,73.486839,-1.061285,11.621846,72.457855,714243.339486,714243.270495,0,8251,1,2.486015,9.942467,81.910576,-0.343369,0.132392,0.029278
714243.323971,5.436549,11.710110,73.486938,-1.061286,11.621843,72.457954,714243.343471,714243.270495,0,8252,1,2.485304,9.943214,81.913071,-0.356486,0.138680,0.029334
714243.327762,5.436955,11.708282,73.491714,-1.061695,11.623666,72.453377,714243.347459,714243.287176,0,8253,1,2.457357,9.959180,81.991081,-0.133153,0.004254,0.037460
