timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
714300.222649,4.290005,11.934406,71.241791,-2.273235,11.895134,71.294907,714300.222631,714300.183781,0,5414,1,1.804394,9.451117,79.892136,-0.085903,0.100538,0.008841
714300.235589,4.298970,11.943838,71.314583,-2.269672,11.909382,71.292274,714300.235569,714300.200454,0,5415,1,1.834588,9.412247,79.913368,-0.081330,0.102453,0.011681
714300.251638,4.307863,11.929811,71.313072,-2.261931,11.874109,71.248245,714300.251620,714300.217128,0,5416,1,1.836872,9.391121,79.884171,-0.078297,0.101927,0.011316
714300.268545,4.315610,11.935800,71.330109,-2.252443,11.893664,71.195877,714300.268531,714300.233802,0,5417,1,1.829636,9.294917,79.837479,-0.066872,0.100933,0.009042
714300.282391,4.321990,11.926442,71.308372,-2.246653,11.905532,71.224960,714300.282377,714300.250475,0,5418,1,1.780858,9.354486,79.863083,-0.073182,0.093389,0.012000
714300.300936,4.327526,11.968678,71.288483,-2.240224,11.927772,71.204002,714300.300913,714300.267149,0,5419,1,1.881707,9.344147,79.828590,-0.071496,0.105506,0.009259
714300.315593,4.336220,11.962616,71.345276,-2.235393,11.952303,71.187912,714300.315577,714300.283822,0,5420,1,1.865462,9.318180,79.843582,-0.068579,0.101251,0.013794
714300.332232,4.341831,11.997667,71.345230,-2.228170,11.976649,71.198517,714300.332216,714300.300496,0,5421,1,1.918836,9.327824,79.847290,-0.070193,0.108050,0.010042
714300.346909,4.349941,12.038146,71.331444,-2.219454,12.011095,71.165878,714300.346891,714300.317170,0,5422,1,1.898994,9.410106,79.852684,-0.080685,0.105095,0.008595
714300.365908,4.359181,12.050992,71.395622,-2.211638,12.045693,71.169296,714300.365884,714300.333843,0,5423,1,1.864965,9.270171,79.852234,-0.066519,0.100120,0.008887
714300.396335,4.363973,12.018489,71.387756,-2.204714,12.008054,71.172691,714300.396318,714300.350517,0,5424,1,1.917220,9.242376,79.842995,-0.065146,0.104124,0.012995
714300.411923,4.368306,12.036349,71.396362,-2.195579,12.014450,71.165352,714300.411906,714300.367145,0,5425,1,1.912210,9.263169,79.855774,-0.069841,0.104699,0.007224
714300.427522,4.370531,11.970741,71.408272,-2.189947,11.966523,71.142029,714300.427507,714300.383811,0,5426,1,1.917346,9.245485,79.850601,-0.069304,0.102116,0.015057
714300.442613,4.373509,11.989273,71.348038,-2.184639,11.968393,71.162796,714300.442591,714300.400478,0,5427,1,1.966947,9.208830,79.818054,-0.066623,0.109224,0.010229
714300.459544,4.372808,11.991419,71.306778,-2.178190,11.973581,71.160042,714300.459527,714300.417145,0,5428,1,1.856740,9.043218,79.755333,-0.048017,0.095302,0.012244
714300.474059,4.378728,11.981009,71.338356,-2.174504,11.964922,71.210442,714300.474044,714300.433811,0,5429,1,1.886613,9.167171,79.836967,-0.063435,0.097642,0.013679
714300.490532,4.385263,11.942920,71.364090,-2.167950,11.914374,71.219467,714300.490515,714300.450478,0,5430,1,1.886155,9.185484,79.863579,-0.066242,0.096966,0.013146
714300.506098,4.390368,11.969976,71.345375,-2.160378,11.942538,71.254738,714300.506073,714300.467145,0,5431,1,1.910362,9.201443,79.874062,-0.068072,0.100028,0.010452
714300.522652,4.395471,11.956819,71.317001,-2.151500,11.933437,71.251968,714300.522632,714300.483811,0,5432,1,1.922133,8.952492,79.775520,-0.038368,0.101165,0.009742
714300.541087,4.404052,11.952745,71.334709,-2.144170,11.942495,71.239098,714300.541063,714300.500478,0,5433,1,1.933735,9.125874,79.832336,-0.057626,0.101603,0.009131
714300.554286,4.410537,11.966864,71.378838,-2.139178,11.947095,71.247375,714300.554270,714300.517145,0,5434,1,1.925574,9.071610,79.839287,-0.050189,0.099362,0.011087
714300.571621,4.416337,11.963756,71.372391,-2.134010,11.950013,71.238869,714300.571596,714300.533811,0,5435,1,1.909475,9.114632,79.845398,-0.054417,0.098113,0.007300
714300.586718,4.420380,11.967664,71.383369,-2.132801,11.946131,71.267677,714300.586703,714300.550478,0,5436,1,1.935588,9.114603,79.861244,-0.053512,0.099682,0.010650
714300.602637,4.420474,11.972642,71.380264,-2.132626,11.963389,71.251236,714300.602622,714300.567145,0,5437,1,1.880829,9.109090,79.852608,-0.052374,0.094206,0.008011
714300.619102,4.416622,12.010794,71.361008,-2.136909,11.988800,71.297127,714300.619085,714300.583811,0,5438,1,1.924339,9.140204,79.870552,-0.055897,0.100269,0.006551
714300.635707,4.411994,11.989142,71.410080,-2.139062,11.976353,71.278381,714300.635684,714300.600478,0,5439,1,1.954311,9.224936,79.909210,-0.065267,0.102817,0.010200
