frameCounter, trackingStatus, timeLogged, frameNumber
1645,2,714300.2229, 5414
1646,2,714300.2366, 5415
1647,2,714300.2535, 5416
1648,2,714300.2686, 5417
1649,2,714300.2824, 5418
1650,2,714300.3010, 5419
1651,2,714300.3156, 5420
1652,2,714300.3323, 5421
1653,2,714300.3470, 5422
1654,2,714300.3660, 5423
1655,2,714300.3964, 5424
1656,2,714300.4120, 5425
1657,2,714300.4275, 5426
1658,2,714300.4426, 5427
1659,2,714300.4595, 5428
1660,2,714300.4741, 5429
1661,2,714300.4906, 5430
1662,2,714300.5061, 5431
1663,2,714300.5225, 5432
1664,2,714300.5411, 5433
1665,2,714300.5543, 5434
1666,2,714300.5717, 5435
1667,2,714300.5868, 5436
1668,2,714300.6027, 5437
1669,2,714300.6191, 5438
1670,2,714300.6358, 5439
1671,2,714300.6520, 5440
1672,2,714300.6682, 5441
1673,2,714300.6839, 5442
1674,2,714300.7009, 5443
1675,2,714300.7177, 5444
1676,2,714300.7328, 5445
1677,2,714300.7496, 5446
1678,2,714300.7782, 5447
1679,2,714300.7973, 5448
1680,2,714300.8125, 5449
1681,2,714300.8266, 5450
1682,2,714300.8436, 5451
1683,2,714300.8596, 5452
1684,2,714300.8743, 5453
1685,2,714300.8901, 5454
1686,2,714300.9061, 5455
1687,2,714300.9229, 5456
1688,2,714300.9388, 5457
1689,2,714300.9573, 5458
1690,2,714300.9724, 5459
1691,2,714300.9881, 5460
1692,2,714301.0036, 5461
1693,2,714301.0210, 5462
1694,2,714301.0375, 5463
1695,2,714301.0548, 5464
1696,2,714301.0701, 5465
1697,2,714301.0825, 5466
1698,2,714301.0996, 5467
1699,2,714301.1144, 5468
1700,2,714301.1324, 5469
1701,2,714301.1464, 5470
1702,2,714301.1801, 5471
1703,2,714301.1946, 5472
1704,2,714301.2122, 5473
1705,2,714301.2297, 5474
1706,2,714301.2431, 5475
1707,2,714301.2627, 5476
1708,2,714301.2781, 5477
1709,2,714301.2936, 5478
1710,2,714301.3092, 5479
1711,2,714301.3240, 5480
1712,2,714301.3384, 5481
1713,2,714301.3576, 5482
1714,2,714301.3723, 5483
1715,2,714301.3880, 5484
1716,2,714301.4031, 5485
1717,2,714301.4199, 5486
1718,2,714301.4357, 5487
1719,2,714301.4525, 5488
1720,2,714301.4693, 5489
1721,2,714301.4829, 5490
1722,2,714301.4996, 5491
1723,2,714301.5169, 5492
1724,2,714301.5315, 5493
1725,2,714301.5644, 5494
1726,2,714301.5822, 5495
1727,2,714301.5966, 5496
1728,2,714301.6101, 5497
1729,2,714301.6275, 5498
1730,2,714301.6433, 5499
1731,2,714301.6610, 5500
1732,2,714301.6752, 5501
1733,2,714301.6913, 5502
1734,2,714301.7093, 5503
1735,2,714301.7231, 5504
1736,2,714301.7429, 5505
1737,2,714301.7574, 5506
1738,2,714301.7741, 5507
1739,2,714301.7894, 5508
1740,2,714301.8037, 5509
1741,2,714301.8197, 5510
1742,2,714301.8362, 5511
1743,2,714301.8527, 5512
1744,2,714301.8677, 5513
1745,2,714301.8823, 5514
1746,2,714301.8982, 5515
1747,2,714301.9138, 5516
1748,2,714301.9304, 5517
1749,2,714301.9634, 5518
1750,2,714301.9851, 5519
1751,2,714301.9992, 5520
1752,2,714302.0120, 5521
1753,2,714302.0268, 5522
1754,2,714302.0432, 5523
1755,2,714302.0597, 5524
1756,2,714302.0777, 5525
1757,2,714302.0931, 5526
1758,2,714302.1085, 5527
1759,2,714302.1231, 5528
1760,2,714302.1400, 5529
1761,2,714302.1550, 5530
1762,2,714302.1736, 5531
1763,2,714302.1875, 5532
1764,2,714302.2035, 5533
1765,2,714302.2182, 5534
1766,2,714302.2357, 5535
1767,2,714302.2525, 5536
1768,2,714302.2668, 5537
1769,2,714302.2872, 5538
1770,2,714302.3025, 5539
1771,2,714302.3182, 5540
1772,2,714302.3497, 5541
1773,2,714302.3658, 5542
1774,2,714302.3785, 5543
1775,2,714302.3945, 5544
1776,2,714302.4122, 5545
1777,2,714302.4286, 5546
1778,2,714302.4461, 5547
1779,2,714302.4596, 5548
1780,2,714302.4757, 5549
1781,2,714302.4903, 5550
1782,2,714302.5063, 5551
1783,2,714302.5228, 5552
1784,2,714302.5385, 5553
1785,2,714302.5550, 5554
1786,2,714302.5721, 5555
1787,2,714302.5870, 5556
1788,2,714302.6028, 5557
1789,2,714302.6221, 5558
1790,2,714302.6385, 5559
1791,2,714302.6546, 5560
1792,2,714302.6705, 5561
1793,2,714302.6864, 5562
1794,2,714302.7022, 5563
1795,2,714302.7186, 5564
1796,2,714302.7480, 5565
1797,2,714302.7640, 5566
1798,2,714302.7795, 5567
1799,2,714302.7949, 5568
1800,2,714302.8122, 5569
1801,2,714302.8290, 5570
1802,2,714302.8423, 5571
1803,2,714302.8611, 5572
1804,2,714302.8747, 5573
1805,2,714302.8928, 5574
1806,2,714302.9103, 5575
1807,2,714302.9253, 5576
1808,2,714302.9430, 5577
1809,2,714302.9586, 5578
1810,2,714302.9745, 5579
1811,2,714302.9890, 5580
1812,2,714303.0049, 5581
1813,2,714303.0208, 5582
1814,2,714303.0366, 5583
1815,2,714303.0503, 5584
1816,2,714303.0676, 5585
1817,2,714303.0840, 5586
1818,2,714303.0992, 5587
1819,2,714303.1302, 5588
1820,2,714303.1476, 5589
1821,2,714303.1634, 5590
1822,2,714303.1792, 5591
1823,2,714303.1953, 5592
1824,2,714303.2115, 5593
1825,2,714303.2289, 5594
1826,2,714303.2447, 5595
