CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
714338.8359, -52.1332, 70.8394, 764.6318, 0.0057, -0.0536, 0.0210, -52.1332, 70.8394, 764.6318, 0.0057, -0.0536, 0.0210, 7730
714338.8526, -52.2620, 70.5844, 764.1013, 0.0274, -0.0504, 0.0233, -52.2620, 70.5844, 764.1013, 0.0274, -0.0504, 0.0233, 7731
714338.8693, -52.2066, 70.5963, 763.8134, 0.0219, -0.0563, 0.0228, -52.2066, 70.5963, 763.8134, 0.0219, -0.0563, 0.0228, 7732
714338.8859, -52.3320, 70.7718, 764.0999, 0.0069, -0.0519, 0.0241, -52.3320, 70.7718, 764.0999, 0.0069, -0.0519, 0.0241, 7733
714338.9026, -52.2904, 70.4300, 762.0010, 0.0314, -0.0462, 0.0234, -52.2904, 70.4300, 762.0010, 0.0314, -0.0462, 0.0234, 7734
714338.9193, -52.3208, 70.4886, 763.7850, 0.0174, -0.0509, 0.0209, -52.3208, 70.4886, 763.7850, 0.0174, -0.0509, 0.0209, 7735
714338.9360, -52.3977, 70.5171, 764.3452, 0.0210, -0.0497, 0.0217, -52.3977, 70.5171, 764.3452, 0.0210, -0.0497, 0.0217, 7736
714338.9527, -52.6870, 70.4539, 764.1326, 0.0151, -0.0474, 0.0252, -52.6870, 70.4539, 764.1326, 0.0151, -0.0474, 0.0252, 7737
714338.9693, -52.3572, 70.3513, 763.1271, 0.0207, -0.0510, 0.0208, -52.3572, 70.3513, 763.1271, 0.0207, -0.0510, 0.0208, 7738
714338.9860, -52.6152, 70.4688, 764.3512, 0.0209, -0.0532, 0.0273, -52.6152, 70.4688, 764.3512, 0.0209, -0.0532, 0.0273, 7739
714339.0027, -52.5288, 70.5541, 765.0170, 0.0160, -0.0547, 0.0247, -52.5288, 70.5541, 765.0170, 0.0160, -0.0547, 0.0247, 7740
714339.0194, -52.2987, 70.3207, 763.6903, 0.0128, -0.0496, 0.0261, -52.2987, 70.3207, 763.6903, 0.0128, -0.0496, 0.0261, 7741
714339.0361, -52.2967, 70.1327, 762.8369, 0.0360, -0.0564, 0.0265, -52.2967, 70.1327, 762.8369, 0.0360, -0.0564, 0.0265, 7742
714339.0527, -52.5456, 70.1025, 762.7762, 0.0253, -0.0549, 0.0283, -52.5456, 70.1025, 762.7762, 0.0253, -0.0549, 0.0283, 7743
714339.0694, -52.7315, 70.3536, 766.1685, -0.0065, -0.0588, 0.0288, -52.7315, 70.3536, 766.1685, -0.0065, -0.0588, 0.0288, 7744
714339.0861, -52.5267, 69.6847, 761.1364, 0.0086, -0.0553, 0.0257, -52.5267, 69.6847, 761.1364, 0.0086, -0.0553, 0.0257, 7745
714339.1028, -52.7407, 69.5137, 763.0239, -0.0048, -0.0471, 0.0255, -52.7407, 69.5137, 763.0239, -0.0048, -0.0471, 0.0255, 7746
