timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
714338.848594,-8.364555,3.407108,76.226219,-1.855472,3.570000,76.108620,714338.848593,714338.798517,0,7729,1,-5.730272,6.306515,84.722626,0.026048,-0.064503,0.023868
714338.863521,-8.369791,3.413254,76.293755,-1.855728,3.564230,76.076546,714338.863520,714338.815198,0,7730,1,-5.741209,6.502969,84.674843,0.003525,-0.066335,0.021349
714338.878471,-8.374653,3.407109,76.327965,-1.857697,3.558275,76.069695,714338.878470,714338.831878,0,7731,1,-5.725000,6.321874,84.752609,0.025248,-0.063150,0.023799
714338.899515,-8.374795,3.419537,76.304779,-1.859232,3.559887,76.066734,714338.899514,714338.848559,0,7732,1,-5.774485,6.372338,84.720535,0.019716,-0.069043,0.023301
714338.910280,-8.376441,3.415669,76.296547,-1.862221,3.572813,76.079109,714338.910279,714338.865239,0,7733,1,-5.742694,6.503548,84.681824,0.004739,-0.064631,0.024422
714338.926052,-8.377914,3.417012,76.267883,-1.864955,3.574168,76.095543,714338.926051,714338.881920,0,7734,1,-5.694391,6.296269,84.748764,0.029199,-0.058921,0.023867
714338.955106,-8.382100,3.433480,76.273354,-1.868013,3.572180,76.124664,714338.955105,714338.898601,0,7735,1,-5.730804,6.418657,84.724373,0.015213,-0.063662,0.021370
714338.961622,-8.388758,3.397444,76.296867,-1.871032,3.563471,76.153198,714338.961621,714338.915281,0,7736,1,-5.729083,6.390821,84.761292,0.018830,-0.062514,0.022176
714338.974647,-8.393826,3.415405,76.294853,-1.876853,3.585073,76.144585,714338.974645,714338.931962,0,7737,1,-5.723768,6.439559,84.740257,0.012978,-0.060113,0.025559
714338.993010,-8.398849,3.441786,76.298439,-1.884407,3.603323,76.122810,714338.993009,714338.948642,0,7738,1,-5.747778,6.391901,84.745552,0.018583,-0.063769,0.021255
714339.006554,-8.402448,3.436041,76.286598,-1.890225,3.613420,76.102669,714339.006553,714338.965323,0,7739,1,-5.789930,6.387923,84.728172,0.018767,-0.065940,0.027732
714339.018719,-8.400517,3.422708,76.253517,-1.892854,3.605155,76.106079,714339.018719,714338.982003,0,7740,1,-5.795886,6.429756,84.698456,0.013795,-0.067482,0.025075
714339.035142,-8.396924,3.415560,76.236130,-1.890377,3.576737,76.061935,714339.035141,714338.998684,0,7741,1,-5.754077,6.451435,84.661499,0.010660,-0.062369,0.026509
714339.051259,-8.396882,3.424266,76.205986,-1.891414,3.579482,76.078453,714339.051259,714339.015365,0,7742,1,-5.813058,6.251042,84.715523,0.033788,-0.069134,0.027063
714339.067300,-8.394227,3.409867,76.165733,-1.892274,3.598740,76.083984,714339.067299,714339.032045,0,7743,1,-5.804132,6.337400,84.669456,0.023089,-0.067614,0.028745
714339.083434,-8.394632,3.402388,76.159203,-1.891734,3.599122,76.067741,714339.083433,714339.048726,0,7744,1,-5.839414,6.601841,84.562347,-0.008647,-0.071585,0.029089
714339.101358,-8.397157,3.377028,76.124847,-1.891034,3.560391,76.078590,714339.101357,714339.065406,0,7745,1,-5.802204,6.467832,84.598534,0.006458,-0.068111,0.026075
714339.117307,-8.398785,3.390477,76.111328,-1.893783,3.583713,76.055092,714339.117305,714339.082087,0,7746,1,-5.733216,6.572862,84.544548,-0.006976,-0.059867,0.025791
714339.133068,-8.406051,3.390776,76.169151,-1.894428,3.578178,76.033165,714339.133067,714339.098767,0,7747,1,-5.797819,6.582939,84.550301,-0.009830,-0.064900,0.031780
714339.150466,-8.409513,3.376261,76.179985,-1.896032,3.565515,75.980492,714339.150465,714339.115448,0,7748,1,-5.804491,6.542680,84.536613,-0.007308,-0.066024,0.030084
714339.166451,-8.414940,3.340630,76.210052,-1.895519,3.523956,75.968933,714339.166449,714339.132128,0,7749,1,-5.768532,6.433719,84.581383,0.003412,-0.059740,0.034922
714339.183260,-8.418304,3.337213,76.201591,-1.892722,3.515552,76.006714,714339.183258,714339.148809,0,7750,1,-5.693953,6.427364,84.596550,0.002035,-0.050906,0.035109
714339.199061,-8.424418,3.337559,76.206627,-1.893567,3.513440,76.013313,714339.199060,714339.165490,0,7751,1,-5.730266,6.318403,84.632492,0.013122,-0.056298,0.031132
714339.230137,-8.431206,3.331077,76.219566,-1.894441,3.515952,76.028931,714339.230135,714339.182170,0,7752,1,-5.781948,6.463348,84.586647,-0.005989,-0.062955,0.028138
714339.246579,-8.435203,3.292928,76.238686,-1.892485,3.489990,76.066216,714339.246578,714339.198873,0,7753,1,-5.780533,6.492792,84.598778,-0.011362,-0.061909,0.030066
714339.261399,-8.430722,3.296640,76.220085,-1.887397,3.489785,76.110497,714339.261398,714339.215561,0,7754,1,-5.817047,6.402194,84.635780,-0.002328,-0.068363,0.025844
714339.277138,-8.421988,3.246272,76.173569,-1.879404,3.462698,76.093048,714339.277137,714339.232248,0,7755,1,-5.788819,6.245054,84.654373,0.014187,-0.064574,0.029878
714339.292926,-8.409797,3.236949,76.171921,-1.867762,3.463360,76.065384,714339.292925,714339.248936,0,7756,1,-5.810421,6.453548,84.561188,-0.011419,-0.067611,0.032211
714339.310729,-8.395269,3.245733,76.190681,-1.853920,3.468001,76.061829,714339.310728,714339.265623,0,7757,1,-5.734452,6.176525,84.667809,0.020649,-0.060693,0.031750
714339.323295,-8.376161,3.242806,76.200768,-1.832299,3.444368,76.036964,714339.323295,714339.282311,0,7758,1,-5.766544,6.402147,84.577713,-0.006122,-0.068410,0.026987
714339.340004,-8.352633,3.242428,76.170273,-1.806678,3.447257,76.085991,714339.340003,714339.298998,0,7759,1,-5.727942,6.202515,84.657196,0.017252,-0.065909,0.029571
714339.356129,-8.324301,3.244830,76.109970,-1.781402,3.453439,76.106651,714339.356128,714339.315686,0,7760,1,-5.730483,6.233074,84.625465,0.013866,-0.069598,0.028883
714339.372507,-8.299941,3.229961,76.072151,-1.757500,3.444698,76.061050,714339.372506,714339.332373,0,7761,1,-5.688427,6.290764,84.566093,0.007400,-0.068121,0.026892
714339.388385,-8.272483,3.235435,76.006020,-1.733647,3.439211,75.974083,714339.388383,714339.349061,0,7762,1,-5.631103,6.222430,84.515678,0.015564,-0.063669,0.029030
