CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
714380.520181634, 714380.520181634, 10229, 714380.520181634, 714380.520181634, 10229, 714380.520181634, 5118
714380.536869160, 714380.536869160, 10230, 714380.536869160, 714380.536869160, 10230, 714380.536869160, 5119
714380.553556686, 714380.553556686, 10231, 714380.553556686, 714380.553556686, 10231, 714380.553556686, 5120
714380.570244212, 714380.570244212, 10232, 714380.570244212, 714380.570244212, 10232, 714380.570244212, 5121
714380.586931738, 714380.586931738, 10233, 714380.586931738, 714380.586931738, 10233, 714380.586931738, 5122
714380.603619264, 714380.603619264, 10234, 714380.603619264, 714380.603619264, 10234, 714380.603619264, 5123
714380.620306790, 714380.620306790, 10235, 714380.620306790, 714380.620306790, 10235, 714380.620306790, 5124
714380.636994316, 714380.636994316, 10236, 714380.636994316, 714380.636994316, 10236, 714380.636994316, 5125
714380.653681842, 714380.653681842, 10237, 714380.653681842, 714380.653681842, 10237, 714380.653681842, 5126
714380.670369368, 714380.670369368, 10238, 714380.670369368, 714380.670369368, 10238, 714380.670369368, 5127
714380.687056894, 714380.687056894, 10239, 714380.687056894, 714380.687056894, 10239, 714380.687056894, 5128
714380.703744420, 714380.703744420, 10240, 714380.703744420, 714380.703744420, 10240, 714380.703744420, 5129
714380.720431946, 714380.720431946, 10241, 714380.720431946, 714380.720431946, 10241, 714380.720431946, 5130
714380.737119472, 714380.737119472, 10242, 714380.737119472, 714380.737119472, 10242, 714380.737119472, 5131
714380.753806998, 714380.753806998, 10243, 714380.753806998, 714380.753806998, 10243, 714380.753806998, 5132
714380.770494524, 714380.770494524, 10244, 714380.770494524, 714380.770494524, 10244, 714380.770494524, 5133
714380.787182050, 714380.787182050, 10245, 714380.787182050, 714380.787182050, 10245, 714380.787182050, 5134
714380.803815501, 714380.803815501, 10246, 714380.803815501, 714380.803815501, 10246, 714380.803815501, 5135
714380.820496068, 714380.820496068, 10247, 714380.820496068, 714380.820496068, 10247, 714380.820496068, 5136
